target_listing_key,ticker,target_exchange,official_name,official_asset_type,official_isin,official_sector,official_source_key,official_source_url,official_source_context,existing_listing_keys,existing_exchanges,existing_names,existing_asset_types,existing_isins,same_isin_listing_keys,name_exact_match_listing_keys,asset_type_mismatch,existing_dataset_context,identity_evidence,identity_resolution_context,collision_risk_flags,identity_resolution_queue,review_bucket,review_priority,review_strategy,verification_evidence_required,recommended_next_source,source_gate,review_decision,clearance_evidence_required,recommended_next_action
NSE_IN::LANCORHOL,LANCORHOL,NSE_IN,Lancor Holdings Limited,Stock,INE572G01025,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::LANCORHOL,BSE_IN,Lancor Holdings Ltd,Stock,INE572G01025,BSE_IN::LANCORHOL,,false,existing_listing_keys=BSE_IN::LANCORHOL;existing_exchanges=BSE_IN;existing_isins=INE572G01025;same_isin_listing_keys=BSE_IN::LANCORHOL;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::ORTINGLOBE,ORTINGLOBE,NSE_IN,ORTIN GLOBAL LIMITED,Stock,INE749B01020,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::ORTINGLOBE,BSE_IN,Ortin Global Ltd,Stock,INE749B01020,BSE_IN::ORTINGLOBE,,false,existing_listing_keys=BSE_IN::ORTINGLOBE;existing_exchanges=BSE_IN;existing_isins=INE749B01020;same_isin_listing_keys=BSE_IN::ORTINGLOBE;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::PARASPETRO,PARASPETRO,NSE_IN,Paras Petrofils Limited,Stock,INE162C01024,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::PARASPETRO,BSE_IN,Paras Petrofils Ltd,Stock,INE162C01024,BSE_IN::PARASPETRO,,false,existing_listing_keys=BSE_IN::PARASPETRO;existing_exchanges=BSE_IN;existing_isins=INE162C01024;same_isin_listing_keys=BSE_IN::PARASPETRO;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::RNBDENIMS,RNBDENIMS,NSE_IN,R&B Denims Limited,Stock,INE012Q01039,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::RNBDENIMS,BSE_IN,R&B Denims Ltd,Stock,INE012Q01039,BSE_IN::RNBDENIMS,,false,existing_listing_keys=BSE_IN::RNBDENIMS;existing_exchanges=BSE_IN;existing_isins=INE012Q01039;same_isin_listing_keys=BSE_IN::RNBDENIMS;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::SADBHAV,SADBHAV,NSE_IN,Sadbhav Engineering Limited,Stock,INE226H01026,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::SADBHAV,BSE_IN,Sadbhav Engineering Ltd,Stock,INE226H01026,BSE_IN::SADBHAV,,false,existing_listing_keys=BSE_IN::SADBHAV;existing_exchanges=BSE_IN;existing_isins=INE226H01026;same_isin_listing_keys=BSE_IN::SADBHAV;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::SCHNEIDER,SCHNEIDER,NSE_IN,Schneider Electric Infrastructure Limited,Stock,INE839M01018,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::SCHNEIDER,BSE_IN,Schneider Electric Infrastructure Ltd,Stock,INE839M01018,BSE_IN::SCHNEIDER,,false,existing_listing_keys=BSE_IN::SCHNEIDER;existing_exchanges=BSE_IN;existing_isins=INE839M01018;same_isin_listing_keys=BSE_IN::SCHNEIDER;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::TARMAT,TARMAT,NSE_IN,Tarmat Limited,Stock,INE924H01018,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::TARMAT,BSE_IN,Tarmat Ltd,Stock,INE924H01018,BSE_IN::TARMAT,,false,existing_listing_keys=BSE_IN::TARMAT;existing_exchanges=BSE_IN;existing_isins=INE924H01018;same_isin_listing_keys=BSE_IN::TARMAT;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::TIJARIA,TIJARIA,NSE_IN,Tijaria Polypipes Limited,Stock,INE440L01017,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::TIJARIA,BSE_IN,Tijaria Polypipes Ltd,Stock,INE440L01017,BSE_IN::TIJARIA,,false,existing_listing_keys=BSE_IN::TIJARIA;existing_exchanges=BSE_IN;existing_isins=INE440L01017;same_isin_listing_keys=BSE_IN::TIJARIA;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::TREEHOUSE,TREEHOUSE,NSE_IN,Tree House Education & Accessories Limited,Stock,INE040M01013,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::TREEHOUSE,BSE_IN,Tree House Education & Accessories Ltd,Stock,INE040M01013,BSE_IN::TREEHOUSE,,false,existing_listing_keys=BSE_IN::TREEHOUSE;existing_exchanges=BSE_IN;existing_isins=INE040M01013;same_isin_listing_keys=BSE_IN::TREEHOUSE;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::TVSSCS,TVSSCS,NSE_IN,TVS Supply Chain Solutions Limited,Stock,INE395N01027,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::TVSSCS,BSE_IN,TVS Supply Chain Solutions Ltd,Stock,INE395N01027,BSE_IN::TVSSCS,,false,existing_listing_keys=BSE_IN::TVSSCS;existing_exchanges=BSE_IN;existing_isins=INE395N01027;same_isin_listing_keys=BSE_IN::TVSSCS;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::USK,USK,NSE_IN,Udayshivakumar Infra Limited,Stock,INE0N0Y01013,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::USK,BSE_IN,Udayshivakumar Infra Ltd,Stock,INE0N0Y01013,BSE_IN::USK,,false,existing_listing_keys=BSE_IN::USK;existing_exchanges=BSE_IN;existing_isins=INE0N0Y01013;same_isin_listing_keys=BSE_IN::USK;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::VIPULLTD,VIPULLTD,NSE_IN,Vipul Limited,Stock,INE946H01037,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::VIPULLTD,BSE_IN,Vipul Ltd,Stock,INE946H01037,BSE_IN::VIPULLTD,,false,existing_listing_keys=BSE_IN::VIPULLTD;existing_exchanges=BSE_IN;existing_isins=INE946H01037;same_isin_listing_keys=BSE_IN::VIPULLTD;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::WANBURY,WANBURY,NSE_IN,Wanbury Limited,Stock,INE107F01022,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::WANBURY,BSE_IN,Wanbury Ltd,Stock,INE107F01022,BSE_IN::WANBURY,,false,existing_listing_keys=BSE_IN::WANBURY;existing_exchanges=BSE_IN;existing_isins=INE107F01022;same_isin_listing_keys=BSE_IN::WANBURY;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NSE_IN::ZEEMEDIA,ZEEMEDIA,NSE_IN,Zee Media Corporation Limited,Stock,INE966H01019,,nse_india_securities_available,https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,official_source_key=nse_india_securities_available;official_source_url=https://nsearchives.nseindia.com/content/equities/EQUITY_L.csv,BSE_IN::ZEEMEDIA,BSE_IN,Zee Media Corporation Ltd,Stock,INE966H01019,BSE_IN::ZEEMEDIA,,false,existing_listing_keys=BSE_IN::ZEEMEDIA;existing_exchanges=BSE_IN;existing_isins=INE966H01019;same_isin_listing_keys=BSE_IN::ZEEMEDIA;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=NSE_IN::BSE_IN;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for NSE_IN::BSE_IN.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
XETRA::ADG,ADG,XETRA,AMG CRITICAL MATER. EO-02,Stock,NL0000888691,,deutsche_boerse_xetra_all_tradable_equities,https://www.cashmarket.deutsche-boerse.com/resource/blob/1528/b52ea43a2edac92e8283d40645d1c076/data/t7-xetr-allTradableInstruments.csv,official_source_key=deutsche_boerse_xetra_all_tradable_equities;official_source_url=https://www.cashmarket.deutsche-boerse.com/resource/blob/1528/b52ea43a2edac92e8283d40645d1c076/data/t7-xetr-allTradableInstruments.csv,ASX::ADG,ASX,ADELONG GOLD LIMITED,Stock,AU0000248288,LSE::0LO9|OTC::AMVMF,,false,existing_listing_keys=ASX::ADG;existing_exchanges=ASX;existing_isins=AU0000248288;same_isin_listing_keys=LSE::0LO9|OTC::AMVMF;name_exact_match_listing_keys=none;asset_type_mismatch=false,official_isin|same_isin_existing_listing|asset_type_consistent,exchange_context=XETRA::ASX;identity_resolution_queue=review_cross_listing_same_isin_name_or_scope_gap;review_bucket=same_isin_cross_listing_needs_name_or_scope_review;identity_evidence=official_isin|same_isin_existing_listing|asset_type_consistent,ticker_reused_on_other_exchange|existing_isin_conflict|same_isin_existing_listing|no_exact_name_match,review_cross_listing_same_isin_name_or_scope_gap,same_isin_cross_listing_needs_name_or_scope_review,P2,batch_review_same_isin_name_or_scope_reconciliation,official_target_exchange_status_plus_issuer_or_name_scope_reconciliation,Official target-exchange status plus issuer/name or scope reconciliation for XETRA::ASX.,Do not resolve identity until official listing status and issuer/name or scope differences are reconciled.,same_isin_cross_listing_candidate_requires_exchange_scope_review,official_target_exchange_listing_status_plus_name_or_scope_reconciliation,verify_target_exchange_listing_status_mic_name_and_instrument_type_before_cross_listing_add
NASDAQ::ACGC,ACGC,NASDAQ,ACP Holdings Acquisition Corp. - Class A Ordinary Shares,Stock,,,nasdaq_listed,https://www.nasdaqtrader.com/dynamic/symdir/nasdaqlisted.txt,official_source_key=nasdaq_listed;official_source_url=https://www.nasdaqtrader.com/dynamic/symdir/nasdaqlisted.txt,EGX::ACGC,EGX,Arab Cotton Ginning,Stock,EGS32221C011,,,false,existing_listing_keys=EGX::ACGC;existing_exchanges=EGX;existing_isins=EGS32221C011;same_isin_listing_keys=none;name_exact_match_listing_keys=none;asset_type_mismatch=false,asset_type_consistent,exchange_context=NASDAQ::EGX;identity_resolution_queue=blocked_symbol_only_missing_non_symbol_identity;review_bucket=hold_symbol_only_collision_needs_non_symbol_identity;identity_evidence=asset_type_consistent,ticker_reused_on_other_exchange|missing_official_isin|no_exact_name_match,blocked_symbol_only_missing_non_symbol_identity,hold_symbol_only_collision_needs_non_symbol_identity,P3,batch_hold_symbol_reuse_until_non_symbol_identity_source,official_non_symbol_identifier_or_keep_absent,"Official non-symbol identifier evidence for NASDAQ::EGX, or keep the target listing absent.",Keep absent; ticker equality alone is not identity evidence.,symbol_collision_requires_non_symbol_identity_source,official_non_symbol_identifier_or_keep_absent,keep_absent_until_official_isin_or_other_non_symbol_identity_source_distinguishes_listing
NASDAQ::ARCL,ARCL,NASDAQ,ARC Group Acquisition I Corp - Class A Ordinary Shares,Stock,,,nasdaq_listed,https://www.nasdaqtrader.com/dynamic/symdir/nasdaqlisted.txt,official_source_key=nasdaq_listed;official_source_url=https://www.nasdaqtrader.com/dynamic/symdir/nasdaqlisted.txt,BSE_IN::ARCL,BSE_IN,ARCL Organics Ltd,Stock,INE372M01010,,,false,existing_listing_keys=BSE_IN::ARCL;existing_exchanges=BSE_IN;existing_isins=INE372M01010;same_isin_listing_keys=none;name_exact_match_listing_keys=none;asset_type_mismatch=false,asset_type_consistent,exchange_context=NASDAQ::BSE_IN;identity_resolution_queue=blocked_symbol_only_missing_non_symbol_identity;review_bucket=hold_symbol_only_collision_needs_non_symbol_identity;identity_evidence=asset_type_consistent,ticker_reused_on_other_exchange|missing_official_isin|no_exact_name_match,blocked_symbol_only_missing_non_symbol_identity,hold_symbol_only_collision_needs_non_symbol_identity,P3,batch_hold_symbol_reuse_until_non_symbol_identity_source,official_non_symbol_identifier_or_keep_absent,"Official non-symbol identifier evidence for NASDAQ::BSE_IN, or keep the target listing absent.",Keep absent; ticker equality alone is not identity evidence.,symbol_collision_requires_non_symbol_identity_source,official_non_symbol_identifier_or_keep_absent,keep_absent_until_official_isin_or_other_non_symbol_identity_source_distinguishes_listing
NASDAQ::ASD,ASD,NASDAQ,Defiance Autism Impact ETF,ETF,,,nasdaq_listed,https://www.nasdaqtrader.com/dynamic/symdir/nasdaqlisted.txt,official_source_key=nasdaq_listed;official_source_url=https://www.nasdaqtrader.com/dynamic/symdir/nasdaqlisted.txt,NZX::ASD,NZX,Smart Australian Dividend ETF Units,ETF,NZASDE0001S1,,,false,existing_listing_keys=NZX::ASD;existing_exchanges=NZX;existing_isins=NZASDE0001S1;same_isin_listing_keys=none;name_exact_match_listing_keys=none;asset_type_mismatch=false,asset_type_consistent,exchange_context=NASDAQ::NZX;identity_resolution_queue=blocked_symbol_only_missing_non_symbol_identity;review_bucket=hold_symbol_only_collision_needs_non_symbol_identity;identity_evidence=asset_type_consistent,ticker_reused_on_other_exchange|missing_official_isin|no_exact_name_match,blocked_symbol_only_missing_non_symbol_identity,hold_symbol_only_collision_needs_non_symbol_identity,P3,batch_hold_symbol_reuse_until_non_symbol_identity_source,official_non_symbol_identifier_or_keep_absent,"Official non-symbol identifier evidence for NASDAQ::NZX, or keep the target listing absent.",Keep absent; ticker equality alone is not identity evidence.,symbol_collision_requires_non_symbol_identity_source,official_non_symbol_identifier_or_keep_absent,keep_absent_until_official_isin_or_other_non_symbol_identity_source_distinguishes_listing
