reason_code,priority,ticker,exchange,mic_code,local_name,twelvedata_name,twelvedata_type,name_score,candidate_action,validation_status,listing_key,twelvedata_exchange,review_batch
low_name_similarity|severe_name_mismatch,P1,HERM,NEO,NEOE,Hermes CDR (CAD hedged),Hermès International Société en commandite par actions,Depositary Receipt,0.297,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::HERM,NEO,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,RDS,TSXV,XTSX,Ressources Minieres Radisson Inc,Radisson Mining Resources Inc.,Common Stock,0.302,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::RDS,TSXV,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,ORAC,TSX,XTSE,Oracle CDR (CAD Hedged),ORAC,Common Stock,0.32,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::ORAC,TSX,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,MKT,TSXV,XTSX,DeepMarkit Corp.,Prospect Prediction Markets Inc.,Common Stock,0.324,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::MKT,TSXV,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,ZCOI,NEO,NEOE,Coinbase (COIN) BMO CDR (CAD Hedged),"Coinbase Global, Inc. Depositary Receipt",Depositary Receipt,0.333,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZCOI,NEO,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,NSTL,TSX,XTSE,Nestlé CDR (CAD Hedged),Nestlé S.A. Depositary Receipt,Depositary Receipt,0.333,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::NSTL,TSX,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,ZVST,NEO,NEOE,VISTRA (VST) BMO CDR (CAD HEDGED),Vistra Corp.,Depositary Receipt,0.343,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZVST,NEO,batch_b_canada
low_name_similarity|severe_name_mismatch,P1,ZAAP,NEO,NEOE,APPLE (aapl) BMO CDR (CAD HEDGED),Apple Inc. Depositary Receipt (APC0),Depositary Receipt,0.345,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZAAP,NEO,batch_b_canada
low_name_similarity,P1,ZPYP,NEO,NEOE,PayPal (PYPL) BMO CDR (CAD Hedged),PayPal Holdings Inc Canadian Depositary Receipt (CDR) 2PP1,Depositary Receipt,0.366,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZPYP,NEO,batch_b_canada
low_name_similarity,P1,ZINT,NEO,NEOE,INTEL (INTC) BMO CDR (CAD HEDGED),Intel Corporation Depositary Receipt,Depositary Receipt,0.377,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZINT,NEO,batch_b_canada
low_name_similarity,P1,ILC,TSXV,XTSX,International Lithium Corp.,ILC Critical Minerals Ltd.,Common Stock,0.381,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::ILC,TSXV,batch_b_canada
low_name_similarity,P1,ZMCD,NEO,NEOE,McDonalds (MCD) BMO CDR (CAD Hedged),McDonald's Corporation Depositary Receipt,Depositary Receipt,0.393,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZMCD,NEO,batch_b_canada
low_name_similarity,P1,ZCOS,NEO,NEOE,COSTCO )COST) BMO CDR (CAD HEDGED),Costco Wholesale Corporation Depositary Receipt,Depositary Receipt,0.4,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZCOS,NEO,batch_b_canada
low_name_similarity,P1,ZAPO,NEO,NEOE,APOLLO (APO) BMO CDR (CAD HEDGED),"Apollo Global Management, Inc. Canadian Depositary Receipt",Depositary Receipt,0.42,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZAPO,NEO,batch_b_canada
low_name_similarity,P1,ZBA,NEO,NEOE,BOEING (BA) BMO CDR (CAD HEDGED),The Boeing Company Canadian Depositary Receipt,Depositary Receipt,0.429,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZBA,NEO,batch_b_canada
low_name_similarity,P1,ZMSF,NEO,NEOE,MICROSOFT (MSFT) BMO CDR (CAD HEDGED),Microsoft Corporation,Depositary Receipt,0.429,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZMSF,NEO,batch_b_canada
low_name_similarity,P1,ZYNS,TSX,XTSE,Philip Morris CDR (CAD Hedged),Philip Morris International Inc. Depositary Receipt,Depositary Receipt,0.432,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::ZYNS,TSX,batch_b_canada
low_name_similarity,P1,PIF,TSX,XTSE,Polaris Infrastructure Inc,Polaris Renewable Energy Inc.,Common Stock,0.435,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::PIF,TSX,batch_b_canada
low_name_similarity,P1,UBSS,TSX,XTSE,UBS CDR (CAD Hedged),UBS Group AG Canadian Depositary Receipt,Depositary Receipt,0.436,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::UBSS,TSX,batch_b_canada
low_name_similarity,P1,INGS,TSX,XTSE,ING CDR (CAD Hedged),ING Groep N.V.,Depositary Receipt,0.452,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::INGS,TSX,batch_b_canada
low_name_similarity,P1,ZLLY,NEO,NEOE,ELI LILLY (LLY) BMO CDR (CAD HEDGED),Eli Lilly and Company Canadian Depositary Receipt,Depositary Receipt,0.469,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZLLY,NEO,batch_b_canada
low_name_similarity,P1,SNY,TSX,XTSE,Sanofi CDR (CAD Hedged),Sanofi SA Unsponsored Canadian Depositary Receipt Hedged Reg S,Depositary Receipt,0.475,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::SNY,TSX,batch_b_canada
low_name_similarity,P1,BENZ,TSX,XTSE,Mercedes-Benz CDR (CAD Hedged),Mercedes-Benz Group AG Depositary Receipt,Depositary Receipt,0.485,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::BENZ,TSX,batch_b_canada
low_name_similarity,P1,ZWMT,NEO,NEOE,WALMART (WMT) BMO CDR (CAD HEDGED),Walmart Inc. American Depositary Receipt,Depositary Receipt,0.492,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZWMT,NEO,batch_b_canada
low_name_similarity,P1,CMGS,TSX,XTSE,Chipotle CDR (CAD Hedged),Chipotle Mexican Grill Inc. Canadian Depositary Receipt,Depositary Receipt,0.493,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::CMGS,TSX,batch_b_canada
low_name_similarity,P1,ZXOM,NEO,NEOE,EXXON MOBIL (XOM) BMO CDR (CAD HEDGED),Exxon Mobil Corporation Depositary Receipt,Depositary Receipt,0.5,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZXOM,NEO,batch_b_canada
low_name_similarity,P1,AXO,TSXV,XTSX,AXO Copper Corp.,Axo Metals Corp.,Common Stock,0.5,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::AXO,TSXV,batch_b_canada
low_name_similarity,P1,KOVO,TSXV,XTSX,Kovo Healthtech Corp,Kovo Holdings Inc.,Common Stock,0.5,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::KOVO,TSXV,batch_b_canada
low_name_similarity,P1,NTDO,NEO,NEOE,NINTENDO CO LTD CDR (CAD Hedged),"Nintendo Co., Ltd.",Depositary Receipt,0.516,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::NTDO,NEO,batch_b_canada
low_name_similarity,P1,CGY,TSX,XTSE,Calian Technologies Ltd,Calian Group Ltd.,Common Stock,0.516,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::CGY,TSX,batch_b_canada
low_name_similarity,P1,KLX,TSXV,XTSX,Klimat X Developments Inc.,Carbon Done Right Development LLC,Common Stock,0.519,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::KLX,TSXV,batch_b_canada
low_name_similarity,P1,WED,TSXV,XTSX,Westaim Corporation (The),The Westaim Corporation Common Stock,Common Stock,0.519,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::WED,TSXV,batch_b_canada
low_name_similarity,P1,LORL,TSX,XTSE,L’Oréal CDR (CAD Hedged),L'OREAL SA ADR (LOR0),Depositary Receipt,0.526,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::LORL,TSX,batch_b_canada
low_name_similarity,P1,SMNS,TSX,XTSE,Siemens CDR (CAD Hedged),Siemens AG American Depositary Receipt,Depositary Receipt,0.526,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::SMNS,TSX,batch_b_canada
low_name_similarity,P1,NEST,NEO,NEOE,NESTLE SA CDR (CAD Hedged),Nestlé S.A.,Depositary Receipt,0.533,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::NEST,NEO,batch_b_canada
low_name_similarity,P1,TTES,TSX,XTSE,TotalEnergies CDR (CAD Hedged),TotalEnergies SE Depositary Receipt,Depositary Receipt,0.533,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::TTES,TSX,batch_b_canada
low_name_similarity,P1,NVS,TSX,XTSE,Novartis CDR (CAD Hedged),Novartis AG American Depositary Receipt,Depositary Receipt,0.542,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::NVS,TSX,batch_b_canada
low_name_similarity,P2,ZMIC,NEO,NEOE,Micron Technology (MU) BMO CDR (CAD Hedged),"Micron Technology, Inc. Depositary Receipt",Depositary Receipt,0.56,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZMIC,NEO,batch_b_canada
low_name_similarity,P2,WKG,TSXV,XTSX,WestKam Gold Corp.,Big Bear Gold Corp.,Common Stock,0.56,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::WKG,TSXV,batch_b_canada
low_name_similarity,P2,DPM,TSX,XTSE,Dundee Precious Metals Inc,DPM Metals Inc.,Common Stock,0.562,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::DPM,TSX,batch_b_canada
low_name_similarity,P2,MTSU,NEO,NEOE,MITSUBISHI CORP CDR (CAD Hedged),Mitsubishi Corporation,Depositary Receipt,0.571,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::MTSU,NEO,batch_b_canada
low_name_similarity,P2,VWA,NEO,NEOE,VOLKSWAGEN CDR (CAD HEDGED),Volkswagen AG,Depositary Receipt,0.571,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::VWA,NEO,batch_b_canada
low_name_similarity,P2,NVON,NEO,NEOE,NOVO NORDISK A/S CDR (CAD Hedged),Novo Nordisk A/S Depositary Receipt,Depositary Receipt,0.576,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::NVON,NEO,batch_b_canada
low_name_similarity,P2,PGP,TSXV,XTSX,Cobalt Power Group Inc,Power Group Projects Corp.,Common Stock,0.579,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSXV::PGP,TSXV,batch_b_canada
low_name_similarity,P2,ZMAS,NEO,NEOE,MASTERCARD (MA) BMO CDR (CAD HEDGED),Mastercard Incorporated Class A Common Shares Canadian Depositary Receipt (CAD Hedged),Depositary Receipt,0.583,deepseek_classify_rename_vs_different_security,pending_deepseek_review,NEO::ZMAS,NEO,batch_b_canada
low_name_similarity,P2,VISA,TSX,XTSE,Visa CDR (CAD Hedged),Visa Inc. - CDR,Depositary Receipt,0.593,deepseek_classify_rename_vs_different_security,pending_deepseek_review,TSX::VISA,TSX,batch_b_canada
