listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,core_action,fill_action,review_needed,recommended_next_source,source_gate,official_source_context,official_capability,official_masterfile_match,official_masterfile_sources,official_masterfile_sector_values,official_masterfile_exposes_sector,weak_sector_resolution_queue,residual_decision,review_bucket,review_priority,apply_eligibility,verification_evidence_required,review_strategy,recommended_next_action
PSE::GERI,GERI,PSE,Stock,Global-Estate Resorts Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::GMA7,GMA7,PSE,Stock,GMA Network Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::GSMI,GSMI,PSE,Stock,Ginebra San Miguel Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::GTCAP,GTCAP,PSE,Stock,GT Capital Holdings Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::KEEPR,KEEPR,PSE,Stock,Keepers Holdings Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::KPPI,KPPI,PSE,Stock,Kepwealth Property Phils,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::LCB,LCB,PSE,Stock,Lepanto Consolidated Mining Co B,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::LFM,LFM,PSE,Stock,Liberty Flour Mills Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::LTG,LTG,PSE,Stock,LT Group Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::MARC,MARC,PSE,Stock,Marcventures Holdings Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::MAXS,MAXS,PSE,Stock,Max’s Group Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::MM,MM,PSE,Stock,Merrymart Consumer Corp,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::MONDE,MONDE,PSE,Stock,Monde Nissin Corp,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::MREIT,MREIT,PSE,Stock,MREIT Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::MRSGI,MRSGI,PSE,Stock,Metro Retail Stores Group Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::MWIDE,MWIDE,PSE,Stock,Megawide Construction Corp,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::MYNLD,MYNLD,PSE,Stock,"Maynilad Water Services, Inc",official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::NRCP,NRCP,PSE,Stock,National Reinsurance Corporation of the Philippines,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::OGP,OGP,PSE,Stock,OceanaGold Philippines Inc,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::OPMB,OPMB,PSE,Stock,Oriental Petroleum and Minerals Corp B,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::OV,OV,PSE,Stock,Philodrill Corp,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
PSE::PERC,PERC,PSE,Stock,PetroEnergy Resources Corp,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Updated official masterfile or issuer taxonomy exposing sector for the exact listing; current source: pse_listed_company_directory.,Keep sector blank until an official masterfile or issuer record exposes sector for the exact listing.,official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,official_masterfile_without_sector_source_gap,accepted_source_gap_official_masterfile_without_sector,official_masterfile_without_sector_source_gap,P3,keep_sector_blank_until_official_masterfile_exposes_sector_or_reviewed_taxonomy,official_masterfile_or_issuer_taxonomy_update_exposing_sector_for_exact_listing,keep_blank_until_official_masterfile_or_issuer_sector_source,keep_sector_blank_until_official_or_reviewed_venue_specific_taxonomy_exists
