ticker,exchange,name,tv_symbol,tv_name,tv_exchange,tv_type,tv_subtype,tv_isin,tv_asset_class,category_update,decision
HBF,TSX,Harvest Brand Leaders Plus Income ETF,HBF,Harvest US Equity Leaders Income ETF Trust Units A,TSX,fund,etf,CA41753L1067,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
HECA,NYSE ARCA,Hedgeye Capital Allocation ETF,HECA,Hedgeye Capital Allocation ETF,AMEX,fund,etf,US26923Q7473,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
HSGG,LSE,HSBC GLOBAL FUNDS ICAV HSBC ICA,HSGG,HSBC Global Funds ICAV - Global ESG Government Bond UCITS ETF -ETFSHGBP- GBP,LSE,fund,etf,IE000VYC5HU2,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
HVAC,NYSE ARCA,AdvisorShares Trust,HVAC,AdvisorShares HVAC and Industrials ETF,AMEX,fund,etf,US00768Y2717,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
IAIX,LSE,INVESCO MARKETS II PLC INVESCO,IAIX,Invesco Artificial Intelligence Enablers UCITS ETF AccumUSD,LSE,fund,etf,IE000LGWDNE5,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
JABS,NYSE ARCA,Janus Detroit Street Trust,JABS,Janus Henderson Asset-Backed Securities ETF,AMEX,fund,etf,US47103U6881,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
JFS,TSX,JFT Strategies Fund,,,,,,,,,no_tradingview_match
KRUZ,BATS,Unusual Whales Subversive Republican Trading ETF,,,,,,,,,no_tradingview_match
LAYS,NASDAQ,STKd 100% NVDA & 100% AMD ETF,,,,,,,,,no_tradingview_match
LSGR,NYSE ARCA,Natixis ETF Trust II,LSGR,Natixis Loomis Sayles Focused Growth ETF,AMEX,fund,etf,US63875W4069,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
LTAX,NYSE ARCA,Nomura ETF Trust,LTAX,Nomura Tax-Free USA ETF,AMEX,fund,etf,US5559278883,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
MANI,NYSE ARCA,Man ETF Series Trust,MANI,Man Active Income ETF,AMEX,fund,etf,US56164V1052,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
MEME,NYSE ARCA,Roundhill ETF Trust,MEME,Roundhill Meme Stock ETF,AMEX,fund,etf,US77926X8175,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
MHY,NYSE ARCA,Man ETF Series Trust,MHY,Man Active High Yield ETF,AMEX,fund,etf,US56164V2043,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
MKAM,NASDAQ,MKAM ETF,MKAM,MKAM ETF,NASDAQ,fund,etf,US02072L4905,b090e99b8d95f5837ec178c2d3d3fc50,,name_mismatch
MMID,NYSE,MFS Active Exchange Traded Funds Trust,MMID,MFS Active Mid Cap ETF,NYSE,fund,etf,US55286W6030,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
MPCT,TSX,Dream Impact Trust,,,,,,,,,no_tradingview_match
MUNX,NYSE ARCA,AMG ETF Trust,MUNX,AMG GW&K Muni Income ETF,AMEX,fund,etf,US03116L1089,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
NCLP,LSE,WISDOMTREE ISSUER ICAV WT URNM,NCLP,Wisdomtree Uranium And Nuclear Energy Ucits ETF,LSE,fund,etf,IE0003BJ2JS4,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
NDAA,NASDAQ,Ned Davis Research 360 Dynamic Allocation ETF,NDAA,Ned Davis Research 360 Dynamic Allocation ETF,NASDAQ,fund,etf,US8863642562,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
NITE,NYSE ARCA,The Nightview ETF,NITE,Nightview Fund NITE,AMEX,fund,etf,US14064D4850,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
NMBL,NYSE ARCA,NovaTide Flexible Allocation ETF,NMBL,NovaTide Flexible Allocation ETF,AMEX,fund,etf,US45259A7798,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
NOGV11,B3,INTER EQI TEVA ETF BOLSA SEM ESTATAIS FDO DE ÍNDIC,,,,,,,,,no_tradingview_match
OAKG,NYSE ARCA,Harris Oakmark ETF Trust,OAKG,Oakmark Global Large Cap ETF,AMEX,fund,etf,US41456U3041,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
OEFA,NYSE ARCA,ALPS ETF Trust,OEFA,ALPS - O'Shares International Developed Quality Dividend ETF,AMEX,fund,etf,US00162Q3790,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
OPH,ASX,OPHIR HIGH CONVICTION FUND,OPH,Ophir High Conviction Fund Units,ASX,fund,mutual,AU60OPH00027,,,asset_type_mismatch
OWNS,NYSE ARCA,Quaker Investment Trust,OWNS,CCM Affordable Housing MBS ETF,AMEX,fund,etf,US74741A1060,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
PACF,TSX,Purpose Active Conservative Fund,PACF,Purpose Active Conservative Fund Trust Unit,TSX,fund,etf,CA74639B1094,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
PCEM,NYSE ARCA,Litman Gregory Funds Trust,,,,,,,,,no_tradingview_match
PFRL,NYSE ARCA,PGIM ETF Trust,PFRL,PGIM Floating Rate Income ETF,AMEX,fund,etf,US69344A8835,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
PJIO,NYSE ARCA,PGIM ETF Trust,PJIO,PGIM Jennison International Opportunities ETF,AMEX,fund,etf,US69344A8181,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
PMIO,NYSE ARCA,PGIM ETF Trust,PMIO,PGIM Municipal Income Opportunities ETF,AMEX,fund,etf,US69344A7761,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
PR4,ASX,PEPPER RESIDENTIAL SECURITIES TRUST NO. 40,,,,,,,,,no_tradingview_match
PRVS,NYSE,Parnassus Income Funds,PRVS,Parnassus Value Select ETF,NYSE,fund,etf,US7017696060,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
PRXG,NYSE ARCA,Praxis Funds,PRXG,Praxis Impact Large Cap Growth ETF,AMEX,fund,etf,US74006E7360,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
PRXV,NYSE ARCA,Praxis Funds,PRXV,Praxis Impact Large Cap Value ETF,AMEX,fund,etf,US74006E7444,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
PU6,ASX,PEPPER SPARKZ TRUST NO.6,,,,,,,,,no_tradingview_match
PU8,ASX,PEPPER SPARKZ TRUST NO.8,,,,,,,,,no_tradingview_match
PU9,ASX,PEPPER SPARKZ TRUST NO.9,,,,,,,,,no_tradingview_match
PUSH,NYSE ARCA,PGIM ETF Trust,PUSH,PGIM Ultra Short Municipal Bond ETF,AMEX,fund,etf,US69344A7688,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
PVEX,BATS,TrueShares ConVex Protect ETF,PVEX,TrueShares ConVex Protect ETF,CBOE,fund,etf,US2103226658,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
QDAY,NEO,Hamilton EnhancedTechnology DayMAX™ ETF,QDAY,Hamilton Enhanced Technology DayMAX ETF Trust Units,NEO,fund,etf,CA40736A1049,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
QNTG,LSE,VANECK UCITS ETFS PLC VANECK QU,QNTG,VanEck Quantum Computing UCITS ETF Accum Shs -A- USD,LSE,fund,etf,IE0007Y8Y157,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
RAV,TSX,Ravensource Fund,,,,,,,,,no_tradingview_match
RCR.P,TSXV,Canna 8 Investment Trust,RCR.P,Canna 8 Investment Trust,TSXV,stock,common,CA13766K1021,,,asset_type_mismatch
RGOS,ASX,Russell Sust Global Opportunities Complex ETF,RGOS,Russell Invest Sustainable Global Opportunities Complex ETF Units Exchange Traded Fund,ASX,fund,etf,AU0000327132,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
RISR,NYSE ARCA,FolioBeyond Rising Rates ETF,RISR,FolioBeyond Alternative Income and Interest Rate Hedge ETF,AMEX,fund,etf,US8863646373,4071518f1736a5a43dae51b47590322f,,name_mismatch
RJVI,NYSE ARCA,RJ Eagle Vertical Income ETF,RJVI,RJ Eagle Vertical Income ETF,AMEX,fund,etf,US14214M2787,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
RMPH,LSE,RMPH TRM RESPONSIB SRCED PHYS £ HDGD GLD ETC,RMPH,Royal Mint Responsibly Sourced Physical GBP Hedged Gold ETC,LSE,fund,etf,XS2892961827,8fe80395f389e29e3ea42210337f0350,,name_mismatch
RONB,NYSE,Baron ETF Trust,RONB,Baron First Principles ETF,NYSE,fund,etf,US06829D1072,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
RSSY,BATS,Return Stacked U,RSSY,Return Stacked U.S. Stocks & Futures Yield ETF,CBOE,fund,etf,US88636J3453,b090e99b8d95f5837ec178c2d3d3fc50,,name_mismatch
RVRB,BATS,Advisors Series Trust - Reverb ETF,,,,,,,,,no_tradingview_match
SCA,ASX,SCENTRE GROUP TRUST 1 AND SCENTRE GROUP TRUST 2,,,,,,,,,no_tradingview_match
SEGP,LSE,iShares Plc,SEGP,iShares III PLC - iShares EURGovt Bond Climate UCITS ETF AccumHedged GBP,LSE,fund,etf,IE000M9FJ295,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
SLJY,NYSE ARCA,Amplify ETF Trust,SLJY,Amplify SILJ Junior Silver Miners Covered Call ETF,AMEX,fund,etf,US0321084339,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
SMIZ,NYSE ARCA,Zacks Trust,SMIZ,Zacks Small/Mid Cap ETF,AMEX,fund,etf,US98888G2049,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
SMRF,NYSE ARCA,ALPS ETF Trust,SMRF,"ALPS Nautilus SMR, Nuclear & Technology ETF",AMEX,fund,etf,US00162Q3204,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
SMTH,NYSE ARCA,ALPS ETF Trust,SMTH,ALPS/SMITH Core Plus Bond ETF,AMEX,fund,etf,US00162Q3469,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
STBQ,NYSE ARCA,Amplify ETF Trust,STBQ,Amplify Stablecoin Technology ETF,AMEX,fund,etf,US0321083836,b090e99b8d95f5837ec178c2d3d3fc50,,name_mismatch
STXSWX,JSE,Satrix Swix Top 40 ETF,,,,,,,,,no_tradingview_match
SURF,TSXV,Starlight U.S. Residential Fund (Multi-Family) Investment LP,,,,,,,,,no_tradingview_match
THRV,NASDAQ,Prospera Income ETF,THRV,Prospera Income ETF,NASDAQ,fund,etf,US88588B1008,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
TKNQ,NYSE ARCA,Amplify ETF Trust,TKNQ,Amplify Tokenization Technology ETF,AMEX,fund,etf,US0321083679,b090e99b8d95f5837ec178c2d3d3fc50,,name_mismatch
TOAK,NYSE ARCA,Manager Directed Portfolios,TOAK,Twin Oak Short Horizon Absolute Return ETF,AMEX,fund,etf,US56170L6618,4071518f1736a5a43dae51b47590322f,,name_mismatch
TOLL,BATS,Tema Monopolies and Oligopolies ETF,TOLL,Tema Durable Quality ETF,CBOE,fund,etf,US87975E1073,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSES,NYSE ARCA,Truth Social Funds,TSES,Truth Social American Energy Security ETF,AMEX,fund,etf,US89844T4067,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSIC,NYSE ARCA,Truth Social Funds,TSIC,Truth Social American Icons ETF Amrn Icons ETF,AMEX,fund,etf,US89844T3077,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSNF,NYSE ARCA,Truth Social Funds,TSNF,Truth Social American Next Frontiers ETF,AMEX,fund,etf,US89844T2087,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSRS,NYSE ARCA,Truth Social Funds,TSRS,Truth Social American Red State REITs ETF,AMEX,fund,etf,US89844T5056,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
TSSD,NYSE ARCA,Truth Social Funds,TSSD,Truth Social American Security & Defense ETF,AMEX,fund,etf,US89844T1097,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
USAF,NASDAQ,Atlas America Fund,USAF,Atlas America Fund,NASDAQ,fund,etf,US9009344071,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
VANG11,B3,ICATU VANGUARDA INCENTIVADO EM INFRAESTRUTURA,VANG11,Icatu Vanguarda Incentivado Em Infraestrutura Fic De Fi Rf Cp Lp - Resp. Limitada,BMFBOVESPA,fund,mutual,BRVANGCTF004,,,asset_type_mismatch
VCD,ASX,VICINITY CENTRES TRUST,,,,,,,,,no_tradingview_match
WAMA,NASDAQ,WisdomTree US Adaptive Moving Average Fund,WAMA,WisdomTree US Adaptive Moving Average Fund,NASDAQ,fund,etf,US97717Y2202,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
WT,NYSE,WisdomTree Inc.,WT,"WisdomTree, Inc.",NYSE,stock,common,US97717P1049,,,asset_type_mismatch
XACT-NORDE,STO,XACT NORDEN,,,,,,,,,no_tradingview_match
XD12,LSE,X SDG 12 CIRCULAR ECONOMY,,,,,,,,,no_tradingview_match
XFRD,XETRA,db Physical Rhodium ETC (EUR),,,,,,,,,no_tradingview_match
XPAY,NYSE ARCA,Roundhill ETF Trust,XPAY,Roundhill S&P 500 Target 20 Managed Distribution ETF,AMEX,fund,etf,US77926X8589,c05f85d35d1cd0be6ebb2af4be16e06a,,name_mismatch
YFYA,NYSE ARCA,Yields for You Strategy A ETF,YFYA,Yields for You Income Strategy A ETF,AMEX,fund,etf,US53656G3570,b090e99b8d95f5837ec178c2d3d3fc50,,unsupported_asset_class
YYYM,NYSE ARCA,Amplify ETF Trust,YYYM,Amplify Municipal CEF High Income ETF,AMEX,fund,etf,US0321083422,b6e443a6c4a8a2e7918c5dbf3d45c796,,name_mismatch
