exchange_code,operating_mic,segment_mic,canonical_name,country_code,evidence_url,reviewed_at,reviewer
NSE_IN,XNSE,,National Stock Exchange of India,IN,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
NSE_KE,XNAI,,Nairobi Securities Exchange,KE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
NYSE,XNYS,,New York Stock Exchange,US,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
NYSE ARCA,ARCX,,NYSE Arca,US,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
NYSE MKT,XASE,,NYSE American,US,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
NZX,XNZE,,New Zealand Exchange,NZ,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
OSL,XOSL,,Oslo Bors,NO,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
OTC,OTCM,PINX,OTC Markets,US,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
PSE,XPHS,,Philippine Stock Exchange,PH,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
PSE_CZ,XPRA,,Prague Stock Exchange,CZ,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
PSX,XKAR,,Pakistan Stock Exchange,PK,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
QSE,DSMD,,Qatar Stock Exchange,QA,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
RSE,RSEX,,Rwanda Stock Exchange,RW,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
SEM,XMAU,,Stock Exchange of Mauritius,MU,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
SET,XBKK,,The Stock Exchange of Thailand,TH,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
SGX,XSES,,Singapore Exchange,SG,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
SIX,XSWX,,SIX Swiss Exchange,CH,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
SSE,XSHG,,Shanghai Stock Exchange,CN,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
SSE_CL,XSGO,,Santiago Stock Exchange,CL,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
STO,XSTO,,Nasdaq Stockholm,SE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
SZSE,XSHE,,Shenzhen Stock Exchange,CN,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
TADAWUL,XSAU,,Saudi Exchange,SA,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
TASE,XTAE,,Tel Aviv Stock Exchange,IL,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
TPEX,ROCO,,Taipei Exchange,TW,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
TSE,XJPX,XTKS,Tokyo Stock Exchange,JP,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
TSX,XTSE,,Toronto Stock Exchange,CA,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
TSXV,XTSX,,TSX Venture Exchange,CA,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
TWSE,XTAI,,Taiwan Stock Exchange,TW,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
UPCOM,HSTC,,HNX UPCoM,VN,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
USE_UG,XUGA,,Uganda Securities Exchange,UG,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
VSE,XWBO,,Wiener Boerse,AT,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
WSE,XWAR,,Warsaw Stock Exchange,PL,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
XDUS,XDUS,,Boerse Duesseldorf,DE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
XETRA,XETR,,Xetra,DE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
XHAM,XHAM,,Hamburger Boerse,DE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
XHAN,XHAN,,Niedersaechsische Boerse zu Hannover,DE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
XSTU,XSTU,,Boerse Stuttgart,DE,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
ZSE,XZAG,,Zagreb Stock Exchange,HR,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
ZSE_ZW,XZIM,,Zimbabwe Stock Exchange,ZW,https://www.iso20022.org/market-identifier-codes,2026-08-18T06:00:00Z,canonical-ops
