listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,official_masterfile_sources,official_masterfile_sector_values,weak_sector_resolution_queue,residual_decision,deepseek_decision_candidate,deepseek_confidence,deepseek_evidence_needed,deepseek_rationale,deepseek_do_not_apply_reason,review_queue,review_gate,recommended_next_action
NGX::NSLTECH,NSLTECH,NGX,Stock,SECURE ELECTRONIC TECHNOLOGY PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Canonical sector mapping for official sector value 'SERVICES' from NGX masterfile for listing_key NGX::NSLTECH.,Official sector value is available in NGX masterfile but not yet normalized to canonical sector taxonomy; normalization review required.,Cannot apply sector until canonical mapping is verified from official source.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::REDSTAREX,REDSTAREX,NGX,Stock,RED STAR EXPRESS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.3,"Official NGX sector classification mapping to a standard taxonomy (e.g., GICS, ICB) or authoritative source that defines the meaning of 'SERVICES' in a standard context.","The NGX official source provides a sector label 'SERVICES', but it is not from a recognized standard industry taxonomy. Without a canonical mapping, the sector cannot be applied. Official evidence is needed to map this label to a standard sector classification.",Raw sector value 'SERVICES' from NGX lacks canonical taxonomy mapping; applying directly would introduce non-standard data.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::RTBRISCOE,RTBRISCOE,NGX,Stock,R T BRISCOE PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.3,"Official NGX sector classification mapping to a standard taxonomy (e.g., GICS, ICB) or authoritative source that defines the meaning of 'SERVICES' in a standard context.","The NGX official source provides a sector label 'SERVICES', but it is not from a recognized standard industry taxonomy. Without a canonical mapping, the sector cannot be applied. Official evidence is needed to map this label to a standard sector classification.",Raw sector value 'SERVICES' from NGX lacks canonical taxonomy mapping; applying directly would introduce non-standard data.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::SKYAVN,SKYAVN,NGX,Stock,SKYWAY AVIATION HANDLING COMPANY PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.3,"Official NGX sector classification mapping to a standard taxonomy (e.g., GICS, ICB) or authoritative source that defines the meaning of 'SERVICES' in a standard context.","The NGX official source provides a sector label 'SERVICES', but it is not from a recognized standard industry taxonomy. Without a canonical mapping, the sector cannot be applied. Official evidence is needed to map this label to a standard sector classification.",Raw sector value 'SERVICES' from NGX lacks canonical taxonomy mapping; applying directly would introduce non-standard data.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::TANTALIZER,TANTALIZER,NGX,Stock,TANTALIZERS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.3,"Official NGX sector classification mapping to a standard taxonomy (e.g., GICS, ICB) or authoritative source that defines the meaning of 'SERVICES' in a standard context.","The NGX official source provides a sector label 'SERVICES', but it is not from a recognized standard industry taxonomy. Without a canonical mapping, the sector cannot be applied. Official evidence is needed to map this label to a standard sector classification.",Raw sector value 'SERVICES' from NGX lacks canonical taxonomy mapping; applying directly would introduce non-standard data.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::TRANSCOHOT,TRANSCOHOT,NGX,Stock,TRANSCORP HOTELS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.3,"Official NGX sector classification mapping to a standard taxonomy (e.g., GICS, ICB) or authoritative source that defines the meaning of 'SERVICES' in a standard context.","The NGX official source provides a sector label 'SERVICES', but it is not from a recognized standard industry taxonomy. Without a canonical mapping, the sector cannot be applied. Official evidence is needed to map this label to a standard sector classification.",Raw sector value 'SERVICES' from NGX lacks canonical taxonomy mapping; applying directly would introduce non-standard data.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::TRANSCORP,TRANSCORP,NGX,Stock,TRANSNATIONAL CORPORATION OF NIGERIA PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Official sector value from NGX and canonical sector mapping.,The official source provides a sector value 'CONGLOMERATES' which requires normalization to the canonical taxonomy before applying.,Sector value requires canonical normalization; no direct application until confirmed.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::TRANSEXPR,TRANSEXPR,NGX,Stock,TRANS-NATIONWIDE EXPRESS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Official sector value from NGX and canonical sector mapping.,The official source provides a sector value 'SERVICES' which requires normalization to the canonical taxonomy before applying.,Sector value requires canonical normalization; no direct application until confirmed.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::UACN,UACN,NGX,Stock,UAC OF NIGERIA PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Official sector value from NGX and canonical sector mapping.,The official source provides a sector value 'CONGLOMERATES' which requires normalization to the canonical taxonomy before applying.,Sector value requires canonical normalization; no direct application until confirmed.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
NGX::VFDGROUP,VFDGROUP,NGX,Stock,VFD GROUP,official_industry_taxonomy_unavailable_gap,accepted_source_gap,ngx_company_profile_directory|ngx_equities_price_list,INVESTMENT,official_sector_candidate_normalization_review,official_sector_available_review_apply,needs_official_evidence,0.2,Official sector value from NGX and canonical sector mapping.,The official source provides a sector value 'INVESTMENT' which requires normalization to the canonical taxonomy before applying.,Sector value requires canonical normalization; no direct application until confirmed.,official_sector_value_mapping_review,Do not apply the raw official sector value as a canonical sector until a reviewer records a venue-specific mapping rule and exact listing-key evidence.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
CSE_LK::GUAR.N0000,GUAR.N0000,CSE_LK,Stock,CEYLON GUARDIAN INVESTMENT TRUST PLC,fundlike_stock_sector_gap,core_exclusion_candidate,cse_lk_all_security_code|cse_lk_company_info_summary,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,out_of_scope_candidate,0.2,"Official listing scope confirmation to determine if this is core, extended, or excluded.",The listing is fund-like and a core exclusion candidate; sector fill is blocked until scope review is complete.,Scope review required; sector fill blocked until listing scope is confirmed.,scope_review_before_sector_fill,"Do not fill sector until the listing scope is reviewed as core, extended, or excluded.","Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
CSE_LK::LVEF.N0000,LVEF.N0000,CSE_LK,Stock,L V L ENERGY FUND PLC,fundlike_stock_sector_gap,core_exclusion_candidate,cse_lk_all_security_code|cse_lk_company_info_summary,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,needs_official_evidence,0.1,"Official listing scope evidence from CSE to determine whether LVEF.N0000 is a core, extended, or excluded security. Current masterfile does not expose a sector and official sector values are none. Sector enrichment cannot proceed without scope confirmation.","The instrument is flagged as a fund-like stock with a sector gap, but the source of truth outcome is core_exclusion_candidate. Without official scope evidence, sector fill is blocked. Masterfile match exists but no sector data is provided.","No sector fill until listing scope is confirmed as core, extended, or excluded.",keep_source_gap_until_official_taxonomy,Keep sector blank until an official venue taxonomy or issuer taxonomy source maps the exact listing.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
CSE_LK::NAVF.U0000,NAVF.U0000,CSE_LK,Stock,NAMAL ACUITY VALUE FUND,fundlike_stock_sector_gap,core_exclusion_candidate,cse_lk_all_security_code|cse_lk_company_info_summary,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,needs_official_evidence,0.1,"Official listing scope evidence from CSE to determine whether NAVF.U0000 is a core, extended, or excluded security. Current masterfile does not expose a sector and official sector values are none. Sector enrichment cannot proceed without scope confirmation.","The instrument is flagged as a fund-like stock with a sector gap, but the source of truth outcome is core_exclusion_candidate. Without official scope evidence, sector fill is blocked. Masterfile match exists but no sector data is provided.","No sector fill until listing scope is confirmed as core, extended, or excluded.",keep_source_gap_until_official_taxonomy,Keep sector blank until an official venue taxonomy or issuer taxonomy source maps the exact listing.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
PSE::ALLHC,ALLHC,PSE,Stock,AyalaLand Logistics Holdings Corp,shell_or_cpc_sector_gap,core_exclusion_candidate,pse_listed_company_directory,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,needs_official_evidence,0.1,"Official listing scope evidence from PSE to determine whether ALLHC is a core, extended, or excluded security. It is currently flagged as a shell or CPC with a sector gap; official masterfile exposes no sector. Sector fill requires scope resolution.","The source of truth outcome is core_exclusion_candidate, indicating uncertain scope. With official sector values missing and masterfile not exposing sector, only official scope evidence can unlock further enrichment.","No sector fill until listing scope is confirmed as core, extended, or excluded.",keep_source_gap_until_official_taxonomy,Keep sector blank until an official venue taxonomy or issuer taxonomy source maps the exact listing.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
PSE::ALTER,ALTER,PSE,Stock,Alternergy Holdings Corp.,shell_or_cpc_sector_gap,core_exclusion_candidate,pse_listed_company_directory,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,needs_official_evidence,0.1,"Official listing scope evidence from PSE to determine whether ALTER is a core, extended, or excluded security. It is flagged as a shell or CPC with a sector gap; masterfile provides no sector data. Scope confirmation is required before any sector fill.","Outcome is core_exclusion_candidate and official sector values are none. Without a definitive scope, sector enrichment is premature.","No sector fill until listing scope is confirmed as core, extended, or excluded.",keep_source_gap_until_official_taxonomy,Keep sector blank until an official venue taxonomy or issuer taxonomy source maps the exact listing.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
PSE::CREIT,CREIT,PSE,Stock,Citicore Energy REIT Corp,fundlike_stock_sector_gap,core_exclusion_candidate,pse_listed_company_directory,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,needs_official_evidence,0.1,"Official listing scope evidence from PSE to determine whether CREIT is a core, extended, or excluded security. It is a REIT-like stock with a sector gap; official sector values are absent. Scope must be resolved before sector enrichment.",Flagged as fundlike stock and core_exclusion_candidate. Masterfile match exists but no sector exposure. Sector fill blocked until exchange scope is officially confirmed.,"No sector fill until listing scope is confirmed as core, extended, or excluded.",keep_source_gap_until_official_taxonomy,Keep sector blank until an official venue taxonomy or issuer taxonomy source maps the exact listing.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
PSE::DDMPR,DDMPR,PSE,Stock,DDMP REIT Inc,fundlike_stock_sector_gap,core_exclusion_candidate,pse_listed_company_directory,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,needs_official_evidence,0.3,"Official listing scope evidence (e.g., from PSE listing directory or regulatory filing) to determine if the listing should be classified as core or excluded.","The ticker is a core exclusion candidate because it is a REIT (fundlike_stock_sector_gap), but the official masterfile (pse_listed_company_directory) does not expose sector values, preventing a scope determination.",Cannot apply sector enrichment or scope decision without official scope evidence.,keep_source_gap_until_official_taxonomy,Keep sector blank until an official venue taxonomy or issuer taxonomy source maps the exact listing.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
PSE::DITO,DITO,PSE,Stock,Dito CME Holdings Corp,shell_or_cpc_sector_gap,core_exclusion_candidate,pse_listed_company_directory,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,needs_official_evidence,0.3,"Official listing scope evidence (e.g., from PSE listing directory or regulatory filing) to determine if the listing should be classified as core or excluded.","The ticker is a core exclusion candidate because it is flagged as a shell or CPC (shell_or_cpc_sector_gap), but the official masterfile (pse_listed_company_directory) does not expose sector values, preventing a scope determination.",Cannot apply sector enrichment or scope decision without official scope evidence.,keep_source_gap_until_official_taxonomy,Keep sector blank until an official venue taxonomy or issuer taxonomy source maps the exact listing.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
PSE::FILRT,FILRT,PSE,Stock,Filinvest REIT Corp,fundlike_stock_sector_gap,core_exclusion_candidate,pse_listed_company_directory,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,needs_official_evidence,0.3,"Official listing scope evidence (e.g., from PSE listing directory or regulatory filing) to determine if the listing should be classified as core or excluded.","The ticker is a core exclusion candidate because it is a REIT (fundlike_stock_sector_gap), but the official masterfile (pse_listed_company_directory) does not expose sector values, preventing a scope determination.",Cannot apply sector enrichment or scope decision without official scope evidence.,keep_source_gap_until_official_taxonomy,Keep sector blank until an official venue taxonomy or issuer taxonomy source maps the exact listing.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
PSE::LPZ,LPZ,PSE,Stock,Lopez Holdings Corp,shell_or_cpc_sector_gap,core_exclusion_candidate,pse_listed_company_directory,,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,needs_official_evidence,0.3,"Official listing scope evidence (e.g., from PSE listing directory or regulatory filing) to determine if the listing should be classified as core or excluded.","The ticker is a core exclusion candidate because it is flagged as a shell or CPC (shell_or_cpc_sector_gap), but the official masterfile (pse_listed_company_directory) does not expose sector values, preventing a scope determination.",Cannot apply sector enrichment or scope decision without official scope evidence.,keep_source_gap_until_official_taxonomy,Keep sector blank until an official venue taxonomy or issuer taxonomy source maps the exact listing.,"Record a listing-keyed official taxonomy mapping decision, or leave the sector blank as a reviewed source gap. DeepSeek output alone must not be applied."
