campaign,exchange,review_queue,official_sources,rows,action_queue,evidence_required,review_strategy,recommended_next_source,source_gate,example_listing_keys
canada_scope_blocker,TSXV,core_exclusion_candidate_identifier_scope_review,tmx_listed_issuers,30,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_for_core_extended_or_exclude,scope_review_before_canada_identifier_enrichment,"tmx_listed_issuers plus reviewed scope decision for core, extended, or exclude before identifier work.","No ISIN or FIGI enrichment until the listing is reviewed as core, extended, or excluded.",TSXV::AFV.P|TSXV::AQR.P|TSXV::BAQ.P|TSXV::BOGO|TSXV::DAQ.P|TSXV::EIRE.P|TSXV::FGCC.P|TSXV::GLIN.P|TSXV::GOWC.P|TSXV::GQ
canada_scope_blocker,TSXV,core_exclusion_candidate_metadata_scope_review,none,3,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_before_sector_or_category_fill,scope_review_before_canada_metadata_enrichment,current official exchange or issuer source plus reviewed scope decision before any sector or ETF-category work.,No sector or category fill until scope is decided with official listing evidence.,TSXV::EIRE-P|TSXV::RCR-P|TSXV::THY-P
canada_scope_blocker,TSXV,core_exclusion_candidate_metadata_scope_review,tmx_listed_issuers,64,decide_scope_before_identifier_or_metadata_enrichment,official_listing_scope_decision_before_sector_or_category_fill,scope_review_before_canada_metadata_enrichment,tmx_listed_issuers plus reviewed scope decision before any sector or ETF-category work.,No sector or category fill until scope is decided with official listing evidence.,TSXV::ADJ.P|TSXV::ALDD.P|TSXV::AMV.P|TSXV::AMYA.P|TSXV::AOCC.P|TSXV::AUNK.P|TSXV::AZC.P|TSXV::BLCC.P|TSXV::BLTC.P|TSXV::CAPL.P
canada_isin_source_gap,TSX,missing_isin_official_canada_masterfiles_do_not_expose_isin,tmx_listed_issuers,18,seek_official_csd_issuer_or_transfer_agent_isin_source,official_csd_issuer_or_reviewed_identifier_source_with_exact_listing_match_and_valid_isin,seek_official_canada_isin_source,"Official CSD, issuer, prospectus, transfer-agent, or reviewed identifier source exposing a valid ISIN.",Keep ISIN blank until a direct official or reviewed identifier source exposes a valid checksum ISIN.,TSX::AGF|TSX::BBD|TSX::BEK|TSX::BPO|TSX::CIU|TSX::DAY|TSX::DNTL|TSX::GCG|TSX::LIRC|TSX::LN
canada_isin_source_gap,TSX,missing_isin_reviewed_source_gap,none,6,seek_official_csd_issuer_or_transfer_agent_isin_source,stronger_official_identifier_source_before_isin_fill,keep_isin_blank_until_stronger_official_source,"Stronger official Canada identifier source with exact listing-key, issuer/name, and valid ISIN evidence.",Keep ISIN blank until stronger official evidence resolves the reviewed source gap.,TSX::BEK-B|TSX::DII-A|TSX::NRR-UN|TSX::SPPP-U|TSX::TVA-B|TSX::XMF-A
canada_isin_source_gap,TSXV,missing_isin_official_canada_masterfiles_do_not_expose_isin,tmx_listed_issuers,35,seek_official_csd_issuer_or_transfer_agent_isin_source,official_csd_issuer_or_reviewed_identifier_source_with_exact_listing_match_and_valid_isin,seek_official_canada_isin_source,"Official CSD, issuer, prospectus, transfer-agent, or reviewed identifier source exposing a valid ISIN.",Keep ISIN blank until a direct official or reviewed identifier source exposes a valid checksum ISIN.,TSXV::AFR|TSXV::AGMR|TSXV::AJA|TSXV::ARGH|TSXV::AXO|TSXV::BNXA|TSXV::BONE|TSXV::CNCO|TSXV::CRD|TSXV::DGC
canada_isin_source_gap,TSXV,missing_isin_reviewed_source_gap,none,2,seek_official_csd_issuer_or_transfer_agent_isin_source,stronger_official_identifier_source_before_isin_fill,keep_isin_blank_until_stronger_official_source,"Stronger official Canada identifier source with exact listing-key, issuer/name, and valid ISIN evidence.",Keep ISIN blank until stronger official evidence resolves the reviewed source gap.,TSXV::PVF-UN|TSXV::XTAO-U
canada_figi_reviewed_source_gap,NEO,reviewed_openfigi_no_match_source_gap,none,1,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_no_match_reviewed,keep_figi_blank_after_reviewed_openfigi_no_match,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,NEO::AEMX
canada_figi_reviewed_source_gap,TSX,reviewed_openfigi_no_match_source_gap,none,6,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_no_match_reviewed,keep_figi_blank_after_reviewed_openfigi_no_match,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,TSX::D-UN|TSX::NWH-UN|TSX::NXR-UN|TSX::PIC-A|TSX::RFA|TSX::TNT-UN
canada_figi_reviewed_source_gap,TSX,reviewed_openfigi_no_match_source_gap,tmx_etf_screener,6,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_no_match_reviewed,keep_figi_blank_after_reviewed_openfigi_no_match,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,TSX::CHPS.U|TSX::DLR.U|TSX::FEBB.F|TSX::FLOT.U|TSX::HTB.U|TSX::NOVB.F
canada_figi_reviewed_source_gap,TSX,reviewed_openfigi_no_match_source_gap,tmx_etf_screener|tmx_listed_issuers,63,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_no_match_reviewed,keep_figi_blank_after_reviewed_openfigi_no_match,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,TSX::BKCC|TSX::BKCL|TSX::CBIL|TSX::CNCC|TSX::CNCL|TSX::EHE|TSX::ETHQ|TSX::FBGO|TSX::FBT|TSX::FCII
canada_figi_reviewed_source_gap,TSX,reviewed_openfigi_no_match_source_gap,tmx_interlisted_companies|tmx_listed_issuers,3,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_no_match_reviewed,keep_figi_blank_after_reviewed_openfigi_no_match,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,TSX::BCT|TSX::BITF|TSX::PMET
canada_figi_reviewed_source_gap,TSX,reviewed_openfigi_no_match_source_gap,tmx_listed_issuers,13,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_no_match_reviewed,keep_figi_blank_after_reviewed_openfigi_no_match,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,TSX::ANRG|TSX::GMIN|TSX::HBP|TSX::HSUV|TSX::NPS|TSX::PDV|TSX::PWI|TSX::RPR|TSX::SDE|TSX::UBIL
canada_figi_reviewed_source_gap,TSXV,reviewed_openfigi_cross_isin_collision_source_gap,tmx_interlisted_companies|tmx_listed_issuers,1,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_cross_isin_collision_reviewed,keep_figi_blank_after_reviewed_openfigi_cross_isin_collision,Stronger FIGI source resolving the cross-ISIN collision with exact listing-key evidence.,Do not apply cross-ISIN FIGI candidates; require stronger listing-keyed collision resolution.,TSXV::MRZL
canada_figi_reviewed_source_gap,TSXV,reviewed_openfigi_no_match_source_gap,none,1,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_no_match_reviewed,keep_figi_blank_after_reviewed_openfigi_no_match,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,TSXV::WT-H
canada_figi_reviewed_source_gap,TSXV,reviewed_openfigi_no_match_source_gap,tmx_interlisted_companies|tmx_listed_issuers,1,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_no_match_reviewed,keep_figi_blank_after_reviewed_openfigi_no_match,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,TSXV::ITR
canada_figi_reviewed_source_gap,TSXV,reviewed_openfigi_no_match_source_gap,tmx_listed_issuers,55,keep_figi_blank_until_stronger_reviewed_figi_source,stronger_figi_source_required_openfigi_no_match_reviewed,keep_figi_blank_after_reviewed_openfigi_no_match,Stronger FIGI source or reviewed OpenFIGI re-check evidence; existing no-match remains a source gap.,Do not re-probe or fill FIGI from symbol/name; keep blank until stronger reviewed FIGI evidence exists.,TSXV::AGA|TSXV::AUEN|TSXV::AVN|TSXV::AWE|TSXV::AZR|TSXV::BTV|TSXV::CCCM|TSXV::CHS|TSXV::EDDY|TSXV::EDY
canada_metadata_source_gap,TSX,metadata_source_gap_keep_blank_until_stronger_source,none,1,keep_metadata_blank_until_stronger_official_source,reviewed_issuer_or_product_metadata_source_with_exact_listing_match,keep_metadata_blank_until_stronger_official_source,"Official issuer, product, exchange, or reviewed registry metadata source with exact listing match.",Keep metadata blank until exact official or reviewed metadata evidence exists.,TSX::SPAC-U
canada_metadata_source_gap,TSXV,metadata_source_gap_keep_blank_until_stronger_source,none,3,keep_metadata_blank_until_stronger_official_source,reviewed_issuer_or_product_metadata_source_with_exact_listing_match,keep_metadata_blank_until_stronger_official_source,"Official issuer, product, exchange, or reviewed registry metadata source with exact listing match.",Keep metadata blank until exact official or reviewed metadata evidence exists.,TSXV::JCI-H|TSXV::MUST-H|TSXV::TTO-H
