financialdata_symbol,financialdata_ticker,financialdata_exchange,financialdata_name,financialdata_review_scope,official_ticker,official_exchange,official_name,official_isin,official_source_key,official_reference_scope,decision,reason,financialdata_review_queue,review_priority,review_strategy,apply_eligibility,verification_evidence_required,recommended_next_source,source_gate,financialdata_discovery_context,official_identity_context,supplement_review_context
EMBR3.SA,EMBR3,B3,Embraer S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=EMBR3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
GOLL4.SA,GOLL4,B3,GOL Linhas Aéreas Inteligentes S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=GOLL4;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
GPIV33.SA,GPIV33,B3,"GP Investments, Ltd",current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=GPIV33;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
JBSS3.SA,JBSS3,B3,JBS S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=JBSS3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
MRFG3.SA,MRFG3,B3,Marfrig Global Foods S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=MRFG3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
NTCO3.SA,NTCO3,B3,Natura &Co Holding S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=NTCO3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
PORT3.SA,PORT3,B3,"Wilson, Sons Limited",current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=PORT3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
SANB11.SA,SANB11,B3,Banco Santander (Brasil) S.A.,current_exchange_gap,SANB11,B3,BCO SANTANDER (BRASIL) S.A.,BRSANBCDAM13,b3_instruments_equities,exchange_directory,preserve,already_in_financialdata_supplement,preserve_existing_reviewed_supplement,P4,preserve_existing_reviewed_supplement_no_new_apply,preserve_existing_reviewed_supplement_no_new_apply,existing_reviewed_supplement_retained_with_original_official_source,Existing reviewed FinancialData supplement source; re-check only if the original official source changes.,Preserve existing reviewed supplement; do not create a new row from FinancialData alone.,financialdata_exchange=B3;financialdata_ticker=SANB11;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=B3;official_ticker=SANB11;official_source_key=b3_instruments_equities;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=preserve;reason=already_in_financialdata_supplement;financialdata_review_queue=preserve_existing_reviewed_supplement;apply_eligibility=preserve_existing_reviewed_supplement_no_new_apply;verification_evidence_required=existing_reviewed_supplement_retained_with_original_official_source
SAPR11.SA,SAPR11,B3,Sanepar,current_exchange_gap,SAPR11,B3,CIA SANEAMENTO DO PARANA - SANEPAR,BRSAPRCDAM13,b3_instruments_equities,exchange_directory,preserve,already_in_financialdata_supplement,preserve_existing_reviewed_supplement,P4,preserve_existing_reviewed_supplement_no_new_apply,preserve_existing_reviewed_supplement_no_new_apply,existing_reviewed_supplement_retained_with_original_official_source,Existing reviewed FinancialData supplement source; re-check only if the original official source changes.,Preserve existing reviewed supplement; do not create a new row from FinancialData alone.,financialdata_exchange=B3;financialdata_ticker=SAPR11;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=B3;official_ticker=SAPR11;official_source_key=b3_instruments_equities;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=preserve;reason=already_in_financialdata_supplement;financialdata_review_queue=preserve_existing_reviewed_supplement;apply_eligibility=preserve_existing_reviewed_supplement_no_new_apply;verification_evidence_required=existing_reviewed_supplement_retained_with_original_official_source
SGPS3.SA,SGPS3,B3,Springs Global Participações S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=SGPS3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
STBP3.SA,STBP3,B3,Santos Brasil Participações S.A.,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=B3;financialdata_ticker=STBP3;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
AGTA.L,AGTA,LSE,Agriterra Limited,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=AGTA;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
AIRC.L,AIRC,LSE,Air China,current_exchange_gap,AIRC,LSE,AIR CHINA LD,CNE1000001S0,lse_price_explorer,exchange_directory,skip,isin_already_exists_in_database,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review,Existing database ISIN evidence plus cross-listing review before any supplemental listing.,Do not duplicate an existing database ISIN without explicit cross-listing review.,financialdata_exchange=LSE;financialdata_ticker=AIRC;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=AIRC;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=isin_already_exists_in_database;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review
APAX.L,APAX,LSE,Apax Global Alpha,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=APAX;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
AZN.L,AZN,LSE,AstraZeneca plc,current_exchange_gap,AZN,LSE,ASTRAZENECA PLC,GB0009895292,lse_price_explorer,exchange_directory,skip,isin_already_exists_in_database,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review,Existing database ISIN evidence plus cross-listing review before any supplemental listing.,Do not duplicate an existing database ISIN without explicit cross-listing review.,financialdata_exchange=LSE;financialdata_ticker=AZN;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=AZN;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=isin_already_exists_in_database;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=existing_database_isin_confirms_no_supplement_needed_or_cross_listing_review
BAB.L,BAB,LSE,Babcock International Group plc,current_exchange_gap,BAB,LSE,BABCOCK INTERNATIONAL GROUP PLC,GB0009697037,lse_price_explorer,exchange_directory,skip,ticker_already_exists_globally,collision_guard_no_supplement_apply,P3,hold_existing_identifier_collision_until_identity_review_resolves,no_supplement_apply_existing_identifier_or_collision_guard,identity_resolution_before_any_global_ticker_reuse,Listing-keyed identity-resolution evidence before considering any global ticker reuse.,Do not reuse a global ticker without listing-keyed identity resolution.,financialdata_exchange=LSE;financialdata_ticker=BAB;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=LSE;official_ticker=BAB;official_source_key=lse_price_explorer;official_reference_scope=exchange_directory;official_isin_present=true;official_name_present=true,decision=skip;reason=ticker_already_exists_globally;financialdata_review_queue=collision_guard_no_supplement_apply;apply_eligibility=no_supplement_apply_existing_identifier_or_collision_guard;verification_evidence_required=identity_resolution_before_any_global_ticker_reuse
BAKK.L,BAKK,LSE,Bakkavör Group plc,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=BAKK;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
BCPT.L,BCPT,LSE,Balanced Commercial Property Trust,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=BCPT;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
BEG.L,BEG,LSE,Begbies Traynor Group plc,current_exchange_gap,,,,,,,reject,no_name_gated_official_isin_match,keep_absent_until_official_name_gated_match,P2,keep_absent_until_official_name_gated_identifier_evidence_exists,keep_absent_until_name_gated_official_isin_match,official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing,"Official active masterfile, registry, or issuer source matching FinancialData name and listing identity.",Keep absent until an official active source satisfies exact name/listing identity and ISIN gates.,financialdata_exchange=LSE;financialdata_ticker=BEG;financialdata_review_scope=current_exchange_gap;financialdata_name_present=true,official_exchange=none;official_ticker=none;official_source_key=none;official_reference_scope=none;official_isin_present=false;official_name_present=false,decision=reject;reason=no_name_gated_official_isin_match;financialdata_review_queue=keep_absent_until_official_name_gated_match;apply_eligibility=keep_absent_until_name_gated_official_isin_match;verification_evidence_required=official_active_masterfile_or_registry_row_matching_financialdata_name_and_listing
