campaign,listing_key,ticker,exchange,asset_type,name,target_field,current_value,official_values,canonical_value,evidence_source,confidence_reason,decision,review_priority,verification_evidence_required,recommended_next_source,source_gate
C1_sector_etf_category_truth,SZSE::000035,000035,SZSE,Stock,China Tianying Inc,stock_sector,Industrials,Utilities,Utilities,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,KRX::000040,000040,KRX,Stock,KR Motors Co. Ltd.,stock_sector,Consumer Discretionary,Industrials,Industrials,KRX:krx_listed_companies,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000045,000045,SZSE,Stock,Shenzhen Textile Holdings Co Ltd,stock_sector,Information Technology,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000056,000056,SZSE,Stock,Shenzhen Wongtee International Enterprise Co Ltd,stock_sector,Real Estate,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000059,000059,SZSE,Stock,North Huajin Chemical Industries Co Ltd,stock_sector,Materials,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000060,000060,SZSE,Stock,Shenzhen Zhongjin Lingnan Nonfemet Co Ltd,stock_sector,Materials,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000061,000061,SZSE,Stock,Shenzhen Agricultural Products Co Ltd,stock_sector,Consumer Staples,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000062,000062,SZSE,Stock,Shenzhen Huaqiang Industry Co Ltd,stock_sector,Information Technology,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000063,000063,SZSE,Stock,ZTE Corp,stock_sector,Information Technology,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000065,000065,SZSE,Stock,NORINCO International Cooperation Ltd,stock_sector,Industrials,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000066,000066,SZSE,Stock,China Greatwall Computer Shenzhen Co Ltd,stock_sector,Information Technology,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000068,000068,SZSE,Stock,Shenzhen Huakong Seg Co Ltd,stock_sector,Information Technology,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000078,000078,SZSE,Stock,Shenzhen Neptunus Bioengineering Co Ltd,stock_sector,Health Care,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000096,000096,SZSE,Stock,Shenzhen Guangju Energy Co Ltd,stock_sector,Energy,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,KRX::000140,000140,KRX,Stock,Hitejinro Holdings,stock_sector,Consumer Staples,Financials,Financials,KRX:krx_listed_companies,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,KRX::000150,000150,KRX,Stock,Doosan,stock_sector,Industrials,Information Technology,Information Technology,KRX:krx_listed_companies,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000151,000151,SZSE,Stock,China National Complete Plant Import & Export Corp Ltd,stock_sector,Industrials,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000153,000153,SZSE,Stock,Anhui Fengyuan Pharmaceutical Co Ltd,stock_sector,Health Care,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000156,000156,SZSE,Stock,Wasu Media Holding Co Ltd,stock_sector,Communication Services,Information Technology,Information Technology,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000158,000158,SZSE,Stock,"Shijiazhuang Changshan Beiming Technology Co., Ltd.",stock_sector,Consumer Discretionary,Information Technology,Information Technology,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000159,000159,SZSE,Stock,Xinjiang International Industry Co Ltd,stock_sector,Energy,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,KRX::000180,000180,KRX,Stock,Sungchang Hold,stock_sector,Materials,Industrials,Industrials,KRX:krx_listed_companies,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,KRX::000240,000240,KRX,Stock,Hankook Tire Worldwide,stock_sector,Consumer Discretionary,Financials,Financials,KRX:krx_listed_companies,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000301,000301,SZSE,Stock,Jiangsu Wujiang China Eastern Silk Market Co Ltd,stock_sector,Consumer Discretionary,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,KRX::000320,000320,KRX,Stock,Norooholdings,stock_sector,Materials,Financials,Financials,KRX:krx_listed_companies,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000333,000333,SZSE,Stock,Midea Group Co Ltd,stock_sector,Consumer Discretionary,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000401,000401,SZSE,Stock,Tangshan Jidong Cement Co Ltd,stock_sector,Materials,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000403,000403,SZSE,Stock,Pacific Shuanglin Bio pharmacy Co Ltd,stock_sector,Health Care,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000407,000407,SZSE,Stock,Shandong Shengli Co Ltd,stock_sector,Energy,Utilities,Utilities,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000408,000408,SZSE,Stock,Zangge Holding Co Ltd,stock_sector,Materials,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000411,000411,SZSE,Stock,Zhejiang Int'L Group Co Ltd,stock_sector,Health Care,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000421,000421,SZSE,Stock,Nanjing Zhongbei Group Co Ltd,stock_sector,Industrials,Utilities,Utilities,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000422,000422,SZSE,Stock,Hubei Yihua Chemical Industry Co Ltd,stock_sector,Materials,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000423,000423,SZSE,Stock,Shan Dong Dong-E E-Jiao Co Ltd,stock_sector,Health Care,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,KOSDAQ::000440,000440,KOSDAQ,Stock,Joong Ang Enervis Co. Ltd,stock_sector,Energy,Consumer Discretionary,Consumer Discretionary,KRX:krx_listed_companies,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000488,000488,SZSE,Stock,Shandong Chenming Paper Holdings Ltd,stock_sector,Materials,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,KRX::000500,000500,KRX,Stock,Gaon Cable,stock_sector,Information Technology,Industrials,Industrials,KRX:krx_listed_companies,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000503,000503,SZSE,Stock,China Reform Health Management and Services Group Co Ltd,stock_sector,Health Care,Information Technology,Information Technology,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000504,000504,SZSE,Stock,Nanhua Bio Medicine Co Ltd,stock_sector,Health Care,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000505,000505,SZSE,Stock,Hainan Pearl River Holdings Co Ltd,stock_sector,Consumer Staples,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000506,000506,SZSE,Stock,Zhongrun Resources Investment,stock_sector,Real Estate,Materials,Materials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000510,000510,SZSE,Stock,Sichuan Jinlu Group Co Ltd,stock_sector,Materials,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000513,000513,SZSE,Stock,Livzon Pharmaceutical Group Inc,stock_sector,Health Care,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000518,000518,SZSE,Stock,Jiangsu Sihuan Bioengineering Co Ltd,stock_sector,Health Care,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000521,000521,SZSE,Stock,Changhong Meiling Co Ltd,stock_sector,Consumer Discretionary,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000523,000523,SZSE,Stock,Lonkey Industrial Co Ltd Guangzhou,stock_sector,Consumer Staples,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000524,000524,SZSE,Stock,Guangzhou Dongfang Hotel Co Ltd,stock_sector,Consumer Discretionary,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000525,000525,SZSE,Stock,Nanjing Red Sun Co Ltd,stock_sector,Materials,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000526,000526,SZSE,Stock,Xiamen Insight Investment Co Ltd,stock_sector,Consumer Staples,Consumer Discretionary,Consumer Discretionary,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000529,000529,SZSE,Stock,Guangdong Guanghong Holdings Co Ltd,stock_sector,Consumer Staples,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
C1_sector_etf_category_truth,SZSE::000532,000532,SZSE,Stock,Zhuhai Huajin Capital Co Ltd,stock_sector,Financials,Industrials,Industrials,SZSE:szse_a_share_list,official_active_masterfile_sector_with_conservative_canonical_mapping,manual_review_official_value_conflicts_with_current,P2,official_taxonomy_value_exact_listing_key_and_canonical_mapping,"Official venue, registry, issuer, or exchange taxonomy for the exact listing.",Apply only after exact listing-key official taxonomy evidence and canonical mapping review.
