ticker,alias,alias_type,status,detection_policy,confidence,reason,duplicate_ticker_count
000027,CNE000000933,isin,reject,identifier_only,0.99,identifier_alias,1
000027,shenzhen energy group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000027,shenzhen energy,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000028,CNE0000009N6,isin,reject,identifier_only,0.99,identifier_alias,1
000029,CNE0000009X5,isin,reject,identifier_only,0.99,identifier_alias,1
000029,shenzhen special economic zone real estate & properties group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00003,HK0003000038,isin,reject,identifier_only,0.99,identifier_alias,1
00003,hk & china gas,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000030,CNE0000009Z0,isin,reject,identifier_only,0.99,identifier_alias,1
000030,fawer automotive parts,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000031,CNE000000BJ5,isin,reject,identifier_only,0.99,identifier_alias,1
000031,grandjoy holdings group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000031,grandjoy,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000032,CNE000000BK3,isin,reject,identifier_only,0.99,identifier_alias,1
000032,shenzhen sed industry,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000034,CNE000000DQ6,isin,reject,identifier_only,0.99,identifier_alias,1
000034,digital china group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000035,CNE000000FN8,isin,reject,identifier_only,0.99,identifier_alias,1
000035,china tianying,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000036,CNE000000G13,isin,reject,identifier_only,0.99,identifier_alias,1
000036,china union holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000036,china union,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000037,CNE000000G62,isin,reject,identifier_only,0.99,identifier_alias,1
000039,CNE000000644,isin,reject,identifier_only,0.99,identifier_alias,1
000039,china international marine containers group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000039,china international marine containers,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00004,HK0004000045,isin,reject,identifier_only,0.99,identifier_alias,1
00004,wharf holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000040,KR7000040006,isin,reject,identifier_only,0.99,identifier_alias,1
000040,kr motors,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000042,CNE000000H53,isin,reject,identifier_only,0.99,identifier_alias,1
000042,shenzhen centralcon investment holding,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000042,shenzhen centralcon investment,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000045,CNE000000H61,isin,reject,identifier_only,0.99,identifier_alias,1
000048,CNE000000HD5,isin,reject,identifier_only,0.99,identifier_alias,1
000048,shenzhen kondarl group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000048,shenzhen kondarl,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000049,CNE0000000F1,isin,reject,identifier_only,0.99,identifier_alias,1
000049,shenzhen desay battery technology,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000055,CNE000000JY7,isin,reject,identifier_only,0.99,identifier_alias,1
000056,CNE000000297,isin,reject,identifier_only,0.99,identifier_alias,1
000058,CNE000000NR3,isin,reject,identifier_only,0.99,identifier_alias,1
000059,CNE000000NY9,isin,reject,identifier_only,0.99,identifier_alias,1
000059,north huajin chemical industries,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00006,HK0006000050,isin,reject,identifier_only,0.99,identifier_alias,1
00006,power assets,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000060,CNE000000FS7,isin,reject,identifier_only,0.99,identifier_alias,1
000060,shenzhen zhongjin lingnan nonfemet,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000061,CNE0000008V1,isin,reject,identifier_only,0.99,identifier_alias,1
000061,shenzhen agricultural products,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000062,CNE0000008R9,isin,reject,identifier_only,0.99,identifier_alias,1
000062,shenzhen huaqiang industry,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000063,CNE000000TK5,isin,reject,identifier_only,0.99,identifier_alias,1
000065,CNE000000VZ9,isin,reject,identifier_only,0.99,identifier_alias,1
000065,norinco international cooperation,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000066,CNE000000RL7,isin,reject,identifier_only,0.99,identifier_alias,1
000066,china greatwall computer shenzhen,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000068,CNE000000QV8,isin,reject,identifier_only,0.99,identifier_alias,1
000068,shenzhen huakong seg,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000069,CNE000000SS0,isin,reject,identifier_only,0.99,identifier_alias,1
000069,shenzhen overseas chinese town,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00007,BMG4643R1245,isin,reject,identifier_only,0.99,identifier_alias,1
00007,wisdom wealth,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000078,CNE000000X95,isin,reject,identifier_only,0.99,identifier_alias,1
000078,shenzhen neptunus bioengineering,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00008,HK0008011667,isin,reject,identifier_only,0.99,identifier_alias,1
000080,KR7000080002,isin,reject,identifier_only,0.99,identifier_alias,1
000080,hite jinro,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000088,CNE000000SF7,isin,reject,identifier_only,0.99,identifier_alias,1
000088,shenzhen yan tian port holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000088,shenzhen yan tian port,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000089,CNE000000VK1,isin,reject,identifier_only,0.99,identifier_alias,1
000089,shenzhen airport,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000090,CNE000000F89,isin,reject,identifier_only,0.99,identifier_alias,1
000090,shenzhen tagen group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000090,shenzhen tagen,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000096,CNE000001410,isin,reject,identifier_only,0.99,identifier_alias,1
000096,shenzhen guangju energy,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000099,CNE0000013Q1,isin,reject,identifier_only,0.99,identifier_alias,1
000099,citic offshore helicopter,name,accept,safe_natural_language,0.90,accepted_name_alias,1
0000D0,KR70000D0009,isin,reject,identifier_only,0.99,identifier_alias,1
0000H0,KR70000H0005,isin,reject,identifier_only,0.99,identifier_alias,1
0000H0,kodex nifty100,name,accept,safe_natural_language,0.90,accepted_name_alias,1
0000J0,KR70000J0003,isin,reject,identifier_only,0.99,identifier_alias,1
0000Y0,KR70000Y0004,isin,reject,identifier_only,0.99,identifier_alias,1
0000Y0,hk 26-12 aa,name,accept,safe_natural_language,0.90,accepted_name_alias,1
0000Z0,KR70000Z0003,isin,reject,identifier_only,0.99,identifier_alias,1
0001,MYQ0001OO006,isin,reject,identifier_only,0.99,identifier_alias,1
0001,A14QAZ,wkn,reject,identifier_only,0.99,identifier_alias,1
0001,supercomnet technologies,name,accept,safe_natural_language,0.90,accepted_name_alias,1
0001,supercomnet,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00010,HK0010000088,isin,reject,identifier_only,0.99,identifier_alias,1
00010,hang lung group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000100,KR7000100008,isin,reject,identifier_only,0.99,identifier_alias,1
000100,yuhan,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00012,HK0012000102,isin,reject,identifier_only,0.99,identifier_alias,1
00012,henderson land,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000120,KR7000120006,isin,reject,identifier_only,0.99,identifier_alias,1
000120,cj korea express,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00014,HK0014000126,isin,reject,identifier_only,0.99,identifier_alias,1
00014,hysan dev,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000140,KR7000140004,isin,reject,identifier_only,0.99,identifier_alias,1
000140,hitejinro holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000140,hitejinro,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000150,KR7000150003,isin,reject,identifier_only,0.99,identifier_alias,1
000150,doosan,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000151,CNE0000014J4,isin,reject,identifier_only,0.99,identifier_alias,1
000151,china national complete plant import & export,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000153,CNE0000014X5,isin,reject,identifier_only,0.99,identifier_alias,1
000153,anhui fengyuan pharmaceutical,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000153,anhui fengyuan,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000156,CNE0000014L0,isin,reject,identifier_only,0.99,identifier_alias,1
000156,wasu media holding,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000156,wasu media,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000158,CNE0000013X7,isin,reject,identifier_only,0.99,identifier_alias,1
000158,shijiazhuang changshan textile,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000159,CNE0000014R7,isin,reject,identifier_only,0.99,identifier_alias,1
000159,xinjiang international industry,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00016,HK0016000132,isin,reject,identifier_only,0.99,identifier_alias,1
00016,shk ppt,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000166,CNE100002FD4,isin,reject,identifier_only,0.99,identifier_alias,1
000166,shenwan hongyuan group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000166,shenwan hongyuan,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00017,HK0000608585,isin,reject,identifier_only,0.99,identifier_alias,1
00017,new world dev,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00018,HK0018000155,isin,reject,identifier_only,0.99,identifier_alias,1
000180,KR7000180000,isin,reject,identifier_only,0.99,identifier_alias,1
000180,sungchang hold,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00019,HK0019000162,isin,reject,identifier_only,0.99,identifier_alias,1
0001P0,KR70001P0004,isin,reject,identifier_only,0.99,identifier_alias,1
0001S0,KR70001S0001,isin,reject,identifier_only,0.99,identifier_alias,1
0002,MYQ0002OO004,isin,reject,identifier_only,0.99,identifier_alias,1
0002,kotra industries,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00020,KYG8062L1041,isin,reject,identifier_only,0.99,identifier_alias,1
00020,sensetime-w,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00021,HK0000132420,isin,reject,identifier_only,0.99,identifier_alias,1
00021,great chi hldgs,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000210,KR7000210005,isin,reject,identifier_only,0.99,identifier_alias,1
000210,dl holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00022,BMG6051D1175,isin,reject,identifier_only,0.99,identifier_alias,1
00022,mexan,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000220,KR7000220004,isin,reject,identifier_only,0.99,identifier_alias,1
000220,yuyu pharma,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00023,HK0023000190,isin,reject,identifier_only,0.99,identifier_alias,1
00023,bank of e asia,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000230,KR7000230003,isin,reject,identifier_only,0.99,identifier_alias,1
000230,ildong holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000230,ildong,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000240,KR7000240002,isin,reject,identifier_only,0.99,identifier_alias,1
000240,hankook tire worldwide,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00025,BMG2097Z1471,isin,reject,identifier_only,0.99,identifier_alias,1
00025,chevalier intl,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000250,KR7000250001,isin,reject,identifier_only,0.99,identifier_alias,1
000250,sam chun dang pharm,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00026,HK0026000205,isin,reject,identifier_only,0.99,identifier_alias,1
00026,china motor bus,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00027,HK0027032686,isin,reject,identifier_only,0.99,identifier_alias,1
00027,galaxy ent,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000270,KR7000270009,isin,reject,identifier_only,0.99,identifier_alias,1
00028,HK0028013271,isin,reject,identifier_only,0.99,identifier_alias,1
00028,tian an,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00029,BMG2889K1678,isin,reject,identifier_only,0.99,identifier_alias,1
00029,dynamic hold,name,accept,safe_natural_language,0.90,accepted_name_alias,1
0002C0,KR70002C0008,isin,reject,identifier_only,0.99,identifier_alias,1
00030,BMG0865U1009,isin,reject,identifier_only,0.99,identifier_alias,1
00030,ynby intl,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000301,CNE0000012K6,isin,reject,identifier_only,0.99,identifier_alias,1
000301,jiangsu wujiang china eastern silk market,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00031,HK0031044180,isin,reject,identifier_only,0.99,identifier_alias,1
00031,china aerospace,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00032,HK0032009356,isin,reject,identifier_only,0.99,identifier_alias,1
00032,cross-har hold,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000320,KR7000320002,isin,reject,identifier_only,0.99,identifier_alias,1
000320,norooholdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00033,KYG0252B1115,isin,reject,identifier_only,0.99,identifier_alias,1
00033,intl genius,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000333,CNE100001QQ5,isin,reject,identifier_only,0.99,identifier_alias,1
000333,midea,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000338,CNE1000000D4,isin,reject,identifier_only,0.99,identifier_alias,1
00034,HK0034000254,isin,reject,identifier_only,0.99,identifier_alias,1
00034,kowloon dev,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00035,KYG3307Z1090,isin,reject,identifier_only,0.99,identifier_alias,1
00035,fe consort intl,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00036,HK0001095345,isin,reject,identifier_only,0.99,identifier_alias,1
00036,fe hldgs intl,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00037,HK0037039283,isin,reject,identifier_only,0.99,identifier_alias,1
00037,fe hotels,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000370,KR7000370007,isin,reject,identifier_only,0.99,identifier_alias,1
000370,hanwha general,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00038,CNE100000320,isin,reject,identifier_only,0.99,identifier_alias,1
00038,first tractor,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00039,KYG2117W1087,isin,reject,identifier_only,0.99,identifier_alias,1
00039,ch beidahuang,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000390,KR7000390005,isin,reject,identifier_only,0.99,identifier_alias,1
000390,samhwa paint,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000390,samhwa paint industrial,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00040,HK0040000298,isin,reject,identifier_only,0.99,identifier_alias,1
00040,gold peak,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000401,CNE000000GX5,isin,reject,identifier_only,0.99,identifier_alias,1
000401,tangshan jidong cement,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000402,CNE000000KT5,isin,reject,identifier_only,0.99,identifier_alias,1
000402,financial street holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000402,financial street,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000403,CNE000000F14,isin,reject,identifier_only,0.99,identifier_alias,1
000403,pacific shuanglin bio pharmacy,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000404,CNE000000KM0,isin,reject,identifier_only,0.99,identifier_alias,1
000404,huayi compressor,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000407,CNE000000G88,isin,reject,identifier_only,0.99,identifier_alias,1
000407,shandong shengli,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000408,CNE000000L08,isin,reject,identifier_only,0.99,identifier_alias,1
000408,zangge holding,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000408,zangge,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000409,CNE000000L40,isin,reject,identifier_only,0.99,identifier_alias,1
000409,yunding technology,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000409,yunding,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00041,BMG4069C1486,isin,reject,identifier_only,0.99,identifier_alias,1
000410,CNE0000008W9,isin,reject,identifier_only,0.99,identifier_alias,1
000410,shenyang machine tool,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000411,CNE0000008D9,isin,reject,identifier_only,0.99,identifier_alias,1
000411,zhejiang intl group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000411,zhejiang intl,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000415,CNE0000009B1,isin,reject,identifier_only,0.99,identifier_alias,1
000415,bohai leasing,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000417,CNE000000BV0,isin,reject,identifier_only,0.99,identifier_alias,1
000417,hefei department store group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000417,hefei department store,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000419,CNE000000LL0,isin,reject,identifier_only,0.99,identifier_alias,1
000419,changsha tongcheng holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000419,changsha tongcheng,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00042,CNE1000003V0,isin,reject,identifier_only,0.99,identifier_alias,1
00042,ne electric,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000420,CNE0000008F4,isin,reject,identifier_only,0.99,identifier_alias,1
000420,jilin chemical fibre,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000421,CNE0000003L3,isin,reject,identifier_only,0.99,identifier_alias,1
000421,nanjing zhongbei group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000421,nanjing zhongbei,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000422,CNE0000009C9,isin,reject,identifier_only,0.99,identifier_alias,1
000422,hubei yihua chemical industry,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000423,CNE0000006Y9,isin,reject,identifier_only,0.99,identifier_alias,1
000423,shan dong dong-e e-jiao,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000425,CNE000000FH0,isin,reject,identifier_only,0.99,identifier_alias,1
000425,xcmg construction machinery,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000426,CNE000000D24,isin,reject,identifier_only,0.99,identifier_alias,1
000426,inner mongolia xingye mining,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000428,CNE000000LM8,isin,reject,identifier_only,0.99,identifier_alias,1
000428,huatian hotel group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000428,huatian hotel,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000429,CNE0000006Z6,isin,reject,identifier_only,0.99,identifier_alias,1
000440,KR7000440008,isin,reject,identifier_only,0.99,identifier_alias,1
000440,joong ang enervis,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00045,HK0045000319,isin,reject,identifier_only,0.99,identifier_alias,1
00045,hk&s hotels,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00046,BMG2335C1082,isin,reject,identifier_only,0.99,identifier_alias,1
00046,computer & tech,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00048,KYG211351500,isin,reject,identifier_only,0.99,identifier_alias,1
00048,c auto int deco,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000480,KR7000480004,isin,reject,identifier_only,0.99,identifier_alias,1
000488,CNE0000015H5,isin,reject,identifier_only,0.99,identifier_alias,1
000488,shandong chenming paper,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000490,KR7000490003,isin,reject,identifier_only,0.99,identifier_alias,1
000490,daedong ind,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000498,CNE0000009D7,isin,reject,identifier_only,0.99,identifier_alias,1
000498,shandong hi-speed road&bridge,name,accept,safe_natural_language,0.90,accepted_name_alias,1
0004G0,KR70004G0002,isin,reject,identifier_only,0.99,identifier_alias,1
0004G0,1q top30,name,accept,safe_natural_language,0.90,accepted_name_alias,1
0004Y0,KR70004Y0000,isin,reject,identifier_only,0.99,identifier_alias,1
0004Y0,db finance no.14 spac,name,accept,safe_natural_language,0.90,accepted_name_alias,1
0005,MYQ0005OO007,isin,reject,identifier_only,0.99,identifier_alias,1
0005,ucrest,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00050,HK0050000345,isin,reject,identifier_only,0.99,identifier_alias,1
00050,hk ferry hold,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000500,KR7000500009,isin,reject,identifier_only,0.99,identifier_alias,1
000500,gaon cable,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000501,CNE000000024,isin,reject,identifier_only,0.99,identifier_alias,1
000501,wushang group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000501,wushang,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000503,CNE000000255,isin,reject,identifier_only,0.99,identifier_alias,1
000503,china reform health management and services group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000504,CNE000000263,isin,reject,identifier_only,0.99,identifier_alias,1
000504,nanhua bio medicine,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000505,CNE0000002X0,isin,reject,identifier_only,0.99,identifier_alias,1
000505,hainan pearl river,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000506,CNE0000004D8,isin,reject,identifier_only,0.99,identifier_alias,1
000506,zhongrun resources investment,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000507,CNE000000149,isin,reject,identifier_only,0.99,identifier_alias,1
000507,zhuhai port,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000509,CNE0000001G7,isin,reject,identifier_only,0.99,identifier_alias,1
000509,huasu holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000509,huasu,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00051,HK0051000351,isin,reject,identifier_only,0.99,identifier_alias,1
00051,harbour centre,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000510,CNE000000172,isin,reject,identifier_only,0.99,identifier_alias,1
000510,sichuan jinlu group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000510,sichuan jinlu,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000513,CNE0000002Y8,isin,reject,identifier_only,0.99,identifier_alias,1
000513,livzon pharmaceutical group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000513,livzon pharmaceutical,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000514,CNE0000004R8,isin,reject,identifier_only,0.99,identifier_alias,1
000514,chongqing yukaifa,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000516,CNE000000016,isin,reject,identifier_only,0.99,identifier_alias,1
000516,xian international medical investment,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000517,CNE0000000R6,isin,reject,identifier_only,0.99,identifier_alias,1
000517,rongan property,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000518,CNE0000001P8,isin,reject,identifier_only,0.99,identifier_alias,1
000518,jiangsu sihuan bioengineering,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000519,CNE000000198,isin,reject,identifier_only,0.99,identifier_alias,1
000519,north industries group red arrow,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00052,BMG3305Y1619,isin,reject,identifier_only,0.99,identifier_alias,1
00052,fairwood hold,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000521,CNE000000BT4,isin,reject,identifier_only,0.99,identifier_alias,1
000521,changhong meiling,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000523,CNE0000005T1,isin,reject,identifier_only,0.99,identifier_alias,1
000523,lonkey industrial guangzhou,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000524,CNE000000651,isin,reject,identifier_only,0.99,identifier_alias,1
000524,guangzhou dongfang hotel,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000525,CNE0000002Z5,isin,reject,identifier_only,0.99,identifier_alias,1
000525,nanjing red sun,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000526,CNE0000005F0,isin,reject,identifier_only,0.99,identifier_alias,1
000526,xiamen insight investment,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000528,CNE000000DB8,isin,reject,identifier_only,0.99,identifier_alias,1
000528,guangxi liugong machinery,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000529,CNE0000002B6,isin,reject,identifier_only,0.99,identifier_alias,1
000529,guangdong guanghong holdings,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000529,guangdong guanghong,name,accept,safe_natural_language,0.90,accepted_name_alias,1
00053,BMG420981224,isin,reject,identifier_only,0.99,identifier_alias,1
00053,guoco group,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000530,CNE000000DK9,isin,reject,identifier_only,0.99,identifier_alias,1
000530,bingshan refrigeration & heat transfer technologies,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000531,CNE000000DS2,isin,reject,identifier_only,0.99,identifier_alias,1
000531,guangzhou hengyun enterprises holding,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000531,guangzhou hengyun enterprises,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000532,CNE0000002C4,isin,reject,identifier_only,0.99,identifier_alias,1
000532,zhuhai huajin capital,name,accept,safe_natural_language,0.90,accepted_name_alias,1
000533,CNE0000003T6,isin,reject,identifier_only,0.99,identifier_alias,1
