target_listing_key,ticker,target_exchange,official_name,official_asset_type,official_isin,official_source_key,existing_listing_keys,existing_exchanges,existing_names,existing_asset_types,existing_isins,same_isin_listing_keys,identity_evidence,collision_risk_flags,deepseek_decision_candidate,deepseek_confidence,deepseek_evidence_needed,deepseek_rationale,deepseek_do_not_apply_reason,review_queue,review_gate,recommended_next_action
AMS::CSPX,CSPX,AMS,iShares Core S&P 500 UCITS ETF USD (Acc),ETF,IE00B5BMR087,euronext_etfs,LSE::CSPX,LSE,iShares Core S&P 500 UCITS ETF USD (Acc),ETF,IE00B5BMR087,BMV::CSPXN|LSE::CSP1|LSE::CSPX|SIX::CSSPX|TASE::IS-FF702|XETRA::SXR8,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.3,"Official exchange listing confirmation for AMS ticker CSPX to verify it is a distinct cross-listing, not a data error or duplicate.","Same ISIN (IE00B5BMR087) and exact name match with existing LSE listing. Likely a cross-listing, but without official confirmation from Euronext Amsterdam or the issuer, we cannot rule out a data duplication.",Cross-listing not officially verified; automatic application could create a duplicate entity.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::DGTL,DGTL,AMS,iShares Digitalisation UCITS ETF USD (Acc),ETF,IE00BYZK4883,euronext_etfs,LSE::DGTL,LSE,iShares Digitalisation UCITS ETF USD (Acc),ETF,IE00BYZK4883,LSE::DGIT|LSE::DGTL|XETRA::2B79,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.3,"Official exchange listing confirmation for AMS ticker DGTL to verify it is a distinct cross-listing, not a data error or duplicate.","Same ISIN (IE00BYZK4883) and exact name match with existing LSE listing. Likely a cross-listing, but without official confirmation from Euronext Amsterdam or the issuer, we cannot rule out a data duplication.",Cross-listing not officially verified; automatic application could create a duplicate entity.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::ECAR,ECAR,AMS,iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc),ETF,IE00BGL86Z12,euronext_etfs,LSE::ECAR,LSE,iShares Electric Vehicles and Driving Technology UCITS ETF USD (Acc),ETF,IE00BGL86Z12,LSE::ECAR|LSE::GCAR|XETRA::IEVD,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.3,"Official exchange listing confirmation for AMS ticker ECAR to verify it is a distinct cross-listing, not a data error or duplicate.","Same ISIN (IE00BGL86Z12) and exact name match with existing LSE listing. Likely a cross-listing, but without official confirmation from Euronext Amsterdam or the issuer, we cannot rule out a data duplication.",Cross-listing not officially verified; automatic application could create a duplicate entity.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::ECOM,ECOM,AMS,L&G Ecommerce Logistics UCITS ETF,ETF,IE00BF0M6N54,euronext_etfs,LSE::ECOM,LSE,L&G Ecommerce Logistics UCITS ETF,ETF,IE00BF0M6N54,LSE::ECOG|LSE::ECOM|XETRA::ETLH,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.3,"Official exchange listing confirmation for AMS ticker ECOM to verify it is a distinct cross-listing, not a data error or duplicate.","Same ISIN (IE00BF0M6N54) and exact name match with existing LSE listing. Likely a cross-listing, but without official confirmation from Euronext Amsterdam or the issuer, we cannot rule out a data duplication.",Cross-listing not officially verified; automatic application could create a duplicate entity.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::FLXB,FLXB,AMS,Franklin FTSE Brazil UCITS ETF,ETF,IE00BHZRQY00,euronext_etfs,LSE::FLXB,LSE,Franklin FTSE Brazil UCITS ETF,ETF,IE00BHZRQY00,LSE::FLXB|LSE::FVUB,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,None,"Official ISIN IE00BHZRQY00 matches existing listing LSE::FLXB with exact name and asset type, indicating a cross-listing.",Cross-listing linkage requires manual verification of exchange listing details and official documentation before database update.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::FLXC,FLXC,AMS,Franklin FTSE China UCITS ETF,ETF,IE00BHZRR147,euronext_etfs,LSE::FLXC,LSE,Franklin FTSE China UCITS ETF,ETF,IE00BHZRR147,LSE::FLXC|LSE::FRCH,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,None,"Official ISIN IE00BHZRR147 matches existing listing LSE::FLXC with exact name and asset type, indicating a cross-listing.",Cross-listing linkage requires manual verification of exchange listing details and official documentation before database update.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::FLXK,FLXK,AMS,Franklin FTSE Korea UCITS ETF,ETF,IE00BHZRR030,euronext_etfs,LSE::FLXK,LSE,Franklin FTSE Korea UCITS ETF,ETF,IE00BHZRR030,LSE::FLRK|LSE::FLXK,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,None,"Official ISIN IE00BHZRR030 matches existing listing LSE::FLXK with exact name and asset type, indicating a cross-listing.",Cross-listing linkage requires manual verification of exchange listing details and official documentation before database update.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::IEMA,IEMA,AMS,iShares MSCI EM UCITS ETF USD (Acc),ETF,IE00B4L5YC18,euronext_etfs,LSE::IEMA,LSE,iShares MSCI EM UCITS ETF USD (Acc),ETF,IE00B4L5YC18,LSE::IEMA|LSE::SEMA|XETRA::EUNM,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,None,"Official ISIN IE00B4L5YC18 matches existing listing LSE::IEMA with exact name and asset type, indicating a cross-listing.",Cross-listing linkage requires manual verification of exchange listing details and official documentation before database update.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::IG32,IG32,AMS,iShares iBonds Dec 2032 Term € Corp UCITS ETF EUR (Acc),ETF,IE000I660ZF8,euronext_etfs,XETRA::IG32,XETRA,iShares iBonds Dec 2032 Term € Corp UCITS ETF EUR (Acc),ETF,IE000I660ZF8,XETRA::IG32,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,None,"Official ISIN IE000I660ZF8 matches existing listing XETRA::IG32 with exact name and asset type, indicating a cross-listing.",Cross-listing linkage requires manual verification of exchange listing details and official documentation before database update.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::IG33,IG33,AMS,iShares iBonds Dec 2033 Term € Corp UCITS ETF EUR (Acc),ETF,IE000ZBGZQM8,euronext_etfs,XETRA::IG33,XETRA,iShares iBonds Dec 2033 Term € Corp UCITS ETF EUR (Acc),ETF,IE000ZBGZQM8,XETRA::IG33,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.7,"None; official source provides listing, and ISIN/name match confirms cross-listing.","Target listing AMS::IG33 matches existing XETRA::IG33 on ISIN, name, and asset type. Source is official Euronext feed. Likely a cross-listing of the same ETF.",Cannot auto-apply; human review needed to decide whether to create a new master or link as cross-listing.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::IG34,IG34,AMS,iShares iBonds Dec 2034 Term € Corp UCITS ETF EUR (Acc),ETF,IE000UY6XF65,euronext_etfs,XETRA::IG34,XETRA,iShares iBonds Dec 2034 Term € Corp UCITS ETF EUR (Acc),ETF,IE000UY6XF65,XETRA::IG34,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.7,"None; official source provides listing, and ISIN/name match confirms cross-listing.","Target listing AMS::IG34 matches existing XETRA::IG34 on ISIN, name, and asset type. Source is official Euronext feed. Likely a cross-listing of the same ETF.",Cannot auto-apply; human review needed to decide whether to create a new master or link as cross-listing.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::IJPA,IJPA,AMS,iShares Core MSCI Japan IMI UCITS ETF USD (Acc),ETF,IE00B4L5YX21,euronext_etfs,LSE::IJPA,LSE,iShares Core MSCI Japan IMI UCITS ETF USD (Acc),ETF,IE00B4L5YX21,LSE::IJPA|LSE::SJPA|XETRA::EUNN,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.7,"None; official source provides listing, and ISIN/name match confirms cross-listing.","Target listing AMS::IJPA shares ISIN IE00B4L5YX21 with existing listings LSE::IJPA, LSE::SJPA, XETRA::EUNN. Name and asset type match. Source is official Euronext feed. Likely a cross-listing.",Cannot auto-apply; human review needed to decide whether to create a new master or link as cross-listing.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::INFR,INFR,AMS,iShares Global Infrastructure UCITS ETF USD (Dist),ETF,IE00B1FZS467,euronext_etfs,LSE::INFR,LSE,iShares Global Infrastructure UCITS ETF USD (Dist),ETF,IE00B1FZS467,LSE::IDIN|LSE::INFR|XETRA::IQQI,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.7,"None; official source provides listing, and ISIN/name match confirms cross-listing.",Target listing AMS::INFR shares ISIN IE00B1FZS467 with existing LSE::INFR (and other listings). Name and asset type match. Source is official Euronext feed. Likely a cross-listing.,Cannot auto-apply; human review needed to decide whether to create a new master or link as cross-listing.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::IOGP,IOGP,AMS,iShares Oil & Gas Exploration & Production UCITS ETF USD (Acc),ETF,IE00B6R51Z18,euronext_etfs,LSE::IOGP,LSE,iShares Oil & Gas Exploration & Production UCITS ETF USD (Acc),ETF,IE00B6R51Z18,LSE::IOGP|NASDAQ::SPOG|XETRA::IS0D,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.7,"None; official source provides listing, and ISIN/name match confirms cross-listing.",Target listing AMS::IOGP shares ISIN IE00B6R51Z18 with existing LSE::IOGP (and other listings). Name and asset type match. Source is official Euronext feed. Likely a cross-listing.,Cannot auto-apply; human review needed to decide whether to create a new master or link as cross-listing.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::IPRP,IPRP,AMS,iShares European Property Yield UCITS ETF,ETF,IE00B0M63284,euronext_etfs,LSE::IPRP,LSE,iShares European Property Yield UCITS ETF,ETF,IE00B0M63284,LSE::IPRP|XETRA::IQQP,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,Confirmation that this ticker is actively listed on AMS under the same ISIN via official Euronext source.,"All identity evidence matches exactly (ISIN, name, asset type) with existing LSE listings and other cross-listings. This is likely a valid cross-listing, but official confirmation for AMS specifically may be needed to ensure no ticker conflicts or delistings.",Cross-listing requires human verification to avoid duplicate masterfile entries and to confirm active listing status.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
AMS::IUSP,IUSP,AMS,iShares US Property Yield UCITS ETF USD (Dist),ETF,IE00B1FZSF77,euronext_etfs,LSE::IUSP,LSE,iShares US Property Yield UCITS ETF USD (Dist),ETF,IE00B1FZSF77,LSE::IDUP|LSE::IUSP|XETRA::IQQ7,official_isin|same_isin_existing_listing|exact_name_match|asset_type_consistent,ticker_reused_on_other_exchange|same_isin_existing_listing|exact_name_match,possible_duplicate_or_cross_listing,0.9,Confirmation that this ticker is actively listed on AMS under the same ISIN via official Euronext source.,"All identity evidence matches exactly (ISIN, name, asset type) with existing LSE listings and other cross-listings. This is likely a valid cross-listing, but official confirmation for AMS specifically may be needed to ensure no ticker conflicts or delistings.",Cross-listing requires human verification to avoid duplicate masterfile entries and to confirm active listing status.,manual_cross_listing_identity_review,"Do not merge, alias, or dedupe automatically. Confirm listing status, ISIN fungibility, exchange/MIC, instrument type, and local trading attributes before any data change.",Review as possible cross-listing using official source rows and existing listing keys; keep as source-gap/collision queue item until reviewer records listing-keyed evidence.
