listing_key,ticker,exchange,asset_type,name,gap_class,source_of_truth_outcome,core_action,fill_action,review_needed,recommended_next_source,source_gate,official_source_context,official_capability,official_masterfile_match,official_masterfile_sources,official_masterfile_sector_values,official_masterfile_exposes_sector,weak_sector_resolution_queue,residual_decision,review_bucket,review_priority,apply_eligibility,verification_evidence_required,review_strategy,recommended_next_action
NGX::JOHNHOLT,JOHNHOLT,NGX,Stock,JOHN HOLT PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=CONGLOMERATES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::JULI,JULI,NGX,Stock,JULI PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::LEARNAFRCA,LEARNAFRCA,NGX,Stock,LEARN AFRICA PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::NAHCO,NAHCO,NGX,Stock,NIGERIAN AVIATION HANDLING CO. PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::NSLTECH,NSLTECH,NGX,Stock,SECURE ELECTRONIC TECHNOLOGY PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::REDSTAREX,REDSTAREX,NGX,Stock,RED STAR EXPRESS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::RTBRISCOE,RTBRISCOE,NGX,Stock,R T BRISCOE PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::SKYAVN,SKYAVN,NGX,Stock,SKYWAY AVIATION HANDLING COMPANY PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::TANTALIZER,TANTALIZER,NGX,Stock,TANTALIZERS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::TRANSCOHOT,TRANSCOHOT,NGX,Stock,TRANSCORP HOTELS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::TRANSCORP,TRANSCORP,NGX,Stock,TRANSNATIONAL CORPORATION OF NIGERIA PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=CONGLOMERATES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::TRANSEXPR,TRANSEXPR,NGX,Stock,TRANS-NATIONWIDE EXPRESS PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=SERVICES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,SERVICES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::UACN,UACN,NGX,Stock,UAC OF NIGERIA PLC,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=CONGLOMERATES,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,CONGLOMERATES,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
NGX::VFDGROUP,VFDGROUP,NGX,Stock,VFD GROUP,official_industry_taxonomy_unavailable_gap,accepted_source_gap,keep_in_current_scope,leave_blank_until_source_available,true,Official sector value from ngx_company_profile_directory|ngx_equities_price_list plus canonical sector mapping.,Apply only after exact listing-key match and canonical sector normalization.,official_masterfile_sources=ngx_company_profile_directory|ngx_equities_price_list;official_sector_values=INVESTMENT,masterfile_match=true;masterfile_exposes_sector=true,true,ngx_company_profile_directory|ngx_equities_price_list,INVESTMENT,true,official_sector_candidate_normalization_review,official_sector_available_review_apply,official_sector_candidate_requires_normalization_gate,P1,blocked_until_canonical_sector_normalization_and_listing_key_gate,official_venue_sector_value_with_canonical_mapping_and_exact_listing_key_match,normalize_official_sector_candidate_before_apply,apply_only_after_official_sector_normalization_and_listing_key_gate
CSE_LK::GUAR.N0000,GUAR.N0000,CSE_LK,Stock,CEYLON GUARDIAN INVESTMENT TRUST PLC,fundlike_stock_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=cse_lk_all_security_code|cse_lk_company_info_summary;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,cse_lk_all_security_code|cse_lk_company_info_summary,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
CSE_LK::LVEF.N0000,LVEF.N0000,CSE_LK,Stock,L V L ENERGY FUND PLC,fundlike_stock_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=cse_lk_all_security_code|cse_lk_company_info_summary;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,cse_lk_all_security_code|cse_lk_company_info_summary,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
CSE_LK::NAVF.U0000,NAVF.U0000,CSE_LK,Stock,NAMAL ACUITY VALUE FUND,fundlike_stock_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=cse_lk_all_security_code|cse_lk_company_info_summary;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,cse_lk_all_security_code|cse_lk_company_info_summary,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
PSE::ALLHC,ALLHC,PSE,Stock,AyalaLand Logistics Holdings Corp,shell_or_cpc_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
PSE::ALTER,ALTER,PSE,Stock,Alternergy Holdings Corp.,shell_or_cpc_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
PSE::CREIT,CREIT,PSE,Stock,Citicore Energy REIT Corp,fundlike_stock_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
PSE::DDMPR,DDMPR,PSE,Stock,DDMP REIT Inc,fundlike_stock_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
PSE::DITO,DITO,PSE,Stock,Dito CME Holdings Corp,shell_or_cpc_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
PSE::FILRT,FILRT,PSE,Stock,Filinvest REIT Corp,fundlike_stock_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
PSE::LPZ,LPZ,PSE,Stock,Lopez Holdings Corp,shell_or_cpc_sector_gap,core_exclusion_candidate,review_for_core_exclusion,do_not_fill_until_scope_review,true,Official listing scope evidence before any sector enrichment.,"No sector fill until the listing is confirmed as core, extended, or excluded.",official_masterfile_sources=pse_listed_company_directory;official_sector_values=none,masterfile_match=true;masterfile_exposes_sector=false,true,pse_listed_company_directory,,false,core_exclusion_candidate_scope_review_before_sector_fill,core_exclusion_candidate_requires_scope_review,scope_review_before_sector_fill,P1,blocked_until_core_or_extended_scope_decision,scope_decision_for_core_extended_or_exclude_before_sector_enrichment,scope_review_before_weak_sector_enrichment,review_scope_before_sector_enrichment
