listing_key,ticker,exchange,asset_type,name,instrument_scope,scope_reason,quality_status,issue_types,source_gap_field,source_gap_class,source_of_truth_outcome,scope_decision,otc_review_decision_status,metadata_enrichment_gate,deepseek_decision_candidate,deepseek_confidence,deepseek_evidence_needed,deepseek_rationale,deepseek_do_not_apply_reason,review_queue,review_gate,recommended_next_action
OTC::AZLCZ,AZLCZ,OTC,Stock,Aztec Land Comb Cert,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source (e.g., OTC Markets profile, SEC filing, or issuer press release) confirming the correct legal name for AZLCZ.","Current name 'Aztec Land Comb Cert' has an official_name_mismatch flag. Without official evidence, we cannot confirm if this is accurate or what the correct name should be.",Missing official evidence to verify and resolve the name mismatch.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::AZURF,AZURF,OTC,Stock,,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source (e.g., OTC Markets profile, SEC filing, or issuer press release) providing the correct legal name for AZURF.","Current name is missing and flagged as official_name_mismatch. Without official evidence, we cannot populate the name.",Missing official evidence to determine the correct name.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::BADEF,BADEF,OTC,Stock,Bald Eagle Gold Corp.,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official source (e.g., OTC Markets profile, SEC filing, or issuer press release) confirming the correct legal name for BADEF.","Current name 'Bald Eagle Gold Corp.' has an official_name_mismatch flag. Without official evidence, we cannot confirm if this is accurate or what the correct name should be.",Missing official evidence to verify and resolve the name mismatch.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::BCII,BCII,OTC,Stock,Blockchain Industries Inc,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website to resolve name mismatch for BCII.","Database name is Blockchain Industries Inc, but the ticker may correspond to a different official entity name. Source of truth evidence is required to confirm.",Missing official evidence for name correction.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::BEPTF,BEPTF,OTC,Stock,Beach Energy Ltd,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website to resolve name mismatch for BEPTF.","Database name is Beach Energy Ltd, but the ticker may be associated with a different legal entity. Verification against an official source is required.",Missing official evidence for name correction.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::BGTTF,BGTTF,OTC,Stock,Billy Goat Brands Ltd,extended,otc_listing,warn,official_name_mismatch,missing_sector_stock,otc_sector_source_gap,accepted_source_gap,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website to resolve name mismatch for BGTTF. Existing source gap accepted, but name mismatch persists.","Database name is Billy Goat Brands Ltd, but the ticker may have a different official name. Source gap acknowledged for sector, but official name evidence remains missing.",Missing official evidence for name correction.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::BICEY,BICEY,OTC,Stock,,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website for BICEY; database name is empty, so an official source must provide the correct entity name.",Empty database name indicates a potential data gap; ticker exists but legal name is unknown. Official evidence is necessary to populate the name.,Missing official evidence for name.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::BKTPF,BKTPF,OTC,Stock,Cruz Cobalt Corp,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website to resolve name mismatch for BKTPF.","Database name is Cruz Cobalt Corp, but the ticker may correspond to a different issuer. Official verification needed.",Missing official evidence for name correction.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::BSENF,BSENF,OTC,Stock,Baselode Energy Corp,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website to resolve name mismatch for BSENF.","Database name is Baselode Energy Corp, but the ticker may not match the official legal name. Verification required.",Missing official evidence for name correction.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::CAPTF,CAPTF,OTC,Stock,Capitan Mining Inc,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website to resolve name mismatch for CAPTF.","Database name is Capitan Mining Inc, but the ticker may be linked to a different entity. Official source needed.",Missing official evidence for name correction.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::CDTAF,CDTAF,OTC,Stock,Carl Data Solutions Inc,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website to resolve name mismatch for CDTAF.","Database name is Carl Data Solutions Inc, but the ticker may represent a different official name. Official evidence is required.",Missing official evidence for name correction.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::CFRUY,CFRUY,OTC,Stock,,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website for CFRUY; database name is empty, so the correct entity name must be sourced from an official provider.",Empty name indicates missing data; official evidence is necessary to determine the issuer's legal name.,Missing official evidence for name.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::CLGCF,CLGCF,OTC,Stock,Clarity Gold Corp,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.2,"Official name from SEC filings, OTC Markets profile, or company website to resolve name mismatch for CLGCF.","Database name is Clarity Gold Corp, but the ticker may not match the official name. Verification against an authoritative source is required.",Missing official evidence for name correction.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::CMCXF,CMCXF,OTC,Stock,,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.3,"Official issuer name from exchange, regulatory filing, or issuer website to resolve official_name_mismatch. No source gap info available.",Ticker has official_name_mismatch alert and no source_gap acceptance. Cannot confirm correct name without official evidence. Review required before applying any name or metadata changes.,Missing official name verification.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
OTC::CNMTF,CNMTF,OTC,Stock,Canadian Metals Inc,extended,otc_listing,warn,official_name_mismatch,,,,already_extended_otc_listing,pending_otc_name_mismatch_review,otc_name_mismatch_review_required_before_name_or_metadata_changes,needs_official_evidence,0.3,"Official issuer name from exchange, regulatory filing, or issuer website to resolve official_name_mismatch. No source gap info available.",Ticker has official_name_mismatch alert and no source_gap acceptance. Cannot confirm correct name without official evidence. Review required before applying any name or metadata changes.,Missing official name verification.,official_name_mismatch_evidence_review,"Do not change name, aliases, sector, or scope until a listing-keyed OTC Markets, SEC, issuer, or ISIN-anchored issuer-history source resolves the name mismatch.",Resolve with listing-keyed official OTC/SEC/issuer evidence or keep the field blank/source-gapped. DeepSeek output alone must not be applied.
