isin,registered_country,isin_valid,cluster_count,listing_count,listing_keys,member_names,member_exchanges,member_tickers,shared_tickers,collision_signals,decision_candidate,review_queue,review_gate,recommended_next_source,closure_status
CA08663L1040,Canada,true,2,2,NYSE ARCA::SPXU|TSX::SPXU,Global X S&P 500 Index Bull ETF | ProShares UltraPro Short S&P500,NYSE ARCA | TSX,SPXU,SPXU,name_clusters_disjoint;ticker_collision;registered_country_known,ticker_collision_isin_misassignment_suspected,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CH0445689208,Switzerland,true,2,4,BATS::HODL|SIX::HODL-EUR|SIX::HODL-USD|XETRA::21XH,21Shares Crypto Basket Index ETP EUR | VanEck Bitcoin Trust,BATS | SIX | XETRA,21XH | HODL | HODL-EUR | HODL-USD,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
FR0000052292,France,true,2,4,Euronext::RMS|LSE::0HV2|OTC::HESAF|OTC::HMIFF,Harvest Minerals Limited | Hermes International SCA,Euronext | LSE | OTC,0HV2 | HESAF | HMIFF | RMS,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
FR0000121147,France,true,2,4,Euronext::FRVIA|OTC::FRSAF|OTC::FURCF|XETRA::FAU,First Au Limited | Forvia SE,Euronext | OTC | XETRA,FAU | FRSAF | FRVIA | FURCF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
FR0000125007,France,true,2,4,Euronext::SGO|OTC::CODGF|OTC::CODMF|XETRA::GOB,Coda Minerals Limited | Compagnie de Saint-Gobain S.A,Euronext | OTC | XETRA,CODGF | CODMF | GOB | SGO,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
FR0010331421,France,true,2,4,Euronext::IPH|LSE::0EVI|OTC::IPHLF|OTC::IPHYF,IPH Limited | Innate Pharma S.A.,Euronext | LSE | OTC,0EVI | IPH | IPHLF | IPHYF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
FR0010375766,France,true,2,4,LSE::INRL|LSE::INRU|SGX::G1N|SIX::LYINR,Amundi MSIndia Sw US$ | Multi Units France - Lyxor MSCI India UCITS ETF,LSE | SGX | SIX,G1N | INRL | INRU | LYINR,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
FR0010435297,France,true,2,4,LSE::LEMD|LSE::LEML|SGX::H1N|SIX::LYLEM,Amundi EM Mkt Sw US$ | Lyxor MSCI Emerging Markets UCITS,LSE | SGX | SIX,H1N | LEMD | LEML | LYLEM,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
GB0004526900,United Kingdom,true,2,4,LSE::IGR|OTC::IGDFF|OTC::LLDTF|OTC::LLOBF,IG Design Group plc | Lloyds Banking Group plc,LSE | OTC,IGDFF | IGR | LLDTF | LLOBF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
IE0032895942,Ireland,true,2,4,LSE::LQDE|LSE::LQDS|NASDAQ::LQDA|XETRA::IBCD,Liquidia Technologies Inc | iShares $ Corp Bond UCITS ETF USD (Dist),LSE | NASDAQ | XETRA,IBCD | LQDA | LQDE | LQDS,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
IE00B02KXK85,Ireland,true,2,4,LSE::IDFX|NYSE ARCA::FXC|OTC::IHRPF|XETRA::IQQC,Invesco CurrencyShares® Canadian Dollar Trust | iShares China Large Cap UCITS,LSE | NYSE ARCA | OTC | XETRA,FXC | IDFX | IHRPF | IQQC,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
IE00B3B8PX14,Ireland,true,2,4,LSE::IGIL|LSE::SGIL|OTC::EGIL|XETRA::IUS5,EdgeTech International Inc | iShares Global Inflation Linked Govt Bond UCITS ETF USD (Acc),LSE | OTC | XETRA,EGIL | IGIL | IUS5 | SGIL,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
IE00BKWQ0C77,Ireland,true,2,4,LSE::CDCE|LSE::CDIS|OTC::SPYR|SIX::STRX,SPDR® MSCI Europe Consumer Discretionary UCITS ETF GBP | SPYR Inc,LSE | OTC | SIX,CDCE | CDIS | SPYR | STRX,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
IE00BKWQ0N82,Ireland,true,3,4,LSE::TELE|NYSE ARCA::SPYT|NYSE::STT|OTC::STTX,Defiance S&P 500 Target Income ETF | State Street Corp | Stratex Oil & Gas,LSE | NYSE | NYSE ARCA | OTC,SPYT | STT | STTX | TELE,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
IE00BKWQ0P07,Ireland,true,2,4,Euronext::STU|LSE::UTIL|NYSE ARCA::SPYU|SIX::STUX,MAX S P 500 4X Leveraged ETN | State Street SPDR MSCI Europe Utilities UCITS ETF,Euronext | LSE | NYSE ARCA | SIX,SPYU | STU | STUX | UTIL,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
IE00BMG6Z448,Ireland,true,2,4,Euronext::MTPI|LSE::EXCS|OTC::EXCH|XETRA::84X0,Exchange Bankshares Inc | iShares MSCI EM ex China UCITS ETF USD Acc EUR,Euronext | LSE | OTC | XETRA,84X0 | EXCH | EXCS | MTPI,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
LU1900066975,Luxembourg,true,2,4,BATS::LKOR|LSE::KRW|LSE::KRWL|SIX::LYKRW,FlexShares Credit-Scored US Long Corporate Bond Index Fund | Multi Units Luxembourg - Lyxor Msci Korea Ucits Etf,BATS | LSE | SIX,KRW | KRWL | LKOR | LYKRW,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
SE0001662230,Sweden,true,2,4,LSE::0GTR|OTC::HRZMF|OTC::HUSQF|STO::HUSQ-B,Horizon Minerals Limited | Husqvarna AB ser. B,LSE | OTC | STO,0GTR | HRZMF | HUSQ-B | HUSQF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
US4370761029,United States,true,2,4,LSE::0R1G|NYSE::HD|OTC::HDNRF|XETRA::HDI,Home Depot Inc. | HomeCo Daily Needs REIT,LSE | NYSE | OTC | XETRA,0R1G | HD | HDI | HDNRF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
US45170X2053,United States,true,2,4,NASDAQ::INVE|NYSE ARCA::ALAI|NYSE ARCA::CNEQ|NYSE ARCA::INVN,Identiv Inc | The Alger ETF Trust,NASDAQ | NYSE ARCA,ALAI | CNEQ | INVE | INVN,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
US5732841060,United States,true,2,4,LSE::0JZ0|NYSE::MLM|OTC::MMXLF|TSXV::MMX,Martin Marietta Materials Inc. | Mustang Minerals Limited,LSE | NYSE | OTC | TSXV,0JZ0 | MLM | MMX | MMXLF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
US59156R1086,United States,true,2,4,LSE::0K0X|NYSE::MET|OTC::MTLZF|XETRA::MWZ,MetLife Inc. | Metall Zug AG,LSE | NYSE | OTC | XETRA,0K0X | MET | MTLZF | MWZ,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
US5949724083,United States,true,2,4,LSE::0A7O|NASDAQ::MSTR|OTC::MCSAP|OTC::MCSYP,MicroStrategy Incorporated | Strategy Inc,LSE | NASDAQ | OTC,0A7O | MCSAP | MCSYP | MSTR,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
US7181721090,United States,true,3,4,LSE::0M8V|OTC::PASMF|OTC::POTMF|XETRA::4I1,Philip Morris International Inc | Portmeirion Group PLC | Premier Miton Group plc,LSE | OTC | XETRA,0M8V | 4I1 | PASMF | POTMF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
AT0000758305,Austria,true,2,3,LSE::0MJ1|NASDAQ::PAL|OTC::PLFRF,"Palfinger AG | Proficient Auto Logistics, Inc. Common Stock",LSE | NASDAQ | OTC,0MJ1 | PAL | PLFRF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
AT0000785555,Austria,true,2,3,LSE::0G29|NYSE::SEM|OTC::SEIGF,Select Medical Holdings | Semperit AG Holding,LSE | NYSE | OTC,0G29 | SEIGF | SEM,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
AT0000969985,Austria,true,2,3,LSE::0O5C|NYSE::ATS|OTC::ASAAF,AT & S Austria Technologie & Systemtechnik AG | ATS Corporation,LSE | NYSE | OTC,0O5C | ASAAF | ATS,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
BE0003739530,Belgium,true,2,3,LSE::0NZT|NYSE::UCB|OTC::UCBJF,"UCB SA | United Community Banks, Inc.",LSE | NYSE | OTC,0NZT | UCB | UCBJF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
BE0003755692,Belgium,true,2,3,Euronext::AGFB|LSE::0MFU|OTC::ALGEF,Agfa-Gevaert NV | Alligator Energy Limited,Euronext | LSE | OTC,0MFU | AGFB | ALGEF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
BMG2178K1009,Bermuda,true,2,3,HKEX::01038|LSE::CKI|OTC::CKISF,CKI HOLDINGS | Ck Infra Holdings Ltd,HKEX | LSE | OTC,01038 | CKI | CKISF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CA0042721005,Canada,true,2,3,OTC::ACAZF|OTC::ANDMF|TSX::ADN,Acadian Timber Corp | Andromeda Metals Limited,OTC | TSX,ACAZF | ADN | ANDMF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CA13321L1085,Canada,true,2,3,LSE::0R35|NYSE::CCJ|OTC::CCPPF,Cameco Corp. | Capital & Counties Properties PLC,LSE | NYSE | OTC,0R35 | CCJ | CCPPF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CA15722J1030,Canada,true,2,3,OTC::CTYMF|OTC::CYLYF|TSXV::CYL,Catalyst Metals Limited | Ceylon Graphite Corp.,OTC | TSXV,CTYMF | CYL | CYLYF,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CA24463V1013,Canada,true,3,3,OTC::DTCFF|OTC::DTTLY|SET::DUSIT,Datatec Limited | Defence Therapeutics Inc | Dusit Thani Public Company Limited,OTC | SET,DTCFF | DTTLY | DUSIT,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CA68387G2036,Canada,true,2,3,OTC::ESXMD|OTC::ESXMF|TSXV::OPTG,Essex Minerals Inc | Optegra Ventures Inc.,OTC | TSXV,ESXMD | ESXMF | OPTG,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
CA80100R4089,Canada,true,2,3,NASDAQ::SANG|OTC::IRMTF|TSX::ISC,Information Services Corporation | Sangoma Technologies Corp,NASDAQ | OTC | TSX,IRMTF | ISC | SANG,,name_clusters_disjoint;registered_country_known,isin_shared_by_distinct_issuers,manual_isin_identity_review,"Do not change, blank, or reassign any ISIN, country, or name until official listing-keyed identifier evidence (national numbering agency / issuer / exchange security master) confirms which listing holds the ISIN.",Official national numbering agency (ISIN registry) or issuer/exchange security master keyed to the exact listing_key.,open_needs_official_identifier_evidence
