old_listing_key,new_listing_key,event_type,identity_type,identity_value,confidence,source_key,source_url,reason
NASDAQ::WGRX,,delisted,exact_isin,US9495032057,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::WGRX and already lists NASDAQ::MEDS; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::LMFA,,delisted,exact_isin,US5020744042,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::LMFA and already lists NASDAQ::PWCM; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::ALBT,,delisted,exact_isin,US05344R3021,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::ALBT and already lists NASDAQ::CHGA; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::YOOV,,delisted,exact_isin,VGG2452S1002,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::YOOV and already lists NASDAQ::CIGL; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::PCSC,,delisted,exact_isin,KYG700771051,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::PCSC and already lists NASDAQ::FRNM; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::UBXG,,delisted,exact_isin,KYG9161K1206,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::UBXG and already lists NASDAQ::MF; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::APM,,delisted,exact_isin,KYG6096M1069,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::APM and already lists NASDAQ::NIKI; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::WAI,,delisted,exact_isin,KYG8923U1296,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::WAI and already lists NASDAQ::DPU; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::SVAC,,delisted,exact_isin,KYG8377R1011,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::SVAC and already lists NASDAQ::GFUZ; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::MSW,,delisted,exact_isin,KYG614401068,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::MSW and already lists NASDAQ::PMA; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::LIXT,,delisted,exact_isin,US5393192027,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::LIXT and already lists NASDAQ::NMAD; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::WTO,,delisted,exact_isin,KYG9411M1400,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::WTO and already lists NASDAQ::FXHO; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::RAAQ,,delisted,exact_isin,KYG739441031,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::RAAQ and already lists NASDAQ::IQMX; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::ATLN,,delisted,exact_isin,US0485921094,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::ATLN and already lists NASDAQ::CIRC; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::TBH,,delisted,exact_isin,US1048133086,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::TBH and already lists NASDAQ::HODO; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::SSSS,,delisted,exact_isin,US86887Q1094,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::SSSS and already lists NASDAQ::NSLR; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NYSE::FDP,,delisted,exact_isin,KYG367381053,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NYSE::FDP and already lists NYSE::DMC; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::LOKV,,delisted,exact_isin,KYG5509P1028,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::LOKV and already lists NASDAQ::TMS; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::USEG,,delisted,exact_isin,US9118053076,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::USEG and already lists NASDAQ::BSIN; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::SUUN,,delisted,exact_isin,CA73933V1004,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::SUUN and already lists NASDAQ::PBK; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::HOTH,,delisted,exact_isin,US44148G2049,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::HOTH and already lists NASDAQ::RKTO; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::AGAE,,delisted,exact_isin,US0191701095,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::AGAE and already lists NASDAQ::AIFA; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::GIG,,delisted,exact_isin,US37518P1012,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::GIG and already lists NASDAQ::HDRN; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NYSE::KFS,,delisted,exact_isin,US4969042021,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NYSE::KFS and already lists NYSE::KWY; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::IINN,,delisted,exact_isin,IL0011715781,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::IINN and already lists NASDAQ::QTEX; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::ZBAI,,delisted,exact_isin,VGG0602B1186,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::ZBAI and already lists NASDAQ::AUC; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::XWIN,,delisted,exact_isin,US66979P3001,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::XWIN and already lists NASDAQ::XMAX; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::LGCB,,delisted,exact_isin,KYG5500B1023,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::LGCB and already lists NASDAQ::UZX; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::CAEP,,delisted,exact_isin,KYG1828A1085,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::CAEP and already lists NASDAQ::AIIR; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::RVYL,,delisted,exact_isin,US39366L3078,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::RVYL and already lists NASDAQ::RTB; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NYSE::FIHL,,delisted,exact_isin,BMG3398L1182,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NYSE::FIHL and already lists NYSE::PLGO; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::VBIX,,delisted,exact_isin,US9267111022,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::VBIX and already lists NASDAQ::QXL; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::ALTS,,delisted,exact_isin,CH1130675676,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::ALTS and already lists NASDAQ::AIFC; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::ATON,,delisted,exact_isin,VGG7185A1369,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::ATON and already lists NASDAQ::ALP; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::ZGM,,delisted,exact_isin,KYG988921055,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::ZGM and already lists NASDAQ::ZTG; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::PELI,,delisted,exact_isin,KYG6993G1038,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::PELI and already lists NASDAQ::GLND; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::VVPR,,delisted,exact_isin,GB00BD3VDH82,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::VVPR and already lists NASDAQ::VIVO; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::AIHS,,delisted,exact_isin,US8172252046,0.99,stockanalysis_symbol_changes,https://stockanalysis.com/actions/changes/,Official US directory no longer lists NASDAQ::AIHS and already lists NASDAQ::VAI; the symbol-change feed identifies the successor. The existing successor row is not rewritten.
NASDAQ::CYCN,,delisted,exact_isin,US23255M1053,0.99,sec_8k_name_symbol_change,https://www.sec.gov/Archives/edgar/data/1755237/000119312526389318/0001193125-26-389318.txt,"SEC Form 8-K confirms Cyclerion Therapeutics completed its merger with Korsana on 2026-09-08, renamed to Korsana Biosciences, Inc., and began Nasdaq trading as KRSA on 2026-09-09 after a 1-for-7 reverse split. Predecessor NASDAQ::CYCN with ISIN US23255M1053 is dropped; successor NASDAQ::KRSA is already listed and receives post-split ISIN US23255M3034 via metadata_updates. The existing successor row is not rewritten."
NASDAQ::YYGH,NASDAQ::YFOR,symbol_changed,same_isin,VGG9888Q1110,0.99,issuer_name_symbol_change,https://www.prnewswire.com/news-releases/yy-group-enters-new-era-as-yyforce-expanding-ai-automation-and-human-robot-workforce-strategy-nasdaq-ticker-changes-to-yfor-302865108.html,Issuer announcement confirms YY Group Holding Limited rebranded to YYForce Inc. and changed its Nasdaq ticker from YYGH to YFOR effective 2026-09-02. The ISIN is unchanged (VGG9888Q1110). Successor NASDAQ::YFOR is already listed; predecessor NASDAQ::YYGH is dropped. The existing successor row is not rewritten except for the retained ISIN.
