ticker,exchange,field,proposed_value,decision,source_name,source_url,evidence
MCSYV,OTC,name,MicroStrategy Inc 10% Perpetual Stride Preferred Series A,missing_target_row,FINRA,https://www.finra.org/sites/default/files/2025-06/UPC-57-2025-MCSYV.pdf,FINRA UPC advisory states symbol MCSYV was issued for MicroStrategy Inc 10% Perpetual Stride Preferred Series A (When Issued).
TDSPU,OTC,name,Telephone and Data Systems Inc Depositary Shares 6.625% Series UU Preferred Stock,missing_target_row,Nasdaq / TDS,https://www.nasdaq.com/market-activity/stocks/tds%5Eu,Nasdaq identifies TDS^U as Telephone and Data Systems depositary shares representing Series UU preferred stock; issuer dividend page confirms holders of Series UU depositary shares receive preferred-share dividends.
DTZNY,OTC,stock_sector,Information Technology,accept,Dotz Nano / ASX,https://dotz.tech/investors/american-depository-receipts-program/,Issuer ADR page states Dotz Nano stock trades on ASX as DTZ and its Level I ADR trades on OTC under DTZNY; official ASX source maps the underlying DTZ listing to Information Technology.
DTZZF,OTC,stock_sector,Information Technology,accept,ASX,https://www.asx.com.au/markets/company/DTZ,OTC DTZZF shares the Dotz Nano Limited ordinary-share ISIN AU000000DTZ4 with ASX:DTZ; official ASX source maps the underlying DTZ listing to Information Technology.
CVWFF,OTC,stock_sector,Materials,accept,StockAnalysis,https://stockanalysis.com/quote/otc/CVWFF/,Exact OTC CVWFF profile identifies CVW Sustainable Royalties Inc. with sector Materials and industry Other Industrial Metals & Mining; the row's name is now OpenFIGI-supported as CVW Sustainable Royalties Inc.
BENH,OTC,stock_sector,Consumer Staples,accept,SEC EDGAR,https://data.sec.gov/submissions/CIK0001568139.json,"SEC submissions metadata identifies Bio-En Holdings Corp. / CIK 0001568139 with SIC 2050 Bakery Products, mapped conservatively to the canonical Consumer Staples sector."
RZZN,OTC,stock_sector,Industrials,accept,SEC EDGAR,https://data.sec.gov/submissions/CIK0001659559.json,"SEC submissions metadata identifies Jialijia Group Corp Ltd / CIK 0001659559 with SIC 5090 Wholesale-Misc Durable Goods, mapped conservatively to the canonical Industrials sector."
UVCL,OTC,stock_sector,Communication Services,accept,SEC EDGAR,https://www.sec.gov/cgi-bin/browse-edgar?CIK=0000894680&owner=exclude&action=getcompany,"SEC company metadata identifies UniverCell Holdings Inc. / CIK 0000894680 with SIC 4813 Telephone Communications, mapped to the canonical Communication Services sector."
HLOI,OTC,stock_sector,Consumer Staples,accept,SEC EDGAR,https://data.sec.gov/submissions/CIK0000805902.json,"SEC submissions metadata identifies Previsto International Holdings Inc. / CIK 0000805902 with SIC 2840 Soap, Detergents, Cleaning Preparations, Perfumes, Cosmetics, mapped to the canonical Consumer Staples sector."
DDNFD,OTC,name,Adamera Minerals Corp,accept,Yahoo Finance,https://finance.yahoo.com/quote/DDNFD/,Exact OTC quote page identifies DDNFD as ADAMERA MINERALS CORP; the normal OTC DDNFF line already maps to Adamera Minerals Corp.
DDNFD,OTC,stock_sector,Materials,accept,Adamera Minerals,https://www.adamera.com/,"Exact DDNFD quote evidence ties the row to Adamera Minerals Corp; issuer site describes Adamera as exploring for high-grade gold deposits near Republic, Washington."
PLYFD,OTC,name,Playfair Mining Ltd,accept,Stock Events,https://stockevents.app/en/stock/PLYFD,Exact PLYFD profile identifies the symbol as Playfair Mining; the normal OTC PLYFF and TSXV PLY lines already map to Playfair Mining Ltd.
PLYFD,OTC,stock_sector,Materials,accept,Playfair Mining,https://playfairmining.com/,Exact PLYFD profile evidence ties the row to Playfair Mining; issuer site describes Playfair as a Canadian mineral exploration company with gold projects in Nova Scotia.
DOWAD,OTC,name,Defeng Solife Holdings Ltd ADR,accept,Stock Events,https://stockevents.app/en/stock/DOWAD,Exact DOWAD profile lists OTCM US DOWAD for Dowway Holdings Limited; current ADR program evidence identifies the renamed issuer as Defeng Solife Holdings Limited.
DOWAD,OTC,stock_sector,Communication Services,accept,Stock Events,https://stockevents.app/en/stock/DOWAD,"Exact DOWAD profile says the issuer operates in the Communication sector and describes integrated exhibition and event management, media, and advertising services."
AMNGV,OTC,name,American National Group Inc Preferred Series D,missing_target_row,FINRA,https://www.finra.org/sites/default/files/2025-01/UPC-03-2025%20AMNGV.pdf,FINRA UPC advisory identifies AMNGV as American National Group Inc Depositary Shares Representing 1/1000TH Int Preferred Series D (When Issued).
AMNGV,OTC,stock_sector,Financials,missing_target_row,American National,https://www.americannational.com/home/about-us/investor-relations,"Exact FINRA AMNGV identity evidence ties the row to American National Group Inc; issuer investor-relations page describes an insurance holding company offering annuities, life insurance, and property and casualty insurance products."
HZOZD,OTC,name,BetaPro Crude Oil Daily Bull ETF,accept,Yahoo Finance,https://finance.yahoo.com/quote/HZOZD/history/,Exact Yahoo Finance quote identifies OTC symbol HZOZD as BETAPRO CRUDE OIL DAILY BULL ET.
HZOZD,OTC,asset_type,ETF,accept,Yahoo Finance / BetaPro,https://finance.yahoo.com/quote/HZOZD/history/,Exact Yahoo Finance HZOZD quote identifies an ETF line; issuer BetaPro page for the current HOU product identifies BetaPro Crude Oil Leveraged Daily Bull ETF.
HZOZD,OTC,etf_category,Leveraged/Inverse,accept,BetaPro,https://betapro.ca/product/hou,Issuer product page states the BetaPro Crude Oil Leveraged Daily Bull ETF seeks up to two times daily exposure to the BetaPro Crude Oil Rolling Futures Index.
PTRVD,OTC,name,Avila Energy Corporation,accept,Stock Events,https://stockevents.app/en/stock/PTRVD,"Exact PTRVD profile identifies Avila Energy Corporation and describes an integrated energy company producing crude oil, natural gas, and NGLs in Western Canada."
PTRVD,OTC,stock_sector,Energy,accept,Stock Events,https://stockevents.app/en/stock/PTRVD,"Exact PTRVD profile says PTRVD operates in the Energy sector and describes crude oil, natural gas, and NGL production in Western Canada."
PMSXF,OTC,name,Grafton Resources Inc,accept,TheNewswire,https://www.thenewswire.com/press-releases/1AG9F4Gzz-prisma-exploration-announces-name-change.html,Issuer name-change announcement says Prisma Exploration Inc changed its name to Grafton Resources Inc; exact PMSXF market references identify the same renamed issuer.
PMSXF,OTC,isin,CA38447A1084,accept,TheNewswire,https://www.thenewswire.com/press-releases/1AG9F4Gzz-prisma-exploration-announces-name-change.html,Issuer name-change announcement gives new ISIN CA38447A1084 after the Prisma Exploration to Grafton Resources Inc name change.
PMSXF,OTC,stock_sector,Materials,accept,Stock Events,https://stockevents.app/en/stock/PMSXF,"Exact PMSXF profile says the issuer operates in the Materials sector and describes acquisition, exploration, and development of mineral properties in Canada."
FNMCD,OTC,name,Goldsky Resources,accept,Goldsky Resources,https://goldskyresources.com/news/launch-of-goldsky-resources/,Issuer launch announcement identifies Goldsky Resources with OTCQX symbol FNMCD after the First Nordic Metals and Mawson Finland merger.
FNMCD,OTC,stock_sector,Materials,accept,Goldsky Resources,https://goldskyresources.com/news/launch-of-goldsky-resources/,Issuer launch announcement identifies Goldsky Resources (OTCQX: FNMCD) as a Nordic-focused gold and cobalt developer with the Barsele gold project and Rajapalot gold-cobalt project.
VGRDF,OTC,name,VANGUARD FNDS PLC EU ETF,accept,OTC Markets,https://www.otcmarkets.com/research/stock-screener/api/downloadCSV?greyAccess=false&expertAccess=false,OTC Markets active screener identifies VGRDF with official display name VANGUARD FNDS PLC EU ETF.
VGRDF,OTC,asset_type,ETF,accept,OTC Markets / Vanguard,https://www.otcmarkets.com/research/stock-screener/api/downloadCSV?greyAccess=false&expertAccess=false,"OTC Markets active screener classifies VGRDF / VANGUARD FNDS PLC EU ETF as an ETF, while the dataset row is a stock-typed Vanguard FTSE Developed Europe product."
VGRDF,OTC,etf_category,Equity,accept,Vanguard,https://www.vanguard.co.uk/professional/product/etf/equity/9520/ftse-developed-europe-ucits-etf-eur-distributing,Issuer product page identifies Vanguard FTSE Developed Europe UCITS ETF as an equity ETF tracking the FTSE Developed Europe Index.
EWQQF,OTC,etf_category,Equity,accept,Invesco,https://www.invesco.com/uk/en/financial-products/etfs/invesco-eqqq-nasdaq-100-ucits-etf-dist.html,Issuer product page identifies the Invesco EQQQ Nasdaq-100 UCITS ETF asset class as Equity.
VNCUF,OTC,etf_category,Equity,accept,VanEck,https://www.vaneck.com/uk/en/investments/defense-etf/,Issuer product page describes VanEck Defense UCITS ETF as exposure to companies involved in defense-related industries.
