ticker,exchange,asset_type,name,nyse_symbol,nyse_issuer_name,nyse_issue_name,nyse_instrument_type,nyse_isin,nyse_asset_class,nyse_strategy,isin_update,category_update,decision
CLCV,NYSE ARCA,ETF,Crossmark ETF Trust,,,,,,,,,,no_nyse_sample_match
COIW,BATS,ETF,COIN WeeklyPay™ ETF,,,,,,,,,,no_nyse_sample_match
CRAN,NASDAQ,Stock,Crane Harbor Acquisition Corp. II,,,,,,,,,,no_nyse_sample_match
CRE,NASDAQ,Stock,Cre8 Enterprise Limited Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
CRH,NYSE,Stock,CRH PLC Ordinary Shares,,,,,,,,,,name_mismatch
CSHR,NASDAQ,Stock,CoinShares PLC,,,,,,,,,,no_nyse_sample_match
CSR,NYSE,Stock,Centerspace,CSR,Centerspace,Common Stock,A,US15202L1070,,,US15202L1070,,accept_isin
CTAA,NASDAQ,Stock,ClearThink 1 Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
CTWO,NYSE,ETF,COtwo Advisors Physical European Carbon Allowance Trust,,,,,,,,,,no_nyse_sample_match
CXII,NASDAQ,Stock,Churchill Capital Corp XII,,,,,,,,,,no_nyse_sample_match
DAN,NYSE,Stock,Dana Inc,,,,,,,,,,name_mismatch
DCPE,NYSE ARCA,ETF,DoubleLine Shiller CAPE US Equities ETF,,,,,,,,,,no_nyse_sample_match
DETX,NASDAQ,Stock,"Liberty Defense Holdings, Ltd.",,,,,,,,,,no_nyse_sample_match
DHLX,NYSE ARCA,ETF,Diamond Hill Funds,,,,,,,,,,no_nyse_sample_match
DPC,NYSE,Stock,DPC Holdings PLC Ordinary Shares,,,,,,,,,,no_nyse_sample_match
DSAC,NASDAQ,Stock,Daedalus Special Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
DTG,NYSE,Stock,DTE Energy Company 2021 Series E,,,,,,,,,,name_mismatch
EDBLW,NASDAQ,Stock,Edible Garden AG Incorporated,EDBLW,Edible Garden AG Inc,WT EXP,C,US28059P1131,,,US28059P1131,,accept_isin
EMIS,NASDAQ,Stock,Emmis Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
ENAV,BATS,ETF,Collaborative Investment Series Trust - Mohr Sector Navigator ETF,,,,,,,,,,no_nyse_sample_match
ETSS,NYSE,Stock,Energy Transition Special Opportunities Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
FCRS,NYSE,Stock,FutureCrest Acquisition Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
FEMD,NYSE ARCA,ETF,First Eagle ETF Trust,,,,,,,,,,no_nyse_sample_match
FHI,NYSE,Stock,"Federated Hermes, Inc.",FHI,"Federated Hermes, Inc.",Class B Common Stock,A,US3142111034,,,US3142111034,,accept_isin
FLD,NASDAQ,Stock,"Fold Holdings, Inc. Class A Common Stock",,,,,,,,,,name_mismatch
FMAC,NASDAQ,Stock,Future Money Acquisition Corporation,,,,,,,,,,no_nyse_sample_match
FNGB,NYSE ARCA,ETF,MicroSectors™ FANG+™ 3x Leveraged ETNs,,,,,,,,,,no_nyse_sample_match
FPAG,BATS,ETF,Northern Lights Fund Trust III - FPA Global Equity ETF,,,,,,,,,,name_mismatch
FPWR,NYSE ARCA,ETF,First Trust EIP Power Solutions ETF,,,,,,,,,,no_nyse_sample_match
FRTT,NASDAQ,Stock,Fort Technology Inc.,,,,,,,,,,no_nyse_sample_match
FTHA,NASDAQ,Stock,Forefront Tech Holdings Acquisition Corp - Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
FXHO,NASDAQ,Stock,UTime Limited - Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
GAID,NYSE ARCA,ETF,Guinness Atkinson Funds,,,,,,,,,,no_nyse_sample_match
GAP,NYSE,Stock,"The Gap, Inc.",,,,,,,,,,name_mismatch
GAUD,NYSE ARCA,ETF,Guinness Atkinson Funds,,,,,,,,,,no_nyse_sample_match
GAVA,NASDAQ,ETF,Grayscale Avalanche Trust ETF Common Units of Fractional Undivided Beneficial Interest,,,,,,,,,,no_nyse_sample_match
GBXA,BATS,ETF,Goldman Sachs ETF Trust Goldman,,,,,,,,,,no_nyse_sample_match
GCGR,NASDAQ,Stock,General Catalyst Global Resilience Merger Corp. - Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
GCT,NASDAQ,Stock,GigaCloud Technology Inc Class A Ordinary Shares,,,,,,,,,,name_mismatch
GDFN,NASDAQ,ETF,Tema International Defense Innovation ETF,,,,,,,,,,no_nyse_sample_match
GFL,NYSE,Stock,Gfl Environmental Holdings Inc,GFL,GFL Environmental Inc.,Subordinate Voting Shares,A,CA36168Q1046,,,,,no_update
GGTL,NYSE ARCA,ETF,Gabelli Global Technology Leaders ETF,,,,,,,,,,no_nyse_sample_match
GIW,NASDAQ,Stock,GigCapital8 Corp.,,,,,,,,,,no_nyse_sample_match
GIX,NASDAQ,Stock,GigCapital9 Corp.,,,,,,,,,,no_nyse_sample_match
GLED,NYSE,Stock,GalaxyEdge Acquisition Corporation Ordinary Shares,,,,,,,,,,no_nyse_sample_match
GLIX,NYSE ARCA,ETF,Lazard Active ETF Trust,,,,,,,,,,no_nyse_sample_match
GMOC,NYSE ARCA,ETF,GMO ETF Trust (Name to be changed from The 2023 ETF Series Trust II),,,,,,,,,,no_nyse_sample_match
GNS,NYSE MKT,Stock,Genius Group Ltd,GNS,Genius Group Limited,Ordinary Shares,A,SGXZ81555062,,,,,no_update
GOOW,BATS,ETF,Roundhill Etf Trust - Roundhill Google Weeklypay Etf,,,,,,,,,,no_nyse_sample_match
GPGI,NYSE,Stock,"GPGI, Inc.",,,,,,,,,,no_nyse_sample_match
GSOL,NYSE ARCA,ETF,Grayscale Solana Trust ETF,,,,,,,,,,no_nyse_sample_match
GSRV,NASDAQ,Stock,GSR V Acquisition Corp. - Class A ordinary shares,,,,,,,,,,no_nyse_sample_match
HACQ,NASDAQ,Stock,HCM IV Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
HAVA,NASDAQ,Stock,Harvard Ave Acquisition Corporation Class A Ordinary Share,,,,,,,,,,no_nyse_sample_match
HCAC,NASDAQ,Stock,Hall Chadwick Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
HCIC,NASDAQ,Stock,Hennessy Capital Investment Corp. VIII,,,,,,,,,,no_nyse_sample_match
HCMA,NASDAQ,Stock,HCM III Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
HELP,NASDAQ,Stock,Cybin Inc.,,,,,,,,,,no_nyse_sample_match
HERZ,NASDAQ,ETF,"Herzfeld Credit Income Fund, Inc",,,,,,,,,,no_nyse_sample_match
HFSI,BATS,ETF,Hartford Strategic Income ETF,,,,,,,,,,no_nyse_sample_match
HIG,NYSE,Stock,"The Hartford Insurance Group, Inc.",,,,,,,,,,name_mismatch
HONA,NASDAQ,Stock,Honeywell Aerospace Inc. - Common Stock,,,,,,,,,,no_nyse_sample_match
HONAV,NASDAQ,Stock,Honeywell Aerospace Inc.,,,,,,,,,,no_nyse_sample_match
HQ,NASDAQ,Stock,Horizon Quantum Holdings Ltd.,,,,,,,,,,no_nyse_sample_match
HVAC,NYSE ARCA,ETF,AdvisorShares Trust,,,,,,,,,,no_nyse_sample_match
IACO,NASDAQ,Stock,Idea Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
IACQ,NASDAQ,Stock,Irenic Acquisition Corp. - Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
IGAC,NASDAQ,Stock,Invest Green Acquisition Corporation,,,,,,,,,,no_nyse_sample_match
ILLU,NASDAQ,Stock,Illumination Acquisition Corp I,,,,,,,,,,no_nyse_sample_match
INRO,NASDAQ,ETF,BlackRock U.S. Industry Rotation ETF,,,,,,,,,,name_mismatch
IPB,NYSE,ETF,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificates Series 2003-1",IPB,Merrill Lynch Depositor Inc.,6.0518% INDEXPLUS Trust Certificates Series 2003-1,G,US45408V2034,,,US45408V2034,,accept_isin
IPFX,NASDAQ,Stock,Inflection Point Acquisition Corp. VI,,,,,,,,,,no_nyse_sample_match
IRAB,NYSE,Stock,Iris Acquisition Corp II Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
IROC,BATS,ETF,Invesco Rochester High Yield Municipal ETF,,,,,,,,,,no_nyse_sample_match
ITG,NASDAQ,Stock,"ITG, Inc. - Class A Common Stock",,,,,,,,,,no_nyse_sample_match
JABS,NYSE ARCA,ETF,Janus Detroit Street Trust,,,,,,,,,,no_nyse_sample_match
JATT,NASDAQ,Stock,JATT II Acquisition Corp,,,,,,,,,,no_nyse_sample_match
JEMB,NYSE ARCA,ETF,Janus Detroit Street Trust,,,,,,,,,,name_mismatch
JHCR,NYSE ARCA,ETF,JHancock Core Bond ETF,,,,,,,,,,no_nyse_sample_match
JIII,NYSE ARCA,ETF,Janus Detroit Street Trust,JIII,Janus Detroit Street Trust,Janus Henderson Income ETF,ETF,US47103U7129,FIXED_INCOME,ACTIVE,US47103U7129,,accept_isin
KEYY,NASDAQ,Stock,Keystone Acquisition Corp. - Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
KKRT,NYSE,Stock,KKR & Co. Inc. 6.875% Subordina,,,,,,,,,,no_nyse_sample_match
KPET,NYSE,Stock,KPET Ultra Paceline Corporation Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
KRSP,NYSE,Stock,Rice Acquisition Corporation 3 Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
KRUZ,BATS,ETF,Unusual Whales Subversive Republican Trading ETF,KRUZ,Unusual Whales Subversive Republican Trading ETF,ETF,ETF,US81752T4940,,,,,no_update
KTWO,NASDAQ,Stock,K2 Capital Acquisition Corporation,,,,,,,,,,no_nyse_sample_match
LAYS,NASDAQ,ETF,STKd 100% NVDA & 100% AMD ETF,,,,,,,,,,no_nyse_sample_match
LDDR,BATS,ETF,Stone Ridge 2035 Term Income ETF,,,,,,,,,,no_nyse_sample_match
LEGO,NYSE MKT,Stock,Legato Merger Corp. IV Ordinary Shares,,,,,,,,,,no_nyse_sample_match
LFAC,NASDAQ,Stock,Leapfrog Acquisition Corporation,,,,,,,,,,no_nyse_sample_match
LFDR,BATS,ETF,Stone Ridge Durable Income ETF,,,,,,,,,,no_nyse_sample_match
LTAX,NYSE ARCA,ETF,Nomura ETF Trust,,,,,,,,,,no_nyse_sample_match
LWAC,NASDAQ,Stock,LightWave Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
MAKO,NASDAQ,Stock,Mako Mining Corp,,,,,,,,,,no_nyse_sample_match
MCAH,NASDAQ,Stock,Mountain Crest Acquisition 6 Corp. - Ordinary Shares,,,,,,,,,,no_nyse_sample_match
MDCX,NASDAQ,Stock,Medicus Pharma Ltd.,MDCX,Medicus Pharma Ltd,COM,A,CA58471K2020,,,,,no_update
MDPL,BATS,ETF,Northern Lights Fund Trust IV - Monarch Dividend Plus Index ETF,,,,,,,,,,name_mismatch
MDXH,NASDAQ,Stock,MDxHealth SA,,,,,,,,,,name_mismatch
MEM,NYSE ARCA,ETF,MAYBANK EMERGING ETF,,,,,,,,,,name_mismatch
MLAC,NASDAQ,Stock,Mountain Lake Acquisition Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
MMID,NYSE,ETF,MFS Active Exchange Traded Funds Trust,,,,,,,,,,no_nyse_sample_match
MMM,NYSE,Stock,3M Company,,,,,,,,,,name_mismatch
MSSS,BATS,ETF,Northern Lights Fund Trust IV - Monarch Select Subsector Index ETF,,,,,,,,,,name_mismatch
MTAL,NYSE,Stock,Metals Acquisition Corp. II Class A Ordinary Shares,,,,,,,,,,name_mismatch
MTB,NYSE,Stock,M&T Bank Corporation,,,,,,,,,,name_mismatch
MTNE,NYSE,Stock,CH4 Natural Solutions Corporation Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
MUNX,NYSE ARCA,ETF,AMG ETF Trust,,,,,,,,,,no_nyse_sample_match
MUZE,NASDAQ,Stock,Muzero Acquisition Corp,,,,,,,,,,no_nyse_sample_match
MYCO,NASDAQ,ETF,SPDR SSGA My2035 Corporate Bond ETF,,,,,,,,,,no_nyse_sample_match
MYMK,NASDAQ,ETF,SPDR SSGA My2031 Municipal Bond ETF,,,,,,,,,,no_nyse_sample_match
MZYX,NYSE,Stock,MOZAYYX Acquisition Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
NCEL,NASDAQ,Stock,NewcelX Ltd.,,,,,,,,,,no_nyse_sample_match
NETX,BATS,ETF,Tradr 2X Long NET Daily ETF,,,,,,,,,,no_nyse_sample_match
NFLP,BATS,ETF,Kurv Yield Prm Stgy Netflix (NFLX) ETF,,,,,,,,,,name_mismatch
NHIV,NASDAQ,Stock,NewHold Investment Corp IV,,,,,,,,,,no_nyse_sample_match
NIPG,NASDAQ,Stock,NIP Group Inc.,,,,,,,,,,name_mismatch
NMAD,NASDAQ,Stock,"Nomad Power Solutions, Inc. - Common Stock",,,,,,,,,,no_nyse_sample_match
NTSD,NYSE ARCA,ETF,WisdomTree Efficient U.S. Plus International Equity Fund,,,,,,,,,,no_nyse_sample_match
NWGL,NASDAQ,Stock,CL Workshop Group Limited,,,,,,,,,,name_mismatch
NXG,NYSE,ETF,NXG NextGen Infrastructure Income Fund,NXG,NXG NextGen Infrastructure Income Fund,Common Shares of Beneficial Interest,P,US2316472073,,,US2316472073,,accept_isin
OCTV,NASDAQ,Stock,Octave Intelligence plc,,,,,,,,,,no_nyse_sample_match
OFAL,NASDAQ,Stock,OFA Group,,,,,,,,,,no_nyse_sample_match
OHAC,NASDAQ,Stock,Oceanhawk Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
OIO,NASDAQ,Stock,OIO Group,,,,,,,,,,no_nyse_sample_match
OIOWW,NASDAQ,Stock,OIO Group,,,,,,,,,,no_nyse_sample_match
OKYO,NASDAQ,Stock,OKYO Pharma Limited,OKYO,OKYO Pharma Limited,ORD,A,GG00BMFG5F62,,,,,no_update
OPTH,NASDAQ,Stock,Optimi Health Corp.,,,,,,,,,,no_nyse_sample_match
OSG,NYSE,Stock,"Octave Specialty Group, Inc.",,,,,,,,,,no_nyse_sample_match
OTAI,NYSE,Stock,Starlink AI Acquisition Corporation Ordinary Shares,,,,,,,,,,no_nyse_sample_match
PAAC,NASDAQ,Stock,Proem Acquisition Corp I,,,,,,,,,,no_nyse_sample_match
PAII,NYSE,Stock,Pyrophyte Acquisition Corp. II Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
PALO,NASDAQ,Stock,Paloma Acquisition Corp I,,,,,,,,,,no_nyse_sample_match
PCEM,NYSE ARCA,ETF,Litman Gregory Funds Trust,,,,,,,,,,name_mismatch
PECE,NASDAQ,Stock,Peace Acquisition Corp,,,,,,,,,,no_nyse_sample_match
PHXE-P,NYSE,Stock,"Phoenix Energy One, LLC",,,,,,,,,,no_nyse_sample_match
PLTW,BATS,ETF,PLTR WeeklyPay™ ETF,,,,,,,,,,no_nyse_sample_match
PLUN,NYSE,Stock,Plutonian Acquisition Corp II Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
PONO,NASDAQ,Stock,"Pono Capital Four, Inc.",,,,,,,,,,no_nyse_sample_match
PRG,NYSE,Stock,PROG Holdings Inc,,,,,,,,,,name_mismatch
PRVS,NYSE,ETF,Parnassus Income Funds,,,,,,,,,,no_nyse_sample_match
QADR,NASDAQ,Stock,QDRO Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
QLEP,NYSE,Stock,Quantum Leap Acquisition Corp Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
QVMT,NYSE ARCA,ETF,Invesco S&P S&P 500 Concentrated QVM ETF,,,,,,,,,,no_nyse_sample_match
RARE,NASDAQ,Stock,Ultragenyx,,,,,,,,,,name_mismatch
REMG,NASDAQ,ETF,Emerging Markets Active ETF,,,,,,,,,,no_nyse_sample_match
RGLO,NASDAQ,ETF,Global Equity Active ETF,,,,,,,,,,no_nyse_sample_match
RGNT,NYSE MKT,Stock,Regentis Biomaterials Ltd. Ordinary Shares,,,,,,,,,,no_nyse_sample_match
RIFR,NASDAQ,ETF,Global Infrastructure Active ETF,,,,,,,,,,no_nyse_sample_match
RKT,NYSE,Stock,Rocket Companies Inc,RKT,"Rocket Companies, Inc.",Class A Common Stock,A,US77311W1018,,,US77311W1018,,accept_isin
RREV,NASDAQ,Stock,RRE Ventures Acquisition Corp.,,,,,,,,,,no_nyse_sample_match
RVRB,BATS,ETF,Advisors Series Trust - Vox Populi ETF,,,,,,,,,,name_mismatch
RWEM,NYSE ARCA,ETF,The Advisors' Inner Circle Fund III - Rayliant Wilshire NxtGen Emerging Markets Equity ETF,,,,,,,,,,no_nyse_sample_match
RWLC,NYSE ARCA,ETF,The Advisors' Inner Circle Fund III - Rayliant Wilshire NxtGen US Large Cap Equity ETF,,,,,,,,,,no_nyse_sample_match
SAGU,NYSE,Stock,Shreya Acquisition Group Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
SAT,NYSE,Stock,Saratoga Investment Corp 6.00%,,,,,,,,,,no_nyse_sample_match
SAY,NYSE,Stock,Saratoga Investment Corp 8.125%,,,,,,,,,,no_nyse_sample_match
SBMT,NYSE MKT,Stock,Silver Bow Mining Corp. Common Shares,,,,,,,,,,no_nyse_sample_match
SBXE,NYSE,Stock,SilverBox Corp V Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
SE,NYSE,Stock,Sea Ltd,,,,,,,,,,name_mismatch
SECZ,NYSE,Stock,Securitize Corp. Common Stock,,,,,,,,,,no_nyse_sample_match
SIMA,NASDAQ,Stock,SIM Acquisition Corp. I Class A Ordinary Shares,,,,,,,,,,name_mismatch
SIND,NYSE,Stock,Sinda Ltd. Common Stock,,,,,,,,,,no_nyse_sample_match
SIXD,BATS,ETF,AllianzIM U.S. Large Cap 6 Month Buffer10 Jun/Dec ETF,SIXD,AIM ETF Products Trust,AllianzIM U.S. Large Cap 6 Month Buffer10 Jun/Dec ETF,ETF,US00888H6466,EQUITY,ACTIVE,US00888H6466,,accept_isin
SKK,NASDAQ,Stock,SKK Holdings Limited,,,,,,,,,,name_mismatch
SLB,NYSE,Stock,SLB Limited Common Shares,,,,,,,,,,name_mismatch
SLBT,NASDAQ,Stock,SL Science Holding Limited,,,,,,,,,,no_nyse_sample_match
SLM,NASDAQ,Stock,SLM Corp,,,,,,,,,,name_mismatch
SLSR,NYSE MKT,Stock,Solaris Resources Inc. Common Shares,SLSR,Solaris Resources Inc.,Common Shares,A,CA83419D2014,,,,,no_update
SOF,NYSE,ETF,Amplify Samsung SOFR ETF ,,,,,,,,,,no_nyse_sample_match
SOLR,NYSE ARCA,ETF,Guinness Atkinson Funds,,,,,,,,,,name_mismatch
SOUL,NYSE,Stock,Soulpower Acquisition Corporation Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
SPMD,NYSE ARCA,ETF,SPDR Russell Small Cap Completeness,,,,,,,,,,name_mismatch
SSAC,NASDAQ,Stock,SPACSphere Acquisition Corp. Class A Ordinary Shares,,,,,,,,,,no_nyse_sample_match
SULR,NYSE ARCA,ETF,Guinness Atkinson Funds - SmartETFs Sustainable Energy II ETF,,,,,,,,,,no_nyse_sample_match
SUMA,NASDAQ,Stock,SUMA Acquisition Corporation,,,,,,,,,,no_nyse_sample_match
SVAC,NASDAQ,Stock,Spring Valley Acquisition Corp. III,,,,,,,,,,no_nyse_sample_match
TACO,NASDAQ,Stock,Berto Acquisition Corp. Ordinary Shares,,,,,,,,,,no_nyse_sample_match
TAVI,NASDAQ,Stock,Tavia Acquisition Corp. Ordinary Shares,,,,,,,,,,no_nyse_sample_match
TBLU,NYSE,ETF,Tortoise Global Water ETF,TBLU,Managed Portfolio Series,Tortoise Global Water ESG Fund,ETF,US56167N7536,EQUITY,INDEX,US56167N7536,,accept_isin
TDOG,NASDAQ,ETF,21Shares Dogecoin ETF Common Shares of Beneficial Interest,,,,,,,,,,no_nyse_sample_match
TJGC,NASDAQ,Stock,TJGC Group Limited,,,,,,,,,,no_nyse_sample_match
TLCI,NYSE ARCA,ETF,Touchstone ETF Trust,,,,,,,,,,no_nyse_sample_match
TMCR,NASDAQ,Stock,The Metals Royalty Company Inc.,,,,,,,,,,no_nyse_sample_match
TMTS,NASDAQ,Stock,Spartacus Acquisition Corp. II,,,,,,,,,,no_nyse_sample_match
TMVE,NYSE ARCA,ETF,Thrivent ETF Trust,,,,,,,,,,no_nyse_sample_match
TOAK,NYSE ARCA,ETF,Manager Directed Portfolios,,,,,,,,,,name_mismatch
TOPS,NYSE MKT,Stock,TOP Ships Inc.,TOPS,TOP Ships Inc.,Common Stock,A,MHY8897Y2307,,,,,no_update
TOPW,BATS,ETF,Roundhill WeeklyPay Universe ETF,,,,,,,,,,no_nyse_sample_match
