ticker,exchange,asset_type,name,stockanalysis_symbol,stockanalysis_name,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,isin_update,sector_update,decision,source_url
0A45,LSE,Stock,Moderna Inc.,0A45,"Moderna, Inc.",,,"Biological Products, Except Diagnostic Substances",,,no_update,https://stockanalysis.com/quote/lon/0A45/
0A6B,LSE,Stock,DuPont de Nemours Inc.,0A6B,"DuPont de Nemours, Inc.",,,"Plastics Materials And Synthetic Resins, Synthetic Rubber, Cellulosic And Other Manmade Fibers, Except Glass",,,no_update,https://stockanalysis.com/quote/lon/0A6B/
0A6Y,LSE,Stock,Xerox Holdings Corp.,0A6Y,Xerox Holdings Corporation,US98421M1062,Technology,Information Technology Services,,Information Technology,accept,https://stockanalysis.com/quote/lon/0A6Y/
0A77,LSE,Stock,Cigna Corp.,0A77,The Cigna Group,,,Hospital and Medical Service Plans,,,no_update,https://stockanalysis.com/quote/lon/0A77/
0A8D,LSE,Stock,"Q/C Technologies, Inc.",0A8D,"Q/C Technologies, Inc.",US62856X3008,,Pharmaceutical Preparations,,,no_update,https://stockanalysis.com/quote/lon/0A8D/
0A90,LSE,Stock,0A90,,,,,,,,no_symbol_match,
0A9N,LSE,Stock,NACON SASU,0A9N,Nacon S.A.,,,"Computer Peripheral Equipment, not elsewhere classified",,,no_update,https://stockanalysis.com/quote/lon/0A9N/
0A9W,LSE,Stock,Organon & Co.,0A9W,Organon & Co.,US68622V1061,,Pharmaceutical Preparations,,,no_update,https://stockanalysis.com/quote/lon/0A9W/
0A9Z,LSE,Stock,Acast AB,0A9Z,Acast AB (publ),SE0015960935,,"Computer Programming, Data Processing, And Other Computer Related Services",,,no_update,https://stockanalysis.com/quote/lon/0A9Z/
0AA5,LSE,Stock,Antin Infrastructure Partners,0AA5,Antin Infrastructure Partners SAS,FR0014005AL0,,"Investors, not elsewhere classified",,,no_update,https://stockanalysis.com/quote/lon/0AA5/
0AA7,LSE,Stock,Truecaller AB Series B,0AA7,Truecaller AB (publ),SE0016787071,,Prepackaged Software,,,name_mismatch,https://stockanalysis.com/quote/lon/0AA7/
0AA9,LSE,Stock,Storskogen Group AB Series B,0AA9,Storskogen Group AB (publ),SE0016797732,,Conglomerates,,,name_mismatch,https://stockanalysis.com/quote/lon/0AA9/
0AAA,LSE,Stock,Aramis Group SAS,0AAA,Aramis Group SAS,,,Catalog and Mail-Order Houses,,,no_update,https://stockanalysis.com/quote/lon/0AAA/
0AAB,LSE,Stock,Netel Holding AB,0AAB,Netel Holding AB (publ),SE0016798417,,Heavy Construction Other Than Building Construction Contractors,,,no_update,https://stockanalysis.com/quote/lon/0AAB/
0AAE,LSE,Stock,AutoStore Holdings Ltd.,0AAE,AutoStore Holdings Ltd.,BMG0670A1099,,"General Industrial Machinery and Equipment, Not Elsewhere",,,no_update,https://stockanalysis.com/quote/lon/0AAE/
0AAK,LSE,Stock,Volvo Car AB Series B,0AAK,Volvo Car AB (publ.),,,Motor Vehicles and Passenger Car Bodies,,,no_update,https://stockanalysis.com/quote/lon/0AAK/
0AAN,LSE,Stock,OVH Groupe SAS,0AAN,OVH Groupe S.A.,,,"Computer Programming, Data Processing, And Other Computer Related Services",,,no_update,https://stockanalysis.com/quote/lon/0AAN/
0AAR,LSE,Stock,INTERCOS SPA INTERCOS ORD SHS,0AAR,Intercos S.p.A.,IT0005455875,,"Perfumes, Cosmetics, and Other Toilet Preparations",,,no_update,https://stockanalysis.com/quote/lon/0AAR/
0AAS,LSE,Stock,Samhaellsbyggnadsbolaget i Norden AB,0AAS,Samhällsbyggnadsbolaget i Norden AB (publ),,,Operators of Apartment Buildings,,,name_mismatch,https://stockanalysis.com/quote/lon/0AAS/
0AAT,LSE,Stock,Bike24 Holding AG,0AAT,Bike24 Holding AG,DE000A3CQ7F4,,Nonstore Retailers,,,no_update,https://stockanalysis.com/quote/lon/0AAT/
0AAV,LSE,Stock,Sdiptech AB,0AAV,Sdiptech AB (publ),,,Sanitary Services,,,no_update,https://stockanalysis.com/quote/lon/0AAV/
0AAY,LSE,Stock,Var Energi ASA NOK,0AAY,Vår Energi ASA,,,Crude Petroleum and Natural Gas,,,no_update,https://stockanalysis.com/quote/lon/0AAY/
0AB0,LSE,Stock,Poujoulat S.A.,0AB0,Poujoulat SA,FR0000066441,,Sheet Metal Work,,,no_update,https://stockanalysis.com/quote/lon/0AB0/
0AB3,LSE,Stock,Elopak ASA NOK,0AB3,Elopak ASA,,,Paperboard Containers And Boxes,,,no_update,https://stockanalysis.com/quote/lon/0AB3/
0AB5,LSE,Stock,Iveco Group N.V.,0AB5,Iveco Group N.V.,,,Motor Vehicles and Passenger Car Bodies,,,no_update,https://stockanalysis.com/quote/lon/0AB5/
0AB7,LSE,Stock,Technoprobe S.p.A.,0AB7,Technoprobe S.p.A.,IT0005482333,,Semiconductors and Related Devices,,,no_update,https://stockanalysis.com/quote/lon/0AB7/
0ABE,LSE,Stock,Ariston Holding N.V.,0ABE,Ariston Holding N.V.,NL0015000N33,,Industrial and Commercial Fans and Blowers and Air Purification Equipment,,,no_update,https://stockanalysis.com/quote/lon/0ABE/
0ABG,LSE,Stock,Swedencare AB SEK,0ABG,Swedencare AB (publ),,,Pharmaceutical Preparations,,,name_mismatch,https://stockanalysis.com/quote/lon/0ABG/
0ABH,LSE,Stock,Verallia SAS,0ABH,Verallia Société Anonyme,,,Glass Containers,,,name_mismatch,https://stockanalysis.com/quote/lon/0ABH/
0ABJ,LSE,Stock,Alleima AB (publ),0ABJ,Alleima AB (publ),SE0017615644,Materials,Steel,,Materials,accept,https://stockanalysis.com/quote/lon/0ABJ/
0ABP,LSE,Stock,NOVEM GROUP SA NOVEM GROUP ORD SHS,0ABP,Novem Group S.A.,LU2356314745,,Motor Vehicle Parts and Accessories,,,no_update,https://stockanalysis.com/quote/lon/0ABP/
0ABQ,LSE,Stock,Cibus Nordic Real Estate AB,0ABQ,Cibus Nordic Real Estate AB (publ),,Real Estate,Real Estate Operations,,Real Estate,accept,https://stockanalysis.com/quote/lon/0ABQ/
0ABW,LSE,Stock,Egetis Therapeutics AB,0ABW,Egetis Therapeutics AB (publ),,,Pharmaceutical Preparations,,,no_update,https://stockanalysis.com/quote/lon/0ABW/
0ABY,LSE,Stock,Hemnet Group AB,0ABY,Hemnet Group AB (publ),,,"Computer Programming, Data Processing, And Other Computer Related Services",,,no_update,https://stockanalysis.com/quote/lon/0ABY/
0ABZ,LSE,Stock,Hydrogen Refueling Solutions,0ABZ,Hydrogen-Refueling-Solutions SA,,Energy,Oil & Gas,,Energy,accept,https://stockanalysis.com/quote/lon/0ABZ/
0AC9,LSE,Stock,DSM-Firmenich AG,0AC9,DSM-Firmenich AG,,,Chemicals and Allied Products,,,no_update,https://stockanalysis.com/quote/lon/0AC9/
0ACC,LSE,Stock,Accelleron Industries AG,0ACC,Accelleron Industries AG,,Industrials,"Machinery, Tools, Heavy Vehicles, Trains & Ships",,Industrials,accept,https://stockanalysis.com/quote/lon/0ACC/
0ACH,LSE,Stock,MedinCell,0ACH,MedinCell S.A.,,,Pharmaceutical Preparations,,,no_update,https://stockanalysis.com/quote/lon/0ACH/
0ADF,LSE,Stock,ARM Holdings,0ADF,Arm Holdings plc,US0420682058,,Semiconductors and Related Devices,,,no_update,https://stockanalysis.com/quote/lon/0ADF/
0AHI,LSE,Stock,Caisse Régionale de Crédit Agricole Mutuel Nord de France Société coopérative,0AHI,Caisse Régionale de Crédit Agricole Mutuel Nord de France Société coopérative,FR0000185514,,Commercial Banks,,,no_update,https://stockanalysis.com/quote/lon/0AHI/
0BOE,LSE,Stock,Boeing Co.,0BOE,The Boeing Company,,,Aircraft,,,no_update,https://stockanalysis.com/quote/lon/0BOE/
0CIH,LSE,Stock,RAISIO OYJ RAISIO K ORD SHS,,,,,,,,no_symbol_match,
0D1W,LSE,Stock,Biophytis,0D1W,Biophytis S.A.,,,"Biological Products, Except Diagnostic Substances",,,no_update,https://stockanalysis.com/quote/lon/0D1W/
0D25,LSE,Stock,Drone Volt S.A.,0D25,Drone Volt SA,FR001400SVN0,,Aircraft,,,no_update,https://stockanalysis.com/quote/lon/0D25/
0DGZ,LSE,Stock,Adolfo Dominguez S.A.,0DGZ,"Adolfo Domínguez, S.A.",ES0106000013,,Apparel and Other Finished Products Made From Fabrics and Similar Materials,,,no_update,https://stockanalysis.com/quote/lon/0DGZ/
0DJI,LSE,Stock,Alm. Brand,0DJI,Alm. Brand A/S,DK0015250344,,Insurance Carriers,,,no_update,https://stockanalysis.com/quote/lon/0DJI/
0DOG,LSE,Stock,Azkoyen S.A.,0DOG,"Azkoyen, S.A.",ES0112458312,,Refrigeration And Service Industry Machinery,,,no_update,https://stockanalysis.com/quote/lon/0DOG/
0DRH,LSE,Stock,Bank Millennium S.A.,,,,,,,,no_symbol_match,
0DTI,LSE,Stock,Bonheur,0DTI,Bonheur ASA,NO0003110603,Industrials,Conglomerates,,Industrials,accept,https://stockanalysis.com/quote/lon/0DTI/
0DZC,LSE,Stock,CIE Automotive S.A.,0DZC,"CIE Automotive, S.A.",,,Motor Vehicle Parts and Accessories,,,no_update,https://stockanalysis.com/quote/lon/0DZC/
0E1Y,LSE,Stock,Chargeurs,0E1Y,Compagnie Chargeurs Invest,FR0000130692,,Conglomerates,,,no_update,https://stockanalysis.com/quote/lon/0E1Y/
0E2J,LSE,Stock,Componenta Oyj,0E2J,Componenta Corporation,,,Transportation Equipment,,,no_update,https://stockanalysis.com/quote/lon/0E2J/
0EAP,LSE,Stock,Euroapi,0EAP,Euroapi S.A.,,,Medicinal Chemicals and Botanical Products,,,no_update,https://stockanalysis.com/quote/lon/0EAP/
0EEZ,LSE,Stock,Athens Water Supply & Sewerage Co. S.A.,,,,,,,,no_symbol_match,
0EGH,LSE,Stock,Fiera Milano S.p.A.,0EGH,Fiera Milano S.p.A.,,,"Business Services, not elsewhere classified",,,no_update,https://stockanalysis.com/quote/lon/0EGH/
0EIB,LSE,Stock,Audax Renovables S.A.,0EIB,"Audax Renovables, S.A.",,Utilities,Utilities - Renewable,,Utilities,accept,https://stockanalysis.com/quote/lon/0EIB/
0EOI,LSE,Stock,HF Co.,0EOI,HF Company SA,FR0000038531,,Radio and Television Broadcasting and Communications Equipment,,,no_update,https://stockanalysis.com/quote/lon/0EOI/
0EVE,LSE,Stock,InterOil Exploration & Production ASA,0EVE,Interoil Exploration and Production ASA,NO0013119255,,Crude Petroleum and Natural Gas,,,no_update,https://stockanalysis.com/quote/lon/0EVE/
0EXO,LSE,Stock,Exosense Plc,0EXO,Exosens,,,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical Systems and Instruments",,,no_update,https://stockanalysis.com/quote/lon/0EXO/
0F1N,LSE,Stock,KWS Saat SE,0F1N,KWS SAAT SE & Co. KGaA,,,Agricultural Production Crops,,,no_update,https://stockanalysis.com/quote/lon/0F1N/
0F3G,LSE,Stock,Lingotes Especiales S.A.,,,,,,,,no_symbol_match,
0FDN,LSE,Stock,Nicolas Correa S.A.,0FDN,"Nicolás Correa, S.A.",ES0166300212,,"Machine Tools, Metal Cutting Types",,,no_update,https://stockanalysis.com/quote/lon/0FDN/
0FRI,LSE,Stock,Lumibird S.A.,0FRI,Lumibird SA,FR0000038242,Technology,"Hardware, Equipment & Parts",,Information Technology,accept,https://stockanalysis.com/quote/lon/0FRI/
0G3L,LSE,Stock,Gruvaktiebolaget Viscaria,0G3L,Gruvaktiebolaget Viscaria,SE0021148160,,Metal Mining,,,no_update,https://stockanalysis.com/quote/lon/0G3L/
0G4W,LSE,Stock,INVESTORS HOUSE OYJ INVESTORS HOUSE ORD SHS,,,,,,,,no_symbol_match,
0G7B,LSE,Stock,Suedzucker AG,0G7B,Südzucker AG,DE0007297004,,Sugar And Confectionery Products,,,name_mismatch,https://stockanalysis.com/quote/lon/0G7B/
0G9R,LSE,Stock,PowerCell Sweden AB,0G9R,PowerCell Sweden AB (publ),,Industrials,Electrical Equipment & Parts,,Industrials,accept,https://stockanalysis.com/quote/lon/0G9R/
0GA3,LSE,Stock,Telecom Italia S.p.A. RNC,,,,,,,,no_symbol_match,
0GB5,LSE,Stock,Niloerngruppen AB Series B,0GB5,Nilörngruppen AB (publ),SE0007100342,,Textile Mill Products,,,name_mismatch,https://stockanalysis.com/quote/lon/0GB5/
0GDU,LSE,Stock,Paradox Interactive AB,0GDU,Paradox Interactive AB (publ),,Technology,Electronic Gaming & Multimedia,,Information Technology,accept,https://stockanalysis.com/quote/lon/0GDU/
0GEA,LSE,Stock,Maha Energy AB A,0GEA,Maha Capital AB (publ),SE0008374383,Energy,Oil & Gas Integrated,,,name_mismatch,https://stockanalysis.com/quote/lon/0GEA/
0GJN,LSE,Stock,Wuestenrot & Wuerttembergische AG,0GJN,Wüstenrot & Württembergische AG,,,Commercial Banks,,,name_mismatch,https://stockanalysis.com/quote/lon/0GJN/
0GNK,LSE,Stock,Knowit AB,0GNK,Knowit AB (publ),,Technology,Information Technology Services,,Information Technology,accept,https://stockanalysis.com/quote/lon/0GNK/
0GQU,LSE,Stock,Active Biotech AB,0GQU,Active Biotech AB (publ),SE0001137985,,Pharmaceutical Preparations,,,no_update,https://stockanalysis.com/quote/lon/0GQU/
0GW0,LSE,Stock,Nobia AB,0GW0,Nobia AB (publ),,,"Millwork, Veneer, Plywood, And Structural Wood Members",,,no_update,https://stockanalysis.com/quote/lon/0GW0/
0GW3,LSE,Stock,Hufvudstaden AB ser. A,0GW3,Hufvudstaden AB (publ),SE0000170375,,Operators of Nonresidential Buildings,,,name_mismatch,https://stockanalysis.com/quote/lon/0GW3/
0GWI,LSE,Stock,Husqvarna AB Series A,0GWI,Husqvarna AB (publ),,,Farm Machinery and Equipment,,,name_mismatch,https://stockanalysis.com/quote/lon/0GWI/
0GWJ,LSE,Stock,Clinica Baviera S.A.,0GWJ,"Clínica Baviera, S.A.",ES0119037010,,Health Services,,,no_update,https://stockanalysis.com/quote/lon/0GWJ/
0GWL,LSE,Stock,SAAB AB ser. B,0GWL,Saab AB (publ),SE0021921269,Industrials,Aerospace & Defense,,,name_mismatch,https://stockanalysis.com/quote/lon/0GWL/
0GXJ,LSE,Stock,Modern Times Group MTG AB B,0GXJ,Modern Times Group MTG AB,SE0018012494,,Prepackaged Software,,,no_update,https://stockanalysis.com/quote/lon/0GXJ/
0GZV,LSE,Stock,Getinge AB ser. B,0GZV,Getinge AB (publ),SE0000202624,,Electromedical and Electrotherapeutic Apparatus,,,name_mismatch,https://stockanalysis.com/quote/lon/0GZV/
0H14,LSE,Stock,Net Insight AB Series B,0H14,Net Insight AB (publ),SE0000366098,Technology,Communication Equipment,,Information Technology,accept,https://stockanalysis.com/quote/lon/0H14/
0H2Z,LSE,Stock,Fastighets AB Balder Series B,0H2Z,Fastighets AB Balder (publ),,,Real Estate,,,no_update,https://stockanalysis.com/quote/lon/0H2Z/
0H30,LSE,Stock,Indutrade AB,0H30,Indutrade AB (publ),,,Pumps and Pumping Equipment,,,no_update,https://stockanalysis.com/quote/lon/0H30/
0H6G,LSE,Stock,AES Corp.,0H6G,The AES Corporation,US00130H1059,Utilities,General Utilities,,Utilities,accept,https://stockanalysis.com/quote/lon/0H6G/
0H6T,LSE,Stock,Swedbank AB ser A,0H6T,Swedbank AB (publ),SE0000242455,,Commercial Banks,,,name_mismatch,https://stockanalysis.com/quote/lon/0H6T/
0H9G,LSE,Stock,Advance Auto Parts Inc.,0H9G,"Advance Auto Parts, Inc.",US00751Y1064,Consumer Discretionary,Specialty Retail,,Consumer Discretionary,accept,https://stockanalysis.com/quote/lon/0H9G/
0HA0,LSE,Stock,RWE AG ST O.N.,0HA0,RWE Aktiengesellschaft,DE0007037129,,Electric Services,,,name_mismatch,https://stockanalysis.com/quote/lon/0HA0/
0HAG,LSE,Stock,Sampo Oyj A,0HAG,Sampo Oyj,FI0009003305,,"Fire, Marine, and Casualty Insurance",,,no_update,https://stockanalysis.com/quote/lon/0HAG/
0HAQ,LSE,Stock,Affiliated Managers Group Inc.,0HAQ,"Affiliated Managers Group, Inc.",,,Investment Advice,,,no_update,https://stockanalysis.com/quote/lon/0HAQ/
0HBH,LSE,Stock,Air Products & Chemicals Inc.,0HBH,"Air Products and Chemicals, Inc.",US0091581068,Materials,Industrial Materials,,Materials,accept,https://stockanalysis.com/quote/lon/0HBH/
0HBT,LSE,Stock,Skanska AB ser. B,0HBT,Skanska AB (publ),SE0000113250,,General Building Contractors-residential,,,name_mismatch,https://stockanalysis.com/quote/lon/0HBT/
0HCR,LSE,Stock,Bread Financial Holdings,0HCR,"Bread Financial Holdings, Inc.",US0185811082,Technology,Software - Services,,Information Technology,accept,https://stockanalysis.com/quote/lon/0HCR/
0HDJ,LSE,Stock,Mekonomen AB,0HDJ,Meko AB (publ),SE0002110064,,Motor Vehicle Supplies and New Parts,,,name_mismatch,https://stockanalysis.com/quote/lon/0HDJ/
0HE2,LSE,Stock,Ameren Corp.,0HE2,Ameren Corporation,US0236081024,Utilities,General Utilities,,Utilities,accept,https://stockanalysis.com/quote/lon/0HE2/
0HEU,LSE,Stock,American Tower REIT,0HEU,American Tower Corporation,US03027X1000,Real Estate,Real Estate - General,,Real Estate,accept,https://stockanalysis.com/quote/lon/0HEU/
0HEW,LSE,Stock,American Water Works Co.,0HEW,"American Water Works Company, Inc.",US0304201033,Utilities,General Utilities,,Utilities,accept,https://stockanalysis.com/quote/lon/0HEW/
0HFN,LSE,Stock,Analog Devices Inc.,0HFN,"Analog Devices, Inc.",US0326541051,Technology,Semiconductors,,Information Technology,accept,https://stockanalysis.com/quote/lon/0HFN/
0HI1,LSE,Stock,Arrow Electronics Inc.,0HI1,"Arrow Electronics, Inc.",US0427351004,Technology,"Hardware, Equipment & Parts",,Information Technology,accept,https://stockanalysis.com/quote/lon/0HI1/
0HKE,LSE,Stock,Axon Enterprise Inc.,0HKE,"Axon Enterprise, Inc.",US05464C1018,Industrials,Industrial - Capital Goods,,Industrials,accept,https://stockanalysis.com/quote/lon/0HKE/
0HOB,LSE,Stock,H&R Block Inc.,0HOB,"H&R Block, Inc.",US0936711052,Consumer Discretionary,Personal Products & Services,,Consumer Discretionary,accept,https://stockanalysis.com/quote/lon/0HOB/
0HOX,LSE,Stock,Boston Properties Inc.,0HOX,"BXP, Inc.",US1011211018,Real Estate,Real Estate - General,,,name_mismatch,https://stockanalysis.com/quote/lon/0HOX/
0HOY,LSE,Stock,Boston Scientific Corp.,0HOY,Boston Scientific Corporation,US1011371077,Healthcare,Medical - Equipment & Services,,Health Care,accept,https://stockanalysis.com/quote/lon/0HOY/
0HQ1,LSE,Stock,Azenta,0HQ1,"Azenta, Inc.",US1143401024,Healthcare,Medical Instruments & Supplies,,Health Care,accept,https://stockanalysis.com/quote/lon/0HQ1/
0HQ3,LSE,Stock,Brown-Forman Corp. Cl B,0HQ3,Brown-Forman Corporation,US1156372096,Consumer Staples,Beverages - Alcoholic,,Consumer Staples,accept,https://stockanalysis.com/quote/lon/0HQ3/
0HQ8,LSE,Stock,Arjo AB,0HQ8,Arjo AB (publ),SE0010468116,,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",,,no_update,https://stockanalysis.com/quote/lon/0HQ8/
0HQP,LSE,Stock,CBRE Group Inc. Cl A,0HQP,"CBRE Group, Inc.",US12504L1098,Real Estate,Real Estate - General,,Real Estate,accept,https://stockanalysis.com/quote/lon/0HQP/
0HR2,LSE,Stock,CME Group Inc. Cl A,0HR2,CME Group Inc.,US12572Q1058,Financials,Financial - Diversified,,Financials,accept,https://stockanalysis.com/quote/lon/0HR2/
0HRB,LSE,Stock,Centrale d&#39;Achat Francaise pour l&#39; Outre Mer,0HRB,Centrale d'Achat Française pour l'Outre-Mer Société Anonyme,FR0010151589,,"Home Furniture, Furnishings, and Equipment Stores",,,no_update,https://stockanalysis.com/quote/lon/0HRB/
0HRR,LSE,Stock,CVR Energy Inc.,0HRR,"CVR Energy, Inc.",US12662P1084,Energy,Oil & Gas Energy,,Energy,accept,https://stockanalysis.com/quote/lon/0HRR/
0HRS,LSE,Stock,CVS Health Corp.,0HRS,CVS Health Corporation,US1266501006,Healthcare,Medical - Equipment & Services,,Health Care,accept,https://stockanalysis.com/quote/lon/0HRS/
0HRZ,LSE,Stock,Cabot Oil & Gas Corp.,,,,,,,,no_symbol_match,
0HT4,LSE,Stock,Capital One Financial Corp.,0HT4,Capital One Financial Corporation,US14040H1059,Financials,Financial - Diversified,,Financials,accept,https://stockanalysis.com/quote/lon/0HT4/
0HTF,LSE,Stock,Norwegian Energy Co. ASA,0HTF,BlueNord ASA,NO0010379266,Energy,Oil & Gas Exploration & Production,,,name_mismatch,https://stockanalysis.com/quote/lon/0HTF/
0HW4,LSE,Stock,Charter Communications Inc. Cl A,0HW4,"Charter Communications, Inc.",US16119P1084,Technology,Media & Entertainment,,Information Technology,accept,https://stockanalysis.com/quote/lon/0HW4/
0HYP,LSE,Stock,Citizens Financial Group Inc.,0HYP,"Citizens Financial Group, Inc.",US1746101054,Financials,Banks,,Financials,accept,https://stockanalysis.com/quote/lon/0HYP/
0HZC,LSE,Stock,Eurazeo,0HZC,Eurazeo SE,FR0000121121,,"Investors, not elsewhere classified",,,no_update,https://stockanalysis.com/quote/lon/0HZC/
0I0T,LSE,Stock,Coca-Cola Consolidated Inc.,0I0T,"Coca-Cola Consolidated, Inc.",US1910981026,Consumer Staples,Beverages - Non-Alcoholic,,Consumer Staples,accept,https://stockanalysis.com/quote/lon/0I0T/
0I35,LSE,Stock,Consolidated Edison Inc.,0I35,"Consolidated Edison, Inc.",US2091151041,Utilities,General Utilities,,Utilities,accept,https://stockanalysis.com/quote/lon/0I35/
0I4W,LSE,Stock,Crown Castle International Corp.,0I4W,Crown Castle Inc.,US22822V1017,Real Estate,Real Estate - General,,Real Estate,accept,https://stockanalysis.com/quote/lon/0I4W/
0I6Q,LSE,Stock,DTE Energy Co.,0I6Q,DTE Energy Company,US2333311072,Utilities,General Utilities,,Utilities,accept,https://stockanalysis.com/quote/lon/0I6Q/
0IAH,LSE,Stock,Securitas AB ser. B,0IAH,Securitas AB (publ),SE0000163594,,"Detective, Guard, and Armored Car Services",,,no_update,https://stockanalysis.com/quote/lon/0IAH/
0IB0,LSE,Stock,Arkema SA,0IB0,Arkema S.A.,FR0010313833,,Chemicals and Allied Products,,,no_update,https://stockanalysis.com/quote/lon/0IB0/
0IB7,LSE,Stock,EuropaCorp S.A.,0IB7,EuropaCorp,,,Motion Picture and Video Tape Production,,,no_update,https://stockanalysis.com/quote/lon/0IB7/
0IC7,LSE,Stock,Dollar General Corp.,0IC7,Dollar General Corporation,US2566771059,Consumer Discretionary,Specialty Retail,,Consumer Discretionary,accept,https://stockanalysis.com/quote/lon/0IC7/
0IC8,LSE,Stock,Dollar Tree Inc.,0IC8,"Dollar Tree, Inc.",US2567461080,Consumer Discretionary,Specialty Retail,,Consumer Discretionary,accept,https://stockanalysis.com/quote/lon/0IC8/
0ID1,LSE,Stock,Duke Energy Corp.,0ID1,Duke Energy Corporation,US26441C2044,Utilities,General Utilities,,Utilities,accept,https://stockanalysis.com/quote/lon/0ID1/
0IF3,LSE,Stock,Eastman Chemical Co.,0IF3,Eastman Chemical Company,US2774321002,Materials,Industrial Materials,,Materials,accept,https://stockanalysis.com/quote/lon/0IF3/
0IHM,LSE,Stock,Atrium Ljungberg AB ser. B,0IHM,Atrium Ljungberg AB (publ),SE0000191827,,Real Estate,,,no_update,https://stockanalysis.com/quote/lon/0IHM/
0IHP,LSE,Stock,Entergy Corp.,0IHP,Entergy Corporation,US29364G1031,Utilities,General Utilities,,Utilities,accept,https://stockanalysis.com/quote/lon/0IHP/
0II2,LSE,Stock,KONE Oyj,0II2,KONE Oyj,FI0009013403,,"Construction, Mining, And Materials Handling",,,no_update,https://stockanalysis.com/quote/lon/0II2/
0IJW,LSE,Stock,Extreme Networks Inc.,0IJW,"Extreme Networks, Inc.",US30226D1063,Technology,Communication Equipment,,Information Technology,accept,https://stockanalysis.com/quote/lon/0IJW/
0IK3,LSE,Stock,FMC Corp.,0IK3,FMC Corporation,US3024913036,Materials,Industrial Materials,,Materials,accept,https://stockanalysis.com/quote/lon/0IK3/
0IL6,LSE,Stock,F5,0IL6,"F5, Inc.",US3156161024,Technology,Software - Application,,Information Technology,accept,https://stockanalysis.com/quote/lon/0IL6/
0ILI,LSE,Stock,Fluidra S.A.,0ILI,"Fluidra, S.A.",,,Refrigeration And Service Industry Machinery,,,no_update,https://stockanalysis.com/quote/lon/0ILI/
0ILK,LSE,Stock,Caixabank SA,0ILK,"CaixaBank, S.A.",ES0140609019,,Commercial Banks,,,no_update,https://stockanalysis.com/quote/lon/0ILK/
0ILW,LSE,Stock,Fidelity National Information Services Inc.,0ILW,"Fidelity National Information Services, Inc.",US31620M1062,Technology,Software - Services,,Information Technology,accept,https://stockanalysis.com/quote/lon/0ILW/
0IQC,LSE,Stock,Fluor Corp.,0IQC,Fluor Corporation,US3434121022,Industrials,Engineering & Construction,,Industrials,accept,https://stockanalysis.com/quote/lon/0IQC/
0IS8,LSE,Stock,Covivio Hotels S.C.A.,0IS8,Covivio Hotels,FR0000060303,,Real Estate Investment Trusts,,,no_update,https://stockanalysis.com/quote/lon/0IS8/
