ticker,exchange,asset_type,name,stockanalysis_symbol,stockanalysis_name,stockanalysis_isin,stockanalysis_sector,stockanalysis_industry,stockanalysis_category,isin_update,sector_update,category_update,decision,source_url
MRI,ASX,Stock,My Rewards International Ltd,,,,,,,,,,no_symbol_match,
MZ1,ASX,ETF,MEDALLION TRUST SERIES 2017-1,,,,,,,,,,no_symbol_match,
MZ2,ASX,ETF,MEDALLION TRUST SERIES 2017-2,,,,,,,,,,no_symbol_match,
MZF,ASX,ETF,MEDALLION TRUST SERIES 2016-1,,,,,,,,,,no_symbol_match,
MZT,ASX,ETF,MEDALLION TRUST SERIES 2016-2,,,,,,,,,,no_symbol_match,
NW1,ASX,ETF,NOW TRUST 2024-1,,,,,,,,,,no_symbol_match,
OPH,ASX,ETF,OPHIR HIGH CONVICTION FUND,,,,,,,,,,no_symbol_match,
OR2,ASX,ETF,ORDE SERIES 2025-1 TRUST,,,,,,,,,,no_symbol_match,
OY1,ASX,ETF,OLYMPUS 2025-1 TRUST,,,,,,,,,,no_symbol_match,
OYS,ASX,ETF,OLYMPUS 2024-2 TRUST,,,,,,,,,,no_symbol_match,
PA1,ASX,ETF,PANORAMA AUTO TRUST 2023-1,,,,,,,,,,no_symbol_match,
PA2,ASX,ETF,PANORAMA AUTO TRUST 2024-1,,,,,,,,,,no_symbol_match,
PA3,ASX,ETF,PANORAMA AUTO TRUST 2023-3,,,,,,,,,,no_symbol_match,
PA4,ASX,ETF,PANORAMA AUTO TRUST 2024-3,,,,,,,,,,no_symbol_match,
PA5,ASX,ETF,PANORAMA AUTO TRUST 2025-1,,,,,,,,,,no_symbol_match,
PA6,ASX,ETF,PANORAMA AUTO TRUST 2025-3,,,,,,,,,,no_symbol_match,
POB,ASX,ETF,PROGRESS 2021-1 TRUST,,,,,,,,,,no_symbol_match,
POC,ASX,ETF,PROGRESS 2022-1 TRUST,,,,,,,,,,no_symbol_match,
POE,ASX,ETF,PROGRESS 2023-1 TRUST,,,,,,,,,,no_symbol_match,
POF,ASX,ETF,PROGRESS 2022-2 TRUST,,,,,,,,,,no_symbol_match,
POG,ASX,ETF,PROGRESS 2024-1 TRUST,,,,,,,,,,no_symbol_match,
POH,ASX,ETF,PROGRESS 2023-2 TRUST,,,,,,,,,,no_symbol_match,
POI,ASX,ETF,PROGRESS 2025-1 TRUST,,,,,,,,,,no_symbol_match,
PR4,ASX,ETF,PEPPER RESIDENTIAL SECURITIES TRUST NO. 40,,,,,,,,,,no_symbol_match,
PS2,ASX,ETF,PUMA SERIES 2024-2 TRUST,,,,,,,,,,no_symbol_match,
PU6,ASX,ETF,PEPPER SPARKZ TRUST NO.6,,,,,,,,,,no_symbol_match,
PU8,ASX,ETF,PEPPER SPARKZ TRUST NO.8,,,,,,,,,,no_symbol_match,
PU9,ASX,ETF,PEPPER SPARKZ TRUST NO.9,,,,,,,,,,no_symbol_match,
PUT,ASX,ETF,PUMA SERIES 2023-1 TRUST,,,,,,,,,,no_symbol_match,
PUU,ASX,ETF,PUMA SERIES 2024-1 TRUST,,,,,,,,,,no_symbol_match,
PUV,ASX,ETF,PUMA SERIES 2025-1 TRUST,,,,,,,,,,no_symbol_match,
QNB,ASX,Stock,QNB FINANCE LTD,,,,,,,,,,no_symbol_match,
RA2,ASX,Stock,RESIMAC PREMIER SERIES 2020-1,,,,,,,,,,no_symbol_match,
RA3,ASX,Stock,RESIMAC SERIES 2024-1NC,,,,,,,,,,no_symbol_match,
RAMHA,ASX,Stock,RAMHA,,,,,,,,,,no_symbol_match,
RG1,ASX,Stock,REGAL PARTNERS GLOBAL INVESTMENTS LIMITED,,,,,,,,,,no_symbol_match,
RG8,ASX,Stock,REGAL ASIAN INVESTMENTS LIMITED,,,,,,,,,,no_symbol_match,
RM1,ASX,ETF,NATIONAL RMBS TRUST 2024-1,,,,,,,,,,no_symbol_match,
SC1,ASX,Stock,"SHINHAN CARD CO., LTD.",,,,,,,,,,no_symbol_match,
SCA,ASX,ETF,SCENTRE GROUP TRUST 1 AND SCENTRE GROUP TRUST 2,,,,,,,,,,no_symbol_match,
SET,ASX,Stock,SOLARIS AUSTRALIAN EQUITY INCOME PLUS LIMITED,,,,,,,,,,no_symbol_match,
SFV,ASX,Stock,SANTOS FINANCE LIMITED,,,,,,,,,,no_symbol_match,
SHZ,ASX,Stock,SHINHAN BANK.,,,,,,,,,,no_symbol_match,
SP4,ASX,ETF,SAPPHIRE XXIX SERIES 2024-1 TRUST,,,,,,,,,,no_symbol_match,
SP6,ASX,ETF,SAPPHIRE XXXI SERIES 2024-3 TRUST,,,,,,,,,,no_symbol_match,
TA1,ASX,Stock,TRANSURBAN FINANCE COMPANY PTY LTD,,,,,,,,,,no_symbol_match,
TT1,ASX,ETF,THINK TANK RESIDENTIAL SERIES 2024-1 TRUST,,,,,,,,,,no_symbol_match,
TT2,ASX,ETF,THINK TANK RESIDENTIAL SERIES 2025-2 TRUST,,,,,,,,,,no_symbol_match,
TT6,ASX,ETF,TRITON BOND TRUST 2021-1 IN RESPECT OF SERIES 1,,,,,,,,,,no_symbol_match,
VCD,ASX,ETF,VICINITY CENTRES TRUST,,,,,,,,,,no_symbol_match,
WB1,ASX,ETF,SERIES 2020-1 WST TRUST,,,,,,,,,,no_symbol_match,
WE1,ASX,ETF,SERIES 2019-1 WST TRUST,,,,,,,,,,no_symbol_match,
WS1,ASX,ETF,SERIES 2024-1 WST TRUST,,,,,,,,,,no_symbol_match,
WS2,ASX,ETF,SERIES 2024-2 WST TRUST,,,,,,,,,,no_symbol_match,
WSE,ASX,ETF,SERIES 2021-1 WST TRUST,,,,,,,,,,no_symbol_match,
XCL,ASX,Stock,AUSTRALIAN COMMONWEALTH GOVERNMENT LOANS,,,,,,,,,,no_symbol_match,
XNC,ASX,Stock,NEW SOUTH WALES TREASURY CORPORATION,,,,,,,,,,no_symbol_match,
XQL,ASX,Stock,QUEENSLAND TREASURY CORPORATION,,,,,,,,,,no_symbol_match,
XVG,ASX,Stock,TREASURY CORPORATION OF VICTORIA,,,,,,,,,,no_symbol_match,
ZOR,ASX,Stock,ORDINARY (UNLISTED/LISTED - COSACS),,,,,,,,,,no_symbol_match,
2WAV3,B3,Stock,2W ECOBANK S.A.,,,,,,,,,,no_symbol_match,
A6OP3,B3,Stock,ACESSOPAR INVESTIMENTOS E PARTICIPAÇÕES S.A.,,,,,,,,,,no_symbol_match,
ADMF3,B3,Stock,CIABRASF CIA BRASILEIRA DE SERVIÇOS FINANCEIROS SA,,,,,,,,,,no_symbol_match,
AFOF11,B3,ETF,Alianza Fofii Fundo De Investimento Imobiliario,,,,,,,,,,no_symbol_match,
AGBK4,B3,Stock,BANCO AGIBANK S.A.,,,,,,,,,,no_symbol_match,
AGCX11,B3,ETF,FDO INV IMOB RIO BRAVO RENDA VAREJO - FII,,,,,,,,,,no_symbol_match,
AGPL11,B3,ETF,MAGNETIS TEVA AÇÕES AGRONEGOCIO ETF FDO IND,,,,,,,,,,no_symbol_match,
AGRA4,B3,Stock,AGRALE S/A,,,,,,,,,,no_symbol_match,
AMZG3,B3,Stock,AMAZONAS DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,,,no_symbol_match,
AQLL11,B3,ETF,ÁQUILLA FDO INV IMOB - FII,,,,,,,,,,no_symbol_match,
ATEA3,B3,Stock,ATHENA SAUDE BRASIL S.A.,,,,,,,,,,no_symbol_match,
AUAU99,B3,Stock,UNIÃO PET PARTICIPAÇÕES S.A.,,,,,,,,,,no_symbol_match,
BCEE3,B3,Stock,BANCO BESA S/A,,,,,,,,,,no_symbol_match,
BCEE5,B3,Stock,BANCO BESA S/A,,,,,,,,,,no_symbol_match,
BCPS3,B3,Stock,CLARO S.A.,,,,,,,,,,no_symbol_match,
BCPS4,B3,Stock,CLARO S.A.,,,,,,,,,,no_symbol_match,
BEGB4,B3,Stock,BANCO BERJ S.A.,,,,,,,,,,no_symbol_match,
BETP3,B3,Stock,BETAPART PARTICIPACOES S.A.,,,,,,,,,,no_symbol_match,
BFFT3,B3,Stock,Bluefit Academias de Ginástica e Participações S.A,,,,,,,,,,no_symbol_match,
BNAC3,B3,Stock,BANCO NACIONAL S/A,,,,,,,,,,no_symbol_match,
BNAC4,B3,Stock,BANCO NACIONAL S/A,,,,,,,,,,no_symbol_match,
BNRG3,B3,Stock,BRAZIL ENERGY S.A.,,,,,,,,,,no_symbol_match,
BRBI3,B3,Stock,BRBI BR PARTNERS S.A.,,,,,,,,,,no_symbol_match,
BRBI4,B3,Stock,BRBI BR PARTNERS S.A.,,,,,,,,,,no_symbol_match,
BTCE11,B3,ETF,BITCOIN ETC KARDINAL FUNDO DE ÍNDICE – IE,,,,,,,,,,no_symbol_match,
BVEN3,B3,Stock,BOA VISTA ENERGIA S.A.,,,,,,,,,,no_symbol_match,
C1GT3,B3,Stock,CELG TRANSMISSÃO S.A. - CELG T,,,,,,,,,,no_symbol_match,
C3RP3,B3,Stock,COTRASA PARTICIPACOES S.A.,,,,,,,,,,no_symbol_match,
CATA3,B3,Stock,CIA INDUSTRIAL CATAGUASES,,,,,,,,,,no_symbol_match,
CATA4,B3,Stock,CIA INDUSTRIAL CATAGUASES,,,,,,,,,,no_symbol_match,
CBOH3,B3,Stock,CBO HOLDING S.A.,,,,,,,,,,no_symbol_match,
CCAT3,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,,,,,,,,,,no_symbol_match,
CCAT4,B3,Stock,COMFIO COMPANHIA CATARINENSE DE FIACAO,,,,,,,,,,no_symbol_match,
CEAC3,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,,,no_symbol_match,
CEAC4,B3,Stock,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,,,no_symbol_match,
CEAG3,B3,Stock,CIA DE ENTREPOSTOS E ARMAZENS GERAIS SP,,,,,,,,,,no_symbol_match,
CEAL3,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,,,no_symbol_match,
CEAL4,B3,Stock,EQUATORIAL ALAGOAS - DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,,,no_symbol_match,
CEAP3,B3,Stock,COMPANHIA DE ELETRICIDADE DO AMAPÁ - CEA,,,,,,,,,,no_symbol_match,
CEBD3,B3,Stock,Neoenergia Distribuicao Brasilia S.A,,,,,,,,,,no_symbol_match,
CEEP3,B3,Stock,CIA EST. DE ENERG. ELETRICA PARTICIPAÇÕES CEEE-PAR,,,,,,,,,,no_symbol_match,
CERO3,B3,Stock,ENERGISA RONDONIA - DISTRIBUIDORA DE ENERGIA S/A,,,,,,,,,,no_symbol_match,
CESA3,B3,Stock,CIA ESTADUAL DE SILOS E ARMAZENS,,,,,,,,,,no_symbol_match,
CFHO3,B3,Stock,CARVALHO HOLDINGS SA,,,,,,,,,,no_symbol_match,
CFHO4,B3,Stock,CARVALHO HOLDINGS SA,,,,,,,,,,no_symbol_match,
CGOS3,B3,Stock,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S/A,,,,,,,,,,no_symbol_match,
CLNT3,B3,Stock,CLARANET TECHNOLOGY S.A.,,,,,,,,,,no_symbol_match,
CMNS3,B3,Stock,CMN SOLUTIONS AO18 PARTICIPACOES S.A.,,,,,,,,,,no_symbol_match,
CNRT5,B3,Stock,CICANORTE IND CONSERVAS ALIMENTICIAS S.A,,,,,,,,,,no_symbol_match,
COCN5,B3,Stock,CIA DE COCOS DO NORDESTE,,,,,,,,,,no_symbol_match,
CONX3,B3,Stock,TRIPLE PLAY BRASIL PARTICIPAÇÕES S.A.,,,,,,,,,,no_symbol_match,
CPCH3,B3,Stock,CAPITAL CENTER HOTEIS S.A.,,,,,,,,,,no_symbol_match,
CPCH7,B3,Stock,CAPITAL CENTER HOTEIS S.A.,,,,,,,,,,no_symbol_match,
CPIS12,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,,,no_symbol_match,
CPIS3,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,,,no_symbol_match,
CPIS4,B3,Stock,EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A,,,,,,,,,,no_symbol_match,
CPNO7,B3,Stock,COPENOR - CIA PETROQUIMICA DO NORDESTE,,,,,,,,,,no_symbol_match,
CPTS11B,B3,ETF,Capitania Securities II Fundo Investimento Imobiliario FII,,,,,,,,,,no_symbol_match,
CRML4,B3,Stock,CARBOMIL S.A.,,,,,,,,,,no_symbol_match,
CRPC4,B3,Stock,CRP CADERI CAPITAL DE RISCO S/A,,,,,,,,,,no_symbol_match,
CRTE3,B3,Stock,CONC RIO-TERESOPOLIS S.A.,,,,,,,,,,no_symbol_match,
CRTE5,B3,Stock,CONC RIO-TERESOPOLIS S.A.,,,,,,,,,,no_symbol_match,
CSAL4,B3,Stock,CIA ABASTEC. D'AGUA E SAN. EST. ALAGOAS,,,,,,,,,,no_symbol_match,
CSAM3,B3,Stock,COSAMA - CIA DE SANEAMENTO DA AMAZONIA,,,,,,,,,,no_symbol_match,
CSAM4,B3,Stock,COSAMA - CIA DE SANEAMENTO DA AMAZONIA,,,,,,,,,,no_symbol_match,
DASS3,B3,Stock,DASS NORDESTE CALÇADOS E ARTIGOS ESPORTIVOS SA,,,,,,,,,,no_symbol_match,
DNEN3B,B3,Stock,DINAMICA ENERGIA S.A.,,,,,,,,,,no_symbol_match,
DTEN3,B3,Stock,DETEN QUIMICA S.A.,,,,,,,,,,no_symbol_match,
DTEN6,B3,Stock,DETEN QUIMICA S.A.,,,,,,,,,,no_symbol_match,
DXXI3,B3,Stock,DUXXI IMOBILIÁRIA S.A.,,,,,,,,,,no_symbol_match,
E3XT3,B3,Stock,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS SA,,,,,,,,,,no_symbol_match,
EBRK11,B3,ETF,INVESTO BLUESTAR US LISTED E-BROKERS ETF FDO INV,,,,,,,,,,no_symbol_match,
EBTL3,B3,Stock,EMBRATEL - EMPR.BRASILEIRA DE TELEC S.A.,,,,,,,,,,no_symbol_match,
EC3S3,B3,Stock,ENERGETICA CORUMBA III S.A.,,,,,,,,,,no_symbol_match,
EC3S4,B3,Stock,ENERGETICA CORUMBA III S.A.,,,,,,,,,,no_symbol_match,
EESG3,B3,Stock,ENVIRONMENTAL ESG PARTICIPAÇÕES S.A.,,,,,,,,,,no_symbol_match,
EGCE3,B3,Stock,ENERGISA GERACAO CENTRAIS EOLICAS RN S.A.,,,,,,,,,,no_symbol_match,
ELBR4,B3,Stock,ELEBRA S/A ELETRONICA BRASILEIRA,,,,,,,,,,no_symbol_match,
EMBP3,B3,Stock,EMBRAPAR PARTICIPACOES S.A.,,,,,,,,,,no_symbol_match,
EMBP4,B3,Stock,EMBRAPAR PARTICIPACOES S.A.,,,,,,,,,,no_symbol_match,
ENAC3,B3,Stock,CIA ARMAZENS GERAIS ENTREPOSTOS DO ACRE,,,,,,,,,,no_symbol_match,
EPTR4,B3,Stock,EMPR TURISMO DE PERNAMBUCO S.A. -EMPETUR,,,,,,,,,,no_symbol_match,
ESGG11,B3,ETF,INVESTO FTSE US ALL CAP CHOICE ETF FDO INV IND IE,,,,,,,,,,no_symbol_match,
ESGS3,B3,Stock,COMPANHIA DE GAS DO ESPIRITO SANTO - ES GAS,,,,,,,,,,no_symbol_match,
ESGS4,B3,Stock,COMPANHIA DE GAS DO ESPIRITO SANTO - ES GAS,,,,,,,,,,no_symbol_match,
ESSD3,B3,Stock,ENERGISA SUL-SUDESTE DISTRIBUIDORA DE ENERGIA S.A.,,,,,,,,,,no_symbol_match,
ESSE5,B3,Stock,ESSENCIA AGROPECUARIA S.A.,,,,,,,,,,no_symbol_match,
ETGO3,B3,Stock,EMPR DE TRANSP URBANO DO EST GOIAS S.A.,,,,,,,,,,no_symbol_match,
ETGO4,B3,Stock,EMPR DE TRANSP URBANO DO EST GOIAS S.A.,,,,,,,,,,no_symbol_match,
ETHI11,B3,ETF,IT NOW BLOOMBERG GALAXY ETHEREUM FUNDO DE ÍNDICE,,,,,,,,,,no_symbol_match,
F8DF5,B3,Stock,FRIGORIFICO DIAS S/A - FRIGODIAS,,,,,,,,,,no_symbol_match,
FAEL6,B3,Stock,FAE -FERRAGENS E APARELHOS ELETRICOS S.A,,,,,,,,,,no_symbol_match,
FAEL7,B3,Stock,FAE -FERRAGENS E APARELHOS ELETRICOS S.A,,,,,,,,,,no_symbol_match,
FGRT5,B3,Stock,FRIGORIFICO REDENTOR S.A.,,,,,,,,,,no_symbol_match,
FMNP3,B3,Stock,FIRMINOPOLIS TRANSMISSAO S.A.,,,,,,,,,,no_symbol_match,
FNUV3,B3,Stock,FENAUVA-FEIRA NAC DA UVA TUR E EMPR S.A.,,,,,,,,,,no_symbol_match,
FRNV3,B3,Stock,CIA DE NAVEG DO SAO FRANCISCO - FRANAVE,,,,,,,,,,no_symbol_match,
FTRO3,B3,Stock,FRUTOS TROPICAIS S/A,,,,,,,,,,no_symbol_match,
GENT3,B3,Stock,LG INFORMÁTICA S.A.,,,,,,,,,,no_symbol_match,
GPLA5,B3,Stock,GEPLAN HOTEIS S.A.,,,,,,,,,,no_symbol_match,
GUNI3,B3,Stock,GRUPO UNI.CO S.A.,,,,,,,,,,no_symbol_match,
H2OO11,B3,ETF,TREND ETF NASDAQ WATER RESOURCE FDO INV DE ÍNDICE,,,,,,,,,,no_symbol_match,
HCAR3,B3,Stock,HOSPITAL CARE CALEDONIA S.A.,,,,,,,,,,no_symbol_match,
HEDA3,B3,Stock,HEDERA INVESTIMENTOS E PARTICIPAÇÕES S.A,,,,,,,,,,no_symbol_match,
HLJP3,B3,Stock,HOTEL LAJE DE PEDRA S.A.,,,,,,,,,,no_symbol_match,
HOAM5,B3,Stock,CIA TROPICAL DE HOTEIS DA AMAZONIA,,,,,,,,,,no_symbol_match,
HOAM6,B3,Stock,CIA TROPICAL DE HOTEIS DA AMAZONIA,,,,,,,,,,no_symbol_match,
ICBR3,B3,Stock,INTERCEMENT BRASIL S.A.,,,,,,,,,,no_symbol_match,
IMBB11,B3,ETF,Etf Bradesco Ima-B Fundo De Indice,IMBB11,FUNDO DE INVESTIMENTO DE ÍNDICE - CLASSE DE INVESTIMENTO ETF BRADESCO IMA-B - RESP LIMITADA,BRIMBBCTF002,,,Fixed Income,BRIMBBCTF002,,,accept,https://stockanalysis.com/etf/BVMF-IMBB11/
INDA11,B3,ETF,TREND ETF MSCI INDIA FDO DE INV DE ÍNDICE,,,,,,,,,,no_symbol_match,
IPNN3,B3,Stock,TESTE IPN VS SA,,,,,,,,,,no_symbol_match,
IVLG3B,B3,Stock,INVITEL LEGACY S.A.,,,,,,,,,,no_symbol_match,
IVPR3B,B3,Stock,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,,,,,,,,,,no_symbol_match,
IVPR4B,B3,Stock,INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR,,,,,,,,,,no_symbol_match,
JCBA6,B3,Stock,J C BARRETTO FERTILIZANTES S.A.,,,,,,,,,,no_symbol_match,
KALS5,B3,Stock,KA 2 LAUNDRY SERVICES S.A.,,,,,,,,,,no_symbol_match,
KALU3,B3,Stock,KALUNGA S.A,,,,,,,,,,no_symbol_match,
LAZT3,B3,Stock,LAGO AZUL TRANSMISSO S.A.,,,,,,,,,,no_symbol_match,
LMED3,B3,Stock,LIFEMED INDUSTRIAL EQUIP. DE ART. MÉD. HOSP. S.A.,,,,,,,,,,no_symbol_match,
LOGS3,B3,Stock,LOGASA INDUSTRIA E COMERCIO S.A.,,,,,,,,,,no_symbol_match,
LOGS4,B3,Stock,LOGASA INDUSTRIA E COMERCIO S.A.,,,,,,,,,,no_symbol_match,
LTEL3B,B3,Stock,LITEL PARTICIPACOES S.A.,,,,,,,,,,no_symbol_match,
LTLA3B,B3,Stock,LITELA PARTICIPAÇÕES S.A.,,,,,,,,,,no_symbol_match,
MAQN3,B3,Stock,MAQUINA DE VENDAS BRASIL PARTICIPAÇÕES S.A.,,,,,,,,,,no_symbol_match,
MAQN4,B3,Stock,MAQUINA DE VENDAS BRASIL PARTICIPAÇÕES S.A.,,,,,,,,,,no_symbol_match,
MBRF11,B3,ETF,Fundo De Investimento Imobiliário Mercantil Do Brasil-fii -Inicio,,,,,,,,,,no_symbol_match,
MDIN3,B3,Stock,MUNDIAL INC,,,,,,,,,,no_symbol_match,
MDSI3,B3,Stock,MUNDIAL ASIA HONG KONG,,,,,,,,,,no_symbol_match,
MGFB3,B3,Stock,M&G FIBRAS HOLDING S.A.,,,,,,,,,,no_symbol_match,
MKSS3,B3,Stock,MKS SOLUÇÕES INTEGRADAS S.A.,,,,,,,,,,no_symbol_match,
MMBR3,B3,Stock,MAGNETI MARELLI DO BRASIL IND.COM S.A.,,,,,,,,,,no_symbol_match,
MMBR4,B3,Stock,MAGNETI MARELLI DO BRASIL IND.COM S.A.,,,,,,,,,,no_symbol_match,
MMCA3,B3,Stock,MAGNETI MARELLI COFAP AUTOPECAS S.A.,,,,,,,,,,no_symbol_match,
MMCA4,B3,Stock,MAGNETI MARELLI COFAP AUTOPECAS S.A.,,,,,,,,,,no_symbol_match,
MMCF3,B3,Stock,MAGNETI MARELLI COFAP-CIA FABR PECAS S/A,,,,,,,,,,no_symbol_match,
